"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"CIPLA","EQ","02-Feb-2018","        587.05","        586.00","        593.90","        575.10","        579.00","        581.15","        586.40","     998752","           585668646.25","      19312"
"CIPLA","EQ","05-Feb-2018","        581.15","        576.00","        582.10","        571.20","        580.10","        580.10","        576.29","     797017","           459310065.85","      29462"
"CIPLA","EQ","06-Feb-2018","        580.10","        561.00","        572.00","        558.05","        561.95","        564.25","        563.60","    1284112","           723724433.85","      41667"
"CIPLA","EQ","07-Feb-2018","        564.25","        578.50","        579.90","        554.20","        570.00","        569.25","        565.21","    3161498","          1786896466.25","      47020"
"CIPLA","EQ","08-Feb-2018","        569.25","        584.00","        617.15","        580.15","        616.00","        612.65","        605.33","    8349913","          5054434530.00","     128224"
"CIPLA","EQ","09-Feb-2018","        612.65","        595.00","        626.00","        595.00","        626.00","        621.40","        612.92","    2373799","          1454947096.25","      39085"
"CIPLA","EQ","12-Feb-2018","        621.40","        629.35","        635.00","        618.85","        621.00","        621.65","        626.83","    1957424","          1226965228.20","      38989"
"CIPLA","EQ","14-Feb-2018","        621.65","        622.10","        630.30","        611.50","        613.25","        616.15","        621.56","    1306512","           812072619.45","      24024"
"CIPLA","EQ","15-Feb-2018","        616.15","        613.25","        621.45","        602.95","        606.05","        605.85","        612.82","    1391858","           852958651.40","      35104"
"CIPLA","EQ","16-Feb-2018","        605.85","        611.30","        613.95","        605.50","        609.40","        611.10","        610.17","     906025","           552829097.45","      19179"
"CIPLA","EQ","19-Feb-2018","        611.10","        612.00","        612.15","        594.35","        600.95","        600.40","        600.60","    1216005","           730333179.55","      26068"
"CIPLA","EQ","20-Feb-2018","        600.40","        603.45","        606.10","        592.00","        603.50","        603.45","        598.70","    1599249","           957469220.35","      28717"
"CIPLA","EQ","21-Feb-2018","        603.45","        607.00","        607.75","        589.25","        595.00","        597.25","        597.23","    1409752","           841941842.60","      21356"
"CIPLA","EQ","22-Feb-2018","        597.25","        595.00","        597.25","        586.60","        588.00","        589.65","        590.88","    1859008","          1098451899.20","      23547"
"CIPLA","EQ","23-Feb-2018","        589.65","        591.80","        605.00","        590.00","        594.00","        595.65","        597.82","    1576584","           942521102.55","      41664"
"CIPLA","EQ","26-Feb-2018","        595.65","        596.25","        598.30","        588.75","        589.50","        590.10","        592.66","    1417465","           840072974.65","      30252"
"CIPLA","EQ","27-Feb-2018","        590.10","        591.70","        598.90","        583.10","        586.65","        586.50","        590.04","    1349590","           796305481.15","      26690"
"CIPLA","EQ","28-Feb-2018","        586.50","        590.00","        596.60","        587.10","        591.00","        589.65","        592.28","    2255189","          1335695161.70","      48667"
"CIPLA","EQ","01-Mar-2018","        589.65","        593.90","        593.90","        580.40","        585.00","        581.70","        585.40","    1343806","           786663635.35","      23762"
"CIPLA","EQ","05-Mar-2018","        581.70","        582.10","        585.00","        578.05","        580.50","        579.25","        580.82","    1179725","           685205241.60","      27175"
"CIPLA","EQ","06-Mar-2018","        579.25","        581.60","        589.40","        580.05","        585.00","        584.10","        585.32","    1891302","          1107025403.50","      50801"
"CIPLA","EQ","07-Mar-2018","        584.10","        587.45","        589.10","        578.20","        580.00","        580.20","        583.49","    1849650","          1079256441.70","      31700"
"CIPLA","EQ","08-Mar-2018","        580.20","        584.00","        584.00","        574.00","        576.00","        578.00","        579.00","    1084582","           627977637.40","      27340"
"CIPLA","EQ","09-Mar-2018","        578.00","        579.95","        585.20","        568.05","        572.90","        571.05","        577.04","    1149194","           663134195.45","      25608"
"CIPLA","EQ","12-Mar-2018","        571.05","        575.05","        582.20","        563.55","        578.70","        580.65","        573.86","     919792","           527827403.15","      29567"
"CIPLA","EQ","13-Mar-2018","        580.65","        579.00","        582.90","        575.15","        580.35","        578.75","        579.32","     801792","           464496250.95","      34299"
"CIPLA","EQ","14-Mar-2018","        578.75","        578.35","        583.80","        571.65","        577.60","        577.90","        575.92","     811747","           467504896.65","      20853"
"CIPLA","EQ","15-Mar-2018","        577.90","        578.00","        579.60","        569.00","        570.75","        571.15","        573.59","     849222","           487105092.75","      20337"
"CIPLA","EQ","16-Mar-2018","        571.15","        570.10","        574.00","        557.05","        561.85","        559.40","        561.66","    1867538","          1048914215.80","      41846"
