"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"IOC","EQ","02-Feb-2018","        417.90","        415.00","        416.35","        407.50","        408.50","        408.65","        410.85","    4844239","          1990256556.45","      72087"
"IOC","EQ","05-Feb-2018","        408.65","        408.00","        411.40","        403.00","        409.00","        409.00","        408.50","    6571394","          2684405717.90","      99928"
"IOC","EQ","06-Feb-2018","        409.00","        401.90","        406.35","        400.00","        401.85","        401.30","        401.80","    6888685","          2767889053.10","     120908"
"IOC","EQ","07-Feb-2018","        401.30","        406.00","        409.75","        403.50","        407.00","        404.75","        405.99","    8710380","          3536292760.50","     116216"
"IOC","EQ","08-Feb-2018","        404.75","        388.85","        391.90","        385.00","        385.70","        385.60","        387.68","    7736486","          2999318820.25","      88253"
"IOC","EQ","09-Feb-2018","        385.60","        383.00","        383.00","        375.95","        379.45","        378.65","        378.97","    4405890","          1669689316.10","      63639"
"IOC","EQ","12-Feb-2018","        378.65","        384.50","        384.75","        375.60","        379.10","        379.05","        378.96","    3116035","          1180847446.55","      44219"
"IOC","EQ","14-Feb-2018","        379.05","        380.80","        381.75","        375.60","        376.65","        377.35","        377.56","    3806473","          1437162935.40","      71021"
"IOC","EQ","15-Feb-2018","        377.35","        378.80","        380.60","        374.30","        377.50","        376.80","        376.74","    3819270","          1438869333.35","      55959"
"IOC","EQ","16-Feb-2018","        376.80","        378.00","        379.50","        374.50","        375.00","        375.05","        376.87","    2501186","           942609607.90","      55848"
"IOC","EQ","19-Feb-2018","        375.05","        376.00","        376.90","        367.10","        369.30","        369.65","        370.69","    2490995","           923375490.00","      38970"
"IOC","EQ","20-Feb-2018","        369.65","        370.00","        371.25","        365.60","        366.00","        366.60","        368.48","    1803682","           664612014.85","      23659"
"IOC","EQ","21-Feb-2018","        366.60","        368.60","        371.80","        362.50","        368.85","        368.50","        366.16","    4396885","          1609943925.20","      53054"
"IOC","EQ","22-Feb-2018","        368.50","        367.35","        367.35","        360.65","        363.80","        363.20","        363.60","   10219350","          3715721577.60","      63816"
"IOC","EQ","23-Feb-2018","        363.20","        363.00","        369.40","        362.50","        368.10","        368.40","        366.88","    2608100","           956863728.30","      36078"
"IOC","EQ","26-Feb-2018","        368.40","        371.15","        381.80","        370.10","        377.00","        376.70","        376.72","    3474466","          1308911339.95","      54341"
"IOC","EQ","27-Feb-2018","        376.70","        379.70","        382.90","        375.10","        377.50","        377.45","        378.39","    3906960","          1478360165.90","      49249"
"IOC","EQ","28-Feb-2018","        377.45","        376.60","        381.20","        373.50","        377.95","        379.30","        377.77","    2103575","           794669724.20","      40492"
"IOC","EQ","01-Mar-2018","        379.30","        379.00","        382.75","        377.65","        382.00","        381.50","        380.48","    3630009","          1381146578.80","      48132"
"IOC","EQ","05-Mar-2018","        381.50","        384.00","        384.80","        377.10","        379.20","        379.25","        379.96","    6535934","          2483390688.90","      46406"
"IOC","EQ","06-Mar-2018","        379.25","        381.50","        392.80","        380.20","        382.00","        382.20","        386.22","    7917497","          3057881896.65","      72571"
"IOC","EQ","07-Mar-2018","        382.20","        382.65","        384.45","        378.80","        379.00","        379.40","        380.95","    5554096","          2115829065.95","      69550"
"IOC","EQ","08-Mar-2018","        379.40","        382.95","        384.75","        377.60","        382.15","        382.10","        381.26","    4560731","          1738827083.15","      94804"
"IOC","EQ","09-Mar-2018","        382.10","        383.45","        386.50","        380.60","        385.50","        385.50","        383.62","    5655780","          2169679418.45","      68485"
"IOC","EQ","12-Mar-2018","        385.50","        389.50","        403.05","        387.50","        403.00","        400.65","        394.40","   13848992","          5462021425.85","      79430"
"IOC","EQ","13-Mar-2018","        400.65","        402.00","        412.90","        402.00","        406.05","        407.85","        407.94","   18612673","          7592902816.65","     118684"
"IOC","EQ","14-Mar-2018","        407.85","        408.00","        410.90","        393.75","        394.60","        395.05","        399.77","   16701307","          6676676007.55","      87400"
"IOC","EQ","15-Mar-2018","        395.05","        191.00","        193.25","        189.25","        191.60","        192.05","        191.95","   26369935","          5061810547.05","     105296"
"IOC","EQ","16-Mar-2018","        192.05","        192.50","        192.50","        183.50","        183.95","        184.75","        185.88","   18690374","          3474247064.85","     108194"
"IOC","EQ","19-Mar-2018","        184.75","        184.70","        184.70","        176.00","        178.00","        177.90","        178.15","   19625875","          3496282431.75","      74257"
"IOC","EQ","20-Mar-2018","        177.90","        177.20","        177.70","        172.60","        173.80","        173.85","        175.10","   14209418","          2488061070.20","      63947"
"IOC","EQ","21-Mar-2018","        173.85","        174.40","        177.30","        170.50","        173.00","        172.45","        173.95","   11840058","          2059625120.60","      92424"
"IOC","EQ","22-Mar-2018","        172.45","        173.95","        173.95","        169.50","        170.30","        170.10","        170.69","    9690093","          1653957552.05","      62717"
"IOC","EQ","23-Mar-2018","        170.10","        165.00","        169.70","        165.00","        168.70","        168.85","        168.37","    8890932","          1497007826.30","      73993"
"IOC","EQ","26-Mar-2018","        168.85","        168.00","        169.00","        164.35","        168.50","        167.20","        166.49","   13271876","          2209697383.55","      76795"
"IOC","EQ","27-Mar-2018","        167.20","        169.90","        175.75","        168.80","        174.60","        174.85","        172.91","   10299533","          1780913758.15","      79206"
"IOC","EQ","28-Mar-2018","        174.85","        173.45","        178.55","        171.75","        176.95","        176.60","        174.86","   17742434","          3102489067.90","      92331"
"IOC","EQ","02-Apr-2018","        176.60","        177.90","        178.50","        169.70","        170.45","        170.45","        171.17","   14001109","          2396627452.25","      81859"
"IOC","EQ","03-Apr-2018","        170.45","        171.90","        174.60","        171.75","        174.55","        174.15","        173.41","    8435498","          1462804341.25","      50638"
"IOC","EQ","04-Apr-2018","        174.15","        174.90","        174.90","        170.15","        171.15","        171.15","        171.78","    5753755","           988366899.25","      35210"
"IOC","EQ","05-Apr-2018","        171.15","        172.90","        174.15","        171.70","        173.40","        173.55","        172.92","    4094041","           707926305.10","      24991"
"IOC","EQ","06-Apr-2018","        173.55","        176.00","        176.75","        173.60","        174.20","        174.25","        174.84","    7938351","          1387971422.05","      51384"
"IOC","EQ","09-Apr-2018","        174.25","        175.00","        180.95","        174.60","        179.75","        179.80","        179.25","   12237671","          2193592458.35","      78745"
"IOC","EQ","10-Apr-2018","        179.80","        181.30","        181.30","        177.00","        179.05","        179.30","        178.83","    5146627","           920395290.30","      38432"
"IOC","EQ","11-Apr-2018","        179.30","        177.00","        177.50","        165.65","        167.25","        167.35","        168.69","   28352223","          4782644592.65","     180715"
"IOC","EQ","12-Apr-2018","        167.35","        163.00","        170.40","        159.00","        167.90","        168.25","        166.27","   28397376","          4721523764.95","     156678"
"IOC","EQ","13-Apr-2018","        168.25","        169.60","        169.90","        164.55","        165.65","        165.35","        166.71","   11452443","          1909288860.70","      76457"
"IOC","EQ","16-Apr-2018","        165.35","        164.40","        166.45","        162.75","        165.00","        165.00","        164.48","   12701567","          2089189970.30","      54376"
"IOC","EQ","17-Apr-2018","        165.00","        165.50","        167.75","        164.65","        167.05","        167.20","        166.44","    8389084","          1396257022.35","      68721"
