"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"JSWSTEEL","EQ","02-Feb-2018","        302.65","        298.75","        314.35","        293.25","        298.30","        299.00","        303.53","   12354843","          3750082359.80","      96535"
"JSWSTEEL","EQ","05-Feb-2018","        299.00","        295.00","        299.95","        282.85","        293.10","        291.25","        292.27","    6863987","          2006171367.60","      59719"
"JSWSTEEL","EQ","06-Feb-2018","        291.25","        278.85","        289.30","        265.60","        281.30","        283.20","        282.05","    8006195","          2258175079.95","      89848"
"JSWSTEEL","EQ","07-Feb-2018","        283.20","        287.90","        294.40","        284.35","        289.70","        290.00","        290.20","    9691897","          2812623279.40","      69375"
"JSWSTEEL","EQ","08-Feb-2018","        290.00","        290.00","        308.40","        290.00","        306.20","        304.20","        297.65","    8028713","          2389707677.70","      53031"
"JSWSTEEL","EQ","09-Feb-2018","        304.20","        295.75","        311.85","        295.15","        308.95","        309.35","        305.53","    6726146","          2055016674.90","      60398"
"JSWSTEEL","EQ","12-Feb-2018","        309.35","        312.00","        315.70","        309.25","        311.30","        310.75","        312.64","    4120075","          1288115437.85","      35306"
"JSWSTEEL","EQ","14-Feb-2018","        310.75","        313.80","        314.45","        308.15","        308.80","        309.55","        311.44","    3992497","          1243420837.05","      43609"
"JSWSTEEL","EQ","15-Feb-2018","        309.55","        311.25","        314.25","        305.55","        308.00","        307.80","        310.38","    3695342","          1146969546.40","      34372"
"JSWSTEEL","EQ","16-Feb-2018","        307.80","        310.10","        313.75","        306.35","        312.45","        312.40","        310.54","    5742059","          1783118515.85","      37650"
"JSWSTEEL","EQ","19-Feb-2018","        312.40","        313.80","        313.80","        293.05","        303.20","        302.70","        301.83","    6238413","          1882909950.80","      51245"
"JSWSTEEL","EQ","20-Feb-2018","        302.70","        303.20","        309.45","        300.50","        306.00","        305.60","        305.25","    4940505","          1508108982.50","      41111"
"JSWSTEEL","EQ","21-Feb-2018","        305.60","        307.20","        308.15","        295.00","        297.20","        298.30","        299.21","    5947856","          1779676225.65","      66823"
"JSWSTEEL","EQ","22-Feb-2018","        298.30","        299.30","        301.75","        295.00","        298.00","        297.70","        298.18","   11882391","          3543125821.00","      65056"
"JSWSTEEL","EQ","23-Feb-2018","        297.70","        299.00","        307.80","        298.55","        306.10","        306.95","        304.47","    4641724","          1413262373.45","      43764"
"JSWSTEEL","EQ","26-Feb-2018","        306.95","        310.75","        316.90","        308.45","        316.00","        316.10","        312.25","    5314911","          1659594154.25","      37278"
"JSWSTEEL","EQ","27-Feb-2018","        316.10","        319.00","        320.45","        314.25","        316.50","        318.10","        317.54","    6081243","          1931045740.20","      47069"
"JSWSTEEL","EQ","28-Feb-2018","        318.10","        313.30","        315.50","        310.35","        311.50","        312.20","        312.73","    6391843","          1998895651.20","      51823"
"JSWSTEEL","EQ","01-Mar-2018","        312.20","        315.00","        317.80","        303.00","        304.15","        305.50","        311.42","    6417443","          1998548229.40","      43680"
"JSWSTEEL","EQ","05-Mar-2018","        305.50","        299.40","        300.10","        289.00","        292.70","        291.65","        293.13","    9282086","          2720879363.05","      73914"
"JSWSTEEL","EQ","06-Mar-2018","        291.65","        298.70","        301.90","        292.10","        293.35","        293.50","        296.64","    9755916","          2893973893.35","      73016"
"JSWSTEEL","EQ","07-Mar-2018","        293.50","        293.00","        293.80","        286.15","        289.80","        289.50","        289.72","    7208335","          2088420772.75","      41212"
"JSWSTEEL","EQ","08-Mar-2018","        289.50","        294.00","        296.30","        284.20","        289.50","        289.25","        288.99","    5748695","          1661307446.90","      36826"
"JSWSTEEL","EQ","09-Mar-2018","        289.25","        291.00","        294.20","        284.70","        292.80","        291.95","        290.53","    8084115","          2348699967.40","      40389"
"JSWSTEEL","EQ","12-Mar-2018","        291.95","        295.20","        299.90","        291.80","        299.10","        297.85","        295.49","    4186325","          1237013734.70","      32295"
"JSWSTEEL","EQ","13-Mar-2018","        297.85","        298.80","        304.60","        295.80","        303.50","        303.50","        300.34","    4161207","          1249787517.40","      36318"
"JSWSTEEL","EQ","14-Mar-2018","        303.50","        300.20","        303.80","        298.20","        299.70","        300.45","        301.14","    3032723","           913288994.80","      22606"
"JSWSTEEL","EQ","15-Mar-2018","        300.45","        299.80","        300.95","        294.10","        294.80","        295.15","        296.71","    3721114","          1104098570.40","      30576"
"JSWSTEEL","EQ","16-Mar-2018","        295.15","        295.00","        295.00","        288.80","        289.95","        290.25","        291.22","    7106321","          2069528359.70","      55425"
"JSWSTEEL","EQ","19-Mar-2018","        290.25","        290.25","        290.25","        280.05","        284.30","        283.60","        283.64","    3716523","          1054169111.05","      21641"
"JSWSTEEL","EQ","20-Mar-2018","        283.60","        280.10","        288.75","        279.65","        285.35","        285.50","        285.68","    5586853","          1596066938.15","      44457"
"JSWSTEEL","EQ","21-Mar-2018","        285.50","        288.75","        291.30","        285.25","        287.40","        288.40","        288.28","    3943743","          1136918264.65","      29940"
"JSWSTEEL","EQ","22-Mar-2018","        288.40","        288.00","        290.90","        284.85","        285.50","        286.00","        287.97","    3731255","          1074491007.30","      37883"
"JSWSTEEL","EQ","23-Mar-2018","        286.00","        279.90","        288.10","        276.35","        286.90","        286.00","        281.38","    6571245","          1849029389.10","      33651"
"JSWSTEEL","EQ","26-Mar-2018","        286.00","        286.00","        296.00","        285.00","        295.00","        293.90","        289.61","    3302313","           956391542.45","      37017"
"JSWSTEEL","EQ","27-Mar-2018","        293.90","        299.45","        300.00","        295.10","        299.75","        298.85","        298.14","    4209223","          1254955606.95","      34659"
"JSWSTEEL","EQ","28-Mar-2018","        298.85","        296.90","        298.20","        286.40","        287.40","        288.15","        291.87","    5122171","          1494991875.55","      36602"
"JSWSTEEL","EQ","02-Apr-2018","        288.15","        290.00","        297.45","        288.25","        296.55","        296.55","        292.56","    2582307","           755476098.05","      32673"
"JSWSTEEL","EQ","03-Apr-2018","        296.55","        294.95","        304.55","        292.30","        304.10","        303.05","        300.17","    5214588","          1565247245.55","      48138"
"JSWSTEEL","EQ","04-Apr-2018","        303.05","        304.50","        307.25","        293.65","        295.50","        295.85","        300.99","    5561514","          1673952272.75","      40002"
"JSWSTEEL","EQ","05-Apr-2018","        295.85","        301.05","        309.35","        300.60","        307.90","        308.40","        305.76","    4210195","          1287328774.60","      34593"
"JSWSTEEL","EQ","06-Apr-2018","        308.40","        305.50","        309.30","        304.50","        307.80","        308.20","        306.74","    2787944","           855166475.70","      18018"
"JSWSTEEL","EQ","09-Apr-2018","        308.20","        308.00","        313.00","        306.70","        309.40","        309.40","        310.44","    3191991","           990925242.10","      28002"
"JSWSTEEL","EQ","10-Apr-2018","        309.40","        312.90","        314.75","        307.05","        311.80","        311.35","        311.81","    3478934","          1084770634.35","      31858"
"JSWSTEEL","EQ","11-Apr-2018","        311.35","        315.95","        318.40","        310.55","        311.80","        312.20","        314.99","    6847386","          2156870064.60","      54405"
"JSWSTEEL","EQ","12-Apr-2018","        312.20","        312.00","        312.85","        306.75","        307.75","        308.25","        309.16","    2993563","           925484823.30","      26244"
"JSWSTEEL","EQ","13-Apr-2018","        308.25","        309.50","        312.30","        305.50","        308.50","        308.50","        308.98","    4046812","          1250382982.90","      38575"
"JSWSTEEL","EQ","16-Apr-2018","        308.50","        307.40","        310.00","        306.00","        309.10","        308.90","        308.63","    2741849","           846208451.80","      29590"
"JSWSTEEL","EQ","17-Apr-2018","        308.90","        309.50","        311.30","        307.20","        308.05","        309.15","        309.01","    2788017","           861537498.50","      26624"
"JSWSTEEL","EQ","18-Apr-2018","        309.15","        307.00","        312.00","        307.00","        310.70","        309.95","        310.07","    3234140","          1002808717.45","      24302"
"JSWSTEEL","EQ","19-Apr-2018","        309.95","        311.25","        327.80","        311.25","        324.20","        322.85","        320.63","    8395329","          2691785979.40","      58633"
"JSWSTEEL","EQ","20-Apr-2018","        322.85","        318.85","        326.20","        317.90","        322.60","        322.85","        321.76","    5243673","          1687186509.15","      35144"
