"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MARUTI","EQ","02-Feb-2018","       9401.85","       9359.00","       9359.00","       8940.00","       8990.60","       8990.60","       9108.42","     984189","          8964408095.00","     114727"
"MARUTI","EQ","05-Feb-2018","       8990.60","       8850.15","       9120.00","       8688.00","       9118.90","       9080.60","       8969.13","     651062","          5839460119.50","      94033"
"MARUTI","EQ","06-Feb-2018","       9080.60","       8700.00","       9113.50","       8661.60","       9015.00","       8984.60","       8888.85","     840339","          7469648791.05","      98644"
"MARUTI","EQ","07-Feb-2018","       8984.60","       9170.00","       9170.00","       8873.00","       8885.20","       8921.80","       9029.42","     509440","          4599947565.05","      73755"
"MARUTI","EQ","08-Feb-2018","       8921.80","       8988.90","       9060.00","       8915.00","       9040.00","       9030.70","       9016.30","     465683","          4198736652.15","      57917"
"MARUTI","EQ","09-Feb-2018","       9030.70","       8906.00","       8986.55","       8870.00","       8940.00","       8936.10","       8943.68","     364892","          3263478454.95","      56541"
"MARUTI","EQ","12-Feb-2018","       8936.10","       8960.00","       9150.00","       8960.00","       9099.50","       9117.85","       9072.79","     408523","          3706443932.85","      51209"
"MARUTI","EQ","14-Feb-2018","       9117.85","       9149.90","       9157.50","       8986.00","       8992.00","       9001.60","       9069.53","     357737","          3244507012.70","      36057"
"MARUTI","EQ","15-Feb-2018","       9001.60","       9049.00","       9090.00","       9001.00","       9021.00","       9020.25","       9042.07","     250781","          2267579838.55","      31051"
"MARUTI","EQ","16-Feb-2018","       9020.25","       9039.90","       9070.00","       8806.85","       8848.00","       8836.95","       8896.11","     632659","          5628202393.05","      66036"
"MARUTI","EQ","19-Feb-2018","       8836.95","       8856.00","       8865.85","       8691.65","       8734.00","       8724.85","       8754.02","     436138","          3817961734.00","      66470"
"MARUTI","EQ","20-Feb-2018","       8724.85","       8745.00","       8768.95","       8650.00","       8715.00","       8722.65","       8702.71","     517802","          4506282849.40","      62723"
"MARUTI","EQ","21-Feb-2018","       8722.65","       8771.00","       8795.00","       8708.20","       8779.00","       8782.75","       8756.38","     471756","          4130873219.95","      48956"
"MARUTI","EQ","22-Feb-2018","       8782.75","       8769.00","       8769.00","       8601.50","       8624.95","       8634.05","       8675.34","     638857","          5542304256.50","      63126"
"MARUTI","EQ","23-Feb-2018","       8634.05","       8665.00","       8738.95","       8655.05","       8706.00","       8698.80","       8703.19","     567960","          4943066141.55","      60544"
"MARUTI","EQ","26-Feb-2018","       8698.80","       8758.00","       9055.00","       8750.05","       9050.00","       9005.35","       8885.19","     869374","          7724549757.15","      86734"
"MARUTI","EQ","27-Feb-2018","       9005.35","       9093.00","       9114.95","       8872.60","       8889.00","       8891.20","       8979.17","     684609","          6147221395.00","      75237"
"MARUTI","EQ","28-Feb-2018","       8891.20","       8870.00","       8934.00","       8772.00","       8854.00","       8850.95","       8857.66","     680125","          6024319219.35","      78550"
"MARUTI","EQ","01-Mar-2018","       8850.95","       8874.00","       8936.05","       8811.35","       8875.20","       8873.45","       8874.72","     609369","          5407981971.70","      57421"
"MARUTI","EQ","05-Mar-2018","       8873.45","       8867.00","       8867.00","       8775.00","       8800.90","       8795.10","       8815.67","     388180","          3422067060.40","      54455"
"MARUTI","EQ","06-Mar-2018","       8795.10","       8855.55","       8885.00","       8600.00","       8621.80","       8616.50","       8763.87","     543686","          4764795688.80","      65967"
"MARUTI","EQ","07-Mar-2018","       8616.50","       8621.80","       8713.85","       8552.00","       8695.00","       8679.10","       8652.76","     598715","          5180538685.55","      67299"
"MARUTI","EQ","08-Mar-2018","       8679.10","       8700.20","       8775.00","       8651.00","       8725.20","       8729.35","       8719.51","     533856","          4654964405.20","      75601"
"MARUTI","EQ","09-Mar-2018","       8729.35","       8760.00","       8774.00","       8650.00","       8676.90","       8660.60","       8707.51","     323450","          2816444505.35","      42682"
"MARUTI","EQ","12-Mar-2018","       8660.60","       8719.00","       8826.80","       8681.10","       8815.00","       8810.30","       8754.34","     438339","          3837368675.90","      57071"
"MARUTI","EQ","13-Mar-2018","       8810.30","       8810.00","       8848.00","       8691.00","       8760.00","       8756.05","       8753.68","     521943","          4568924440.65","      63425"
"MARUTI","EQ","14-Mar-2018","       8756.05","       8735.00","       8874.00","       8725.05","       8850.00","       8846.30","       8796.27","     411769","          3622032545.95","      36105"
"MARUTI","EQ","15-Mar-2018","       8846.30","       8839.90","       8875.00","       8800.95","       8819.80","       8837.55","       8835.80","     313431","          2769415105.75","      39119"
"MARUTI","EQ","16-Mar-2018","       8837.55","       8869.00","       8869.00","       8649.40","       8692.00","       8676.55","       8724.13","     622932","          5434537851.90","      78294"
"MARUTI","EQ","19-Mar-2018","       8676.55","       8711.50","       8800.00","       8703.55","       8768.75","       8773.50","       8756.26","     571830","          5007090606.75","      84389"
"MARUTI","EQ","20-Mar-2018","       8773.50","       8764.45","       8845.50","       8735.00","       8809.00","       8802.40","       8798.05","     408924","          3597733808.65","      47220"
"MARUTI","EQ","21-Mar-2018","       8802.40","       8839.90","       8945.00","       8825.05","       8870.00","       8874.65","       8900.34","     516020","          4592755850.95","      75934"
"MARUTI","EQ","22-Mar-2018","       8874.65","       8870.00","       8910.50","       8684.40","       8694.00","       8696.55","       8785.75","     471749","          4144668071.65","      65846"
"MARUTI","EQ","23-Mar-2018","       8696.55","       8612.55","       8640.50","       8542.10","       8590.00","       8607.25","       8599.85","     644482","          5542448606.80","      68284"
"MARUTI","EQ","26-Mar-2018","       8607.25","       8607.00","       8798.00","       8605.00","       8773.00","       8765.30","       8717.28","     447858","          3904102884.40","      63469"
"MARUTI","EQ","27-Mar-2018","       8765.30","       8815.00","       8887.00","       8767.15","       8855.00","       8852.30","       8835.89","     423455","          3741602576.15","      48066"
"MARUTI","EQ","28-Mar-2018","       8852.30","       8812.00","       9084.00","       8801.00","       8854.00","       8861.10","       8934.72","    1194227","         10670085393.10","     139727"
"MARUTI","EQ","02-Apr-2018","       8861.10","       8990.00","       9088.00","       8953.25","       9015.00","       9008.20","       9023.67","     552649","          4986920471.95","      72289"
"MARUTI","EQ","03-Apr-2018","       9008.20","       9008.95","       9060.00","       8955.00","       9022.00","       9026.45","       9007.49","     339709","          3059925390.95","      40301"
"MARUTI","EQ","04-Apr-2018","       9026.45","       9078.00","       9149.40","       8980.60","       9011.00","       9013.50","       9080.88","     488280","          4434013857.05","      49912"
"MARUTI","EQ","05-Apr-2018","       9013.50","       9050.00","       9157.65","       9050.00","       9116.80","       9132.60","       9112.90","     236956","          2159356649.75","      28727"
"MARUTI","EQ","06-Apr-2018","       9132.60","       9165.00","       9230.00","       9042.55","       9195.00","       9206.20","       9119.91","     429514","          3917129893.85","      40778"
"MARUTI","EQ","09-Apr-2018","       9206.20","       9220.00","       9308.15","       9184.70","       9304.00","       9292.65","       9274.91","     426170","          3952690359.40","      46131"
"MARUTI","EQ","10-Apr-2018","       9292.65","       9290.00","       9315.45","       9239.00","       9253.00","       9273.45","       9276.95","     299119","          2774912786.35","      39329"
"MARUTI","EQ","11-Apr-2018","       9273.45","       9290.00","       9350.00","       9208.55","       9294.00","       9302.50","       9289.43","     318010","          2954131698.80","      43880"
"MARUTI","EQ","12-Apr-2018","       9302.50","       9290.00","       9290.00","       9181.10","       9202.45","       9204.45","       9229.75","     300797","          2776281391.05","      46854"
"MARUTI","EQ","13-Apr-2018","       9204.45","       9267.00","       9267.00","       9106.25","       9126.00","       9123.95","       9168.37","     366224","          3357678882.20","      43992"
"MARUTI","EQ","16-Apr-2018","       9123.95","       9100.00","       9245.00","       9065.00","       9223.30","       9232.00","       9179.58","     271057","          2488190156.70","      30288"
"MARUTI","EQ","17-Apr-2018","       9232.00","       9241.00","       9242.00","       9137.55","       9162.00","       9160.35","       9169.10","     342578","          3141131142.00","      58922"
"MARUTI","EQ","18-Apr-2018","       9160.35","       9178.00","       9227.45","       9095.90","       9130.00","       9121.50","       9173.66","     452854","          4154326778.75","      35789"
"MARUTI","EQ","19-Apr-2018","       9121.50","       9144.00","       9183.75","       9068.00","       9088.00","       9077.65","       9113.40","     256088","          2333833562.60","      43040"
"MARUTI","EQ","20-Apr-2018","       9077.65","       9082.00","       9108.15","       9012.95","       9035.75","       9025.00","       9047.84","     303913","          2749757415.70","      36943"
"MARUTI","EQ","23-Apr-2018","       9025.00","       9039.90","       9125.00","       9005.95","       9069.90","       9064.85","       9075.48","     302205","          2742656125.30","      43912"
"MARUTI","EQ","24-Apr-2018","       9064.85","       9095.00","       9142.55","       9031.00","       9080.00","       9064.65","       9083.80","     312103","          2835079955.85","      36510"
