"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"NTPC","EQ","02-Feb-2018","        169.05","        167.50","        168.55","        164.80","        164.90","        165.20","        166.26","    4003119","           665565925.80","      34419"
"NTPC","EQ","05-Feb-2018","        165.20","        162.00","        167.40","        162.00","        167.00","        166.25","        166.24","    5941662","           987730158.05","      51310"
"NTPC","EQ","06-Feb-2018","        166.25","        162.00","        166.00","        161.25","        165.35","        165.30","        163.79","    4044285","           662404146.85","      44386"
"NTPC","EQ","07-Feb-2018","        165.30","        164.50","        166.25","        158.85","        165.05","        165.45","        163.53","    9478496","          1549997010.50","      54029"
"NTPC","EQ","08-Feb-2018","        165.45","        165.45","        165.75","        163.00","        163.75","        163.70","        164.53","    6238973","          1026476460.55","      72673"
"NTPC","EQ","09-Feb-2018","        163.70","        162.45","        164.05","        160.50","        163.20","        163.25","        162.32","    3765185","           611146770.05","      48479"
"NTPC","EQ","12-Feb-2018","        163.25","        163.80","        165.30","        162.10","        164.75","        164.90","        163.88","    8722064","          1429339475.40","      21663"
"NTPC","EQ","14-Feb-2018","        164.90","        165.00","        165.70","        162.15","        162.40","        162.95","        163.06","    4101637","           668812863.00","      25270"
"NTPC","EQ","15-Feb-2018","        162.95","        163.45","        164.35","        162.65","        162.95","        163.20","        163.32","    2151637","           351409004.95","      21257"
"NTPC","EQ","16-Feb-2018","        163.20","        163.50","        163.80","        162.05","        162.65","        162.80","        163.18","    6117270","           998205692.05","      41007"
"NTPC","EQ","19-Feb-2018","        162.80","        163.35","        163.65","        161.45","        163.00","        162.90","        162.77","    2195735","           357390261.10","      15631"
"NTPC","EQ","20-Feb-2018","        162.90","        162.35","        165.10","        162.10","        163.70","        164.20","        163.57","    5188315","           848653038.95","      21648"
"NTPC","EQ","21-Feb-2018","        164.20","        165.00","        165.00","        161.50","        162.60","        162.30","        162.33","    7763625","          1260306703.00","      32888"
"NTPC","EQ","22-Feb-2018","        162.30","        161.90","        162.30","        160.15","        161.00","        160.75","        161.38","    4945614","           798103569.00","      22780"
"NTPC","EQ","23-Feb-2018","        160.75","        161.05","        164.00","        160.85","        163.10","        163.55","        162.62","    3809344","           619466513.25","      25941"
"NTPC","EQ","26-Feb-2018","        163.55","        163.60","        163.65","        161.50","        162.50","        162.95","        162.64","    2905593","           472566233.40","      19429"
"NTPC","EQ","27-Feb-2018","        162.95","        164.00","        166.00","        162.55","        165.10","        165.55","        164.72","    3204111","           527794479.25","      21854"
"NTPC","EQ","28-Feb-2018","        165.55","        164.00","        165.20","        162.55","        163.25","        163.25","        163.51","    4381524","           716417200.85","      42266"
"NTPC","EQ","01-Mar-2018","        163.25","        163.70","        163.75","        162.00","        163.05","        163.00","        162.99","    2146760","           349911085.40","      16761"
"NTPC","EQ","05-Mar-2018","        163.00","        161.50","        165.10","        160.05","        165.10","        163.30","        161.89","    3287892","           532265474.35","      31544"
"NTPC","EQ","06-Mar-2018","        163.30","        164.30","        164.95","        162.20","        163.00","        163.35","        163.74","    5114754","           837468247.95","      25298"
"NTPC","EQ","07-Mar-2018","        163.35","        163.00","        164.70","        161.90","        163.60","        163.50","        163.56","    2609001","           426739728.95","      26330"
"NTPC","EQ","08-Mar-2018","        163.50","        164.00","        166.00","        162.25","        164.75","        165.30","        164.37","    4538911","           746059168.15","      24040"
"NTPC","EQ","09-Mar-2018","        165.30","        165.10","        165.30","        162.55","        164.60","        164.40","        164.06","    3737738","           613227489.60","      29001"
"NTPC","EQ","12-Mar-2018","        164.40","        164.80","        172.75","        164.10","        170.75","        171.15","        168.31","    2911168","           489976893.35","      28445"
"NTPC","EQ","13-Mar-2018","        171.15","        169.40","        170.75","        167.30","        169.00","        169.40","        169.17","    3126930","           528978932.20","      27486"
"NTPC","EQ","14-Mar-2018","        169.40","        169.30","        170.15","        168.15","        168.95","        169.70","        169.34","    3707403","           627825029.45","      22914"
"NTPC","EQ","15-Mar-2018","        169.70","        169.00","        170.15","        167.30","        170.00","        169.90","        168.88","    3652747","           616861452.40","      15633"
"NTPC","EQ","16-Mar-2018","        169.90","        167.80","        169.45","        163.65","        165.00","        164.85","        165.38","   12378708","          2047172520.20","      59092"
"NTPC","EQ","19-Mar-2018","        164.85","        165.00","        167.90","        163.65","        166.85","        167.00","        166.52","    5021670","           836221061.35","      31930"
"NTPC","EQ","20-Mar-2018","        167.00","        166.40","        167.30","        164.65","        167.00","        166.40","        165.60","    3150362","           521698861.15","      22138"
"NTPC","EQ","21-Mar-2018","        166.40","        167.50","        170.85","        165.65","        170.00","        170.35","        169.80","    5721685","           971538186.30","      35283"
"NTPC","EQ","22-Mar-2018","        170.35","        169.00","        171.20","        168.50","        171.00","        170.95","        170.12","    3726928","           634027477.25","      19028"
"NTPC","EQ","23-Mar-2018","        170.95","        168.90","        171.80","        168.30","        169.95","        170.05","        170.44","    9023161","          1537865458.35","      30636"
"NTPC","EQ","26-Mar-2018","        170.05","        169.95","        171.00","        168.75","        169.55","        169.85","        169.92","    5500046","           934547468.90","      58112"
"NTPC","EQ","27-Mar-2018","        169.85","        170.25","        171.50","        168.45","        170.85","        171.05","        170.42","    3496078","           595791013.05","      17083"
"NTPC","EQ","28-Mar-2018","        171.05","        170.70","        171.00","        166.45","        170.00","        169.70","        169.35","    8449015","          1430804830.55","      58036"
"NTPC","EQ","02-Apr-2018","        169.70","        169.90","        170.85","        168.10","        170.55","        170.40","        169.53","    2805938","           475695199.70","      38453"
"NTPC","EQ","03-Apr-2018","        170.40","        170.80","        171.90","        168.60","        169.05","        169.35","        169.63","    3717328","           630568254.50","      19861"
"NTPC","EQ","04-Apr-2018","        169.35","        169.15","        169.35","        165.50","        165.80","        166.55","        167.63","    3331860","           558508846.30","      33605"
"NTPC","EQ","05-Apr-2018","        166.55","        167.00","        169.75","        166.80","        169.35","        168.95","        168.95","    3263955","           551454347.60","      29520"
"NTPC","EQ","06-Apr-2018","        168.95","        168.40","        170.00","        167.15","        169.55","        169.45","        168.64","    2612270","           440527019.25","      30613"
"NTPC","EQ","09-Apr-2018","        169.45","        169.00","        170.45","        168.45","        168.80","        169.65","        169.58","    3275669","           555497345.00","      32015"
"NTPC","EQ","10-Apr-2018","        169.65","        169.90","        170.40","        168.15","        168.40","        168.40","        169.22","    2172698","           367669354.15","      24025"
"NTPC","EQ","11-Apr-2018","        168.40","        169.30","        170.60","        167.70","        168.25","        168.50","        168.72","    5656579","           954396087.45","      22625"
"NTPC","EQ","12-Apr-2018","        168.50","        168.10","        169.85","        167.35","        169.50","        169.50","        169.02","    5722517","           967224972.20","      29959"
"NTPC","EQ","13-Apr-2018","        169.50","        169.60","        171.70","        169.15","        170.80","        170.95","        170.85","    2902637","           495906893.00","      22127"
"NTPC","EQ","16-Apr-2018","        170.95","        169.60","        174.90","        169.60","        174.45","        174.10","        173.12","    3078790","           533003890.20","      20308"
"NTPC","EQ","17-Apr-2018","        174.10","        174.45","        177.80","        174.10","        176.55","        176.95","        176.88","    5582697","           987475985.55","      42327"
"NTPC","EQ","18-Apr-2018","        176.95","        176.50","        180.00","        176.35","        178.95","        178.55","        177.93","    4124162","           733823666.25","      71946"
"NTPC","EQ","19-Apr-2018","        178.55","        179.00","        179.60","        177.00","        177.50","        177.55","        177.73","    2617699","           465245297.50","      21261"
"NTPC","EQ","20-Apr-2018","        177.55","        177.95","        177.95","        173.25","        175.20","        174.35","        175.08","    2913239","           510041927.00","      17702"
"NTPC","EQ","23-Apr-2018","        174.35","        174.05","        175.50","        173.15","        173.90","        173.60","        173.97","    2974188","           517415568.75","      28940"
"NTPC","EQ","24-Apr-2018","        173.60","        173.55","        174.65","        172.10","        173.20","        172.85","        172.90","    1669647","           288687592.10","      21862"
"NTPC","EQ","25-Apr-2018","        172.85","        172.80","        172.85","        169.50","        172.00","        171.85","        170.73","    4520117","           771714749.40","      43973"
"NTPC","EQ","26-Apr-2018","        171.85","        172.65","        173.85","        169.55","        171.65","        172.00","        171.25","    4456282","           763132284.50","      36712"
"NTPC","EQ","27-Apr-2018","        172.00","        172.60","        172.75","        169.40","        170.65","        170.75","        170.29","    7772540","          1323607383.05","      35953"
"NTPC","EQ","30-Apr-2018","        170.75","        171.20","        173.15","        169.80","        172.10","        172.15","        171.80","    1908456","           327868557.30","      16771"
