"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ONGC","EQ","02-Feb-2018","        194.90","        194.00","        197.75","        188.00","        192.45","        192.70","        191.99","   12239774","          2349916699.35","     105737"
"ONGC","EQ","05-Feb-2018","        192.70","        192.40","        192.45","        188.00","        189.15","        188.75","        189.96","    7607002","          1445012904.85","      48312"
"ONGC","EQ","06-Feb-2018","        188.75","        182.00","        187.00","        180.10","        185.75","        185.45","        184.77","    5935676","          1096724080.05","      48281"
"ONGC","EQ","07-Feb-2018","        185.45","        188.05","        191.50","        187.00","        189.30","        190.00","        189.77","    8644010","          1640398010.65","      48136"
"ONGC","EQ","08-Feb-2018","        190.00","        190.00","        191.60","        188.00","        188.75","        188.70","        189.39","    4540513","           859926175.40","      38351"
"ONGC","EQ","09-Feb-2018","        188.70","        187.40","        190.20","        184.60","        187.50","        187.35","        187.50","    7314145","          1371392635.60","      52770"
"ONGC","EQ","12-Feb-2018","        187.35","        192.00","        194.50","        190.35","        191.30","        191.00","        192.53","   14960914","          2880444042.75","      80993"
"ONGC","EQ","14-Feb-2018","        191.00","        191.00","        192.00","        184.30","        184.55","        185.75","        187.86","    4960527","           931861297.30","      45122"
"ONGC","EQ","15-Feb-2018","        185.75","        187.10","        189.00","        185.00","        188.10","        188.30","        187.08","    5046557","           944089988.40","      31665"
"ONGC","EQ","16-Feb-2018","        188.30","        187.60","        189.30","        186.50","        186.85","        186.90","        187.77","    4167034","           782455708.90","      26266"
"ONGC","EQ","19-Feb-2018","        186.90","        187.40","        187.40","        181.85","        185.60","        185.30","        184.27","    4265576","           786020831.00","      37253"
"ONGC","EQ","20-Feb-2018","        185.30","        185.80","        188.50","        184.80","        187.45","        187.00","        186.70","    5328584","           994861874.60","      57861"
"ONGC","EQ","21-Feb-2018","        187.00","        188.00","        190.80","        184.70","        189.60","        190.15","        188.77","    4651807","           878142416.05","      35916"
"ONGC","EQ","22-Feb-2018","        190.15","        187.50","        188.40","        185.25","        186.15","        186.10","        186.18","    8629189","          1606600913.45","      37710"
"ONGC","EQ","23-Feb-2018","        186.10","        187.05","        190.85","        186.50","        190.10","        189.80","        188.98","    4880302","           922300903.45","      35728"
"ONGC","EQ","26-Feb-2018","        189.80","        190.35","        191.95","        189.50","        189.95","        190.35","        190.88","    2721955","           519560647.15","      23229"
"ONGC","EQ","27-Feb-2018","        190.35","        191.00","        194.35","        186.10","        188.50","        188.50","        190.82","    6611097","          1261510965.10","      52387"
"ONGC","EQ","28-Feb-2018","        188.50","        187.70","        190.20","        186.30","        188.00","        188.30","        188.88","    6147245","          1161062422.30","      48693"
"ONGC","EQ","01-Mar-2018","        188.30","        187.90","        190.20","        187.35","        189.60","        189.70","        189.23","    3450224","           652897619.40","      31261"
"ONGC","EQ","05-Mar-2018","        189.70","        189.00","        189.40","        184.20","        185.25","        185.55","        186.06","    5082390","           945633298.85","      40479"
"ONGC","EQ","06-Mar-2018","        185.55","        186.50","        186.90","        184.50","        185.45","        185.40","        185.51","    2906142","           539109819.70","      33562"
"ONGC","EQ","07-Mar-2018","        185.40","        185.00","        185.25","        178.80","        181.70","        181.50","        180.99","    4482279","           811228245.70","      42754"
"ONGC","EQ","08-Mar-2018","        181.50","        182.00","        182.70","        179.40","        180.60","        180.15","        180.24","    3288627","           592744199.70","      25141"
"ONGC","EQ","09-Mar-2018","        180.15","        180.30","        182.95","        179.50","        180.05","        179.90","        181.04","    2053847","           371833845.70","      24731"
