"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"WIPRO","EQ","02-Feb-2018","        300.75","        299.30","        302.45","        295.20","        300.05","        300.60","        299.45","    2517624","           753891190.70","      40062"
"WIPRO","EQ","05-Feb-2018","        300.60","        298.00","        305.55","        295.95","        298.45","        298.75","        300.64","    2194146","           659657502.45","      49410"
"WIPRO","EQ","06-Feb-2018","        298.75","        291.70","        296.15","        290.10","        294.90","        294.65","        293.40","    2433492","           713984596.05","      36379"
"WIPRO","EQ","07-Feb-2018","        294.65","        298.20","        298.20","        288.00","        289.25","        289.35","        290.70","    2498537","           726337192.20","      47328"
"WIPRO","EQ","08-Feb-2018","        289.35","        290.10","        294.65","        287.05","        289.85","        289.80","        291.27","    5297067","          1542872348.35","      56013"
"WIPRO","EQ","09-Feb-2018","        289.80","        289.00","        289.00","        284.00","        285.25","        285.00","        285.41","    3151977","           899616329.10","      51271"
"WIPRO","EQ","12-Feb-2018","        285.00","        287.90","        290.95","        285.90","        289.05","        288.95","        289.07","    2520859","           728692735.95","      44518"
"WIPRO","EQ","14-Feb-2018","        288.95","        290.00","        296.75","        289.55","        291.65","        293.45","        294.27","    3023672","           889775627.45","      53749"
"WIPRO","EQ","15-Feb-2018","        293.45","        295.60","        295.60","        290.45","        292.50","        292.50","        292.82","    1655650","           484806839.50","      29797"
"WIPRO","EQ","16-Feb-2018","        292.50","        292.95","        295.90","        290.05","        291.50","        291.00","        293.27","    3078393","           902788826.90","      20949"
"WIPRO","EQ","19-Feb-2018","        291.00","        293.00","        293.00","        288.80","        291.25","        289.95","        290.46","    1657827","           481532996.90","      26914"
"WIPRO","EQ","20-Feb-2018","        289.95","        290.00","        293.25","        289.10","        292.50","        291.45","        291.59","    3435235","          1001693596.50","      35876"
"WIPRO","EQ","21-Feb-2018","        291.45","        294.00","        294.85","        290.55","        292.90","        292.20","        292.59","    5155603","          1508484955.50","      68240"
"WIPRO","EQ","22-Feb-2018","        292.20","        292.90","        294.25","        291.05","        292.50","        292.65","        292.71","    4814439","          1409241132.25","      51270"
