Date,ASIANPAINT,BHARTIARTL,CIPLA,IOC,JSWSTEEL,MARUTI,NTPC,ONGC,SBIN,WIPRO
02-Feb-2018,1137.9,422.35,581.15,408.65,299,8990.6,165.2,192.7,297.35,300.6
05-Feb-2018,1134.1,440.2,580.1,409,291.25,9080.6,166.25,188.75,298.05,298.75
06-Feb-2018,1110.25,439.15,564.25,401.3,283.2,8984.6,165.3,185.45,291.75,294.65
07-Feb-2018,1121.1,430.25,569.25,404.75,290,8921.8,165.45,190,292.8,289.35
08-Feb-2018,1124.05,429.8,612.65,385.6,304.2,9030.7,163.7,188.7,301.4,289.8
09-Feb-2018,1130.75,422.5,621.4,378.65,309.35,8936.1,163.25,187.35,296.4,285
12-Feb-2018,1144.4,424.4,621.65,379.05,310.75,9117.85,164.9,191,288.75,288.95
14-Feb-2018,1139.15,434.8,616.15,377.35,309.55,9001.6,162.95,185.75,276.2,293.45
15-Feb-2018,1135.45,428.95,605.85,376.8,307.8,9020.25,163.2,188.3,278.7,292.5
16-Feb-2018,1143.85,419.7,611.1,375.05,312.4,8836.95,162.8,186.9,271.65,291
19-Feb-2018,1120.35,414.35,600.4,369.65,302.7,8724.85,162.9,185.3,268.5,289.95
20-Feb-2018,1126.4,418.1,603.45,366.6,305.6,8722.65,164.2,187,269.65,291.45
21-Feb-2018,1127.2,419.65,597.25,368.5,298.3,8782.75,162.3,190.15,273.3,292.2
22-Feb-2018,1118.1,416.1,589.65,363.2,297.7,8634.05,160.75,186.1,272.6,292.65
23-Feb-2018,1101.8,425.55,595.65,368.4,306.95,8698.8,163.55,189.8,276.05,295
26-Feb-2018,1104.8,423.15,590.1,376.7,316.1,9005.35,162.95,190.35,274.45,291.6
27-Feb-2018,1110.35,430.5,586.5,377.45,318.1,8891.2,165.55,188.5,267.6,291.75
28-Feb-2018,1117.75,428.55,589.65,379.3,312.2,8850.95,163.25,188.3,268,292.8
01-Mar-2018,1118.9,427.75,581.7,381.5,305.5,8873.45,163,189.7,262.15,292.5
05-Mar-2018,1105.95,421.45,579.25,379.25,291.65,8795.1,163.3,185.55,263.5,290.95
06-Mar-2018,1101.6,413.9,584.1,382.2,293.5,8616.5,163.35,185.4,256.55,286.95
07-Mar-2018,1107.25,403.2,580.2,379.4,289.5,8679.1,163.5,181.5,246.65,285.35
08-Mar-2018,1127.6,401.3,578,382.1,289.25,8729.35,165.3,180.15,256.8,285.2
09-Mar-2018,1129.1,402.15,571.05,385.5,291.95,8660.6,164.4,179.9,253.25,285.05
12-Mar-2018,1131.5,421.55,580.65,400.65,297.85,8810.3,171.15,183.85,252.85,290.7
13-Mar-2018,1140.3,426.3,578.75,407.85,303.5,8756.05,169.4,183.6,254.7,296.6
14-Mar-2018,1137,422.6,577.9,395.05,300.45,8846.3,169.7,180.6,257.05,293.85
15-Mar-2018,1160.8,420.45,571.15,192.05,295.15,8837.55,169.9,180.3,253.7,293.4
16-Mar-2018,1122.75,416.75,559.4,184.75,290.25,8676.55,164.85,177.15,252.3,295.75
19-Mar-2018,1102.55,399.65,559.75,177.9,283.6,8773.5,167,176.85,247.95,288.65
20-Mar-2018,1106.5,400.4,552.9,173.85,285.5,8802.4,166.4,174.1,249.1,293.6
21-Mar-2018,1103.55,418.2,551.05,172.45,288.4,8874.65,170.35,175.55,248,295.25
22-Mar-2018,1107.1,415.6,540.75,170.1,286,8696.55,170.95,178.9,241.55,288.45
23-Mar-2018,1112.65,412.7,538.4,168.85,286,8607.25,170.05,177.4,234.8,284.65
26-Mar-2018,1117.55,421.5,541.8,167.2,293.9,8765.3,169.85,178.9,246.5,274
27-Mar-2018,1131.1,413.2,545.05,174.85,298.85,8852.3,171.05,179.6,254.35,274.05
28-Mar-2018,1120.4,398.7,545.45,176.6,288.15,8861.1,169.7,177.8,249.9,281.15
02-Apr-2018,1150.15,395.1,576.25,170.45,296.55,9008.2,170.4,179.95,246.15,289.65
03-Apr-2018,1152.1,402.2,570.3,174.15,303.05,9026.45,169.35,177.5,250.5,283.9
04-Apr-2018,1136,395.05,569.8,171.15,295.85,9013.5,166.55,175.4,247.3,281.6
05-Apr-2018,1142.9,393.9,560.35,173.55,308.4,9132.6,168.95,177.45,259.3,286.25
06-Apr-2018,1143.5,384.95,558.95,174.25,308.2,9206.2,169.45,176.95,259.7,283.95
09-Apr-2018,1157.45,380.3,556.75,179.8,309.4,9292.65,169.65,178.4,260.65,285.05
10-Apr-2018,1156.75,385.55,558.15,179.3,311.35,9273.45,168.4,180.2,263.3,286
11-Apr-2018,1155.85,385.3,561.5,167.35,312.2,9302.5,168.5,182.15,257.05,285.7
12-Apr-2018,1165.2,380.2,556.15,168.25,308.25,9204.45,169.5,181.75,253.8,286.85
13-Apr-2018,1162.2,377.9,555.5,165.35,308.5,9123.95,170.95,182.5,250.95,294.15
16-Apr-2018,1178.85,376.65,584.95,165,308.9,9232,174.1,181.5,249,289.9
17-Apr-2018,1176,382.05,579.95,167.2,309.15,9160.35,176.95,180.8,248.15,284.75
18-Apr-2018,1172.3,384.25,584.6,164.95,309.95,9121.5,178.55,182.1,246.45,292.65
19-Apr-2018,1165,395.35,584.4,157.95,322.85,9077.65,177.55,183.95,246.15,292.45
20-Apr-2018,1159.35,402,589.05,160.1,322.85,9025,174.35,182.35,241.2,298.05
23-Apr-2018,1178.7,402.85,600.15,161.7,321.8,9064.85,173.6,181.05,242.45,297.35
24-Apr-2018,1170.1,406.25,601.9,163.05,324.75,9064.65,172.85,182.65,240.6,286.95
25-Apr-2018,1163.05,419.85,593.05,160.6,321.7,8934.6,171.85,179.45,237.2,287.15
26-Apr-2018,1155.7,409.2,599.95,161.15,327.7,8946.45,172,180.8,233.2,281.35
27-Apr-2018,1181.6,408.75,599.85,162.9,327.6,8783.35,170.75,180.7,242.6,276.15
30-Apr-2018,1201.7,409.55,607.4,162.3,325,8814.95,172.15,180.55,246.4,278.75
02-May-2018,1222.3,408.45,612,161.15,315.15,8744.5,170.4,180.05,241,275.55
03-May-2018,1206.75,404.4,609.3,161.7,319.3,8755.95,174.3,181.1,241.9,271.45
04-May-2018,1190.45,396.75,597,161.5,317.4,8678.2,170.9,180.25,241.95,269.9
07-May-2018,1215.25,398.25,591.05,164.3,325.8,8743.7,170.5,183.9,246.5,274.75
08-May-2018,1209.9,401.15,590.65,166.55,324.05,8775.2,171.4,183.1,250.05,272.75
09-May-2018,1222.55,402.45,588,167.2,321.75,8718.35,170.4,182.85,248,270.25
