Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,531,538.3,527,529.4,531.8187834647,210483,1970,111938813,55026,26.14,11.3,-1.6,1
28-December-2017,535,545,530.1,531.05,533.3384288555,110620,2013,58997897,24518,22.16,14.9,-3.95,2
27-December-2017,542.1,547.2,530.75,534,540.7948963774,307703,3991,166404212,103634,33.68,16.45,-8.1,3
26-December-2017,531,546,527,542.8,536.9119401989,449490,2894,241336548,201717,44.88,19,11.8,4
22-December-2017,525.05,538.65,524.15,529.1,531.9015828537,264080,4933,140464570,69906,26.47,14.5,4.05,5
21-December-2017,528.5,531.65,522.1,523.95,525.4909197623,408910,3645,214878492,252854,61.84,9.55,-4.55,6
20-December-2017,539.1,540.75,526.8,528.6,533.6934597182,222284,4156,118631517,61753,27.78,13.95,-10.5,7
19-December-2017,526,539.95,520.2,536.4,523.7253235364,4612310,5054,2415583547,4375086,94.86,19.75,10.4,8
18-December-2017,500,531.45,485,526.15,499.4231591923,3421691,8774,1708871729,3127307,91.4,46.45,26.15,9
15-December-2017,524,534,516.2,518.95,526.9658240816,3337467,2691,1758731048,3178461,95.24,17.8,-5.05,10
14-December-2017,517,526.3,511.5,521,518.5036120263,149639,1719,77588362,46036,30.76,14.8,4,11
13-December-2017,528.5,533.5,515,516.95,530.1374391993,4356239,3882,2309405388,4085445,93.78,18.5,-11.55,12
12-December-2017,532.5,533.4,520.65,523.95,524.8769120165,105713,1353,55486313,20384,19.28,12.75,-8.55,13
11-December-2017,526.2,537.8,524.8,532.5,531.7808089737,295263,4535,157015197,52132,17.66,13,6.3,14
8-December-2017,516,530.85,515,525.15,524.7452531755,434027,7712,227753608,125182,28.84,15.85,9.15,15
7-December-2017,483.15,518.4,480,513.35,505.8881722593,278464,4388,140871644,62924,22.6,38.4,30.2,16
6-December-2017,488,492.6,479.95,483.95,487.916486035,257430,1171,125604341,182033,70.71,12.65,-4.05,17
5-December-2017,485,492,477,490.5,486.362008659,216423,3170,105259925,52444,24.23,15,5.5,18
4-December-2017,485.3,491.9,482.65,484.8,488.2995032235,143324,1877,69985038,39124,27.3,9.25,-0.5,19
1-December-2017,496.85,496.85,481.75,483.25,489.4897930975,209809,2219,102699364,38967,18.57,15.1,-13.6,20
30-November-2017,490,499.8,490,496.85,496.4490506921,128304,1506,63696399,49998,38.97,9.8,6.85,21
29-November-2017,492.75,497,490.2,495.7,494.1186990551,73977,1403,36553419,14777,19.98,6.8,2.95,22
