Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,263,264.45,261.05,263,263.1620345254,256217,5412,67426587,136839,53.41,3.4,0,1237
28-December-2017,262.3,272.25,262.1,262.95,264.1743941221,251247,3541,66373024,96190,38.29,10.15,0.65,1236
27-December-2017,264,265.2,261.45,262.55,263.0697997511,220975,3922,58131849,99775,45.15,3.75,-1.45,1235
26-December-2017,266,266.6,263.2,263.65,264.2243528065,219293,2014,57942551,95615,43.6,3.4,-2.35,1234
22-December-2017,268,268,265.55,266,266.0902892639,242443,1698,64511728,127374,52.54,2.45,-2,1233
21-December-2017,270.55,271.15,266.9,268,269.4686858118,233201,4998,62840367,92192,39.53,4.25,-2.55,1232
20-December-2017,272.45,272.45,268.5,269.6,270.2186282455,218421,1931,59021423,54021,24.73,3.95,-2.85,1231
19-December-2017,268.15,274,266.5,267.6,268.6604865754,234085,2234,62889390,80931,34.57,7.5,-0.55,1230
18-December-2017,271,274.75,262.45,268.05,270.2791661802,402581,3505,108809257,60704,15.08,12.3,-2.95,1229
15-December-2017,269,271.8,264,271.05,269.1532253846,267658,3831,72041014,76609,28.62,7.8,2.05,1228
14-December-2017,262.65,264.7,262.4,263.1,263.3847434494,66673,797,17560651,31158,46.73,2.3,0.45,1227
13-December-2017,265.8,266.9,261.4,262.6,263.0578451271,116276,1477,30587314,43742,37.62,5.5,-3.2,1226
12-December-2017,273,273,262.6,263.25,264.5626895878,217907,2462,57650062,40603,18.63,10.4,-9.75,1225
11-December-2017,265.75,270.35,265.3,269.85,269.2508123237,228665,1551,61568237,38576,16.87,5.05,4.1,1224
8-December-2017,265,265.45,262.95,264.75,264.1370572262,149879,1215,39588598,68914,45.98,2.5,-0.25,1223
7-December-2017,267,267,262.65,263.3,263.7623844809,96088,1149,25344400,34597,36.01,4.35,-3.7,1222
6-December-2017,265.25,267.6,264,265,266.0214332395,74977,913,19945489,24679,32.92,3.6,-0.25,1221
5-December-2017,265.1,266.5,263.55,265.25,265.0656755597,79238,961,21003274,26949,34.01,2.95,0.15,1220
4-December-2017,273,274.1,265.7,266.55,267.7880903466,167444,1688,44839509,47315,28.26,8.4,-6.45,1219
1-December-2017,275.1,276.15,270.25,272.25,272.8509012808,101966,1018,27821515,33217,32.58,5.9,-2.85,1218
30-November-2017,276,278.1,272.7,276.2,274.4792678757,125771,1151,34521532,24581,19.54,5.4,0.2,1217
29-November-2017,276.5,282,274.65,276.45,278.923642585,254841,3060,71081180,63462,24.9,7.35,-0.05,1216
28-November-2017,272.5,276.3,270.15,274.65,273.6745511916,167332,1515,45794510,35875,21.44,6.15,2.15,1215
27-November-2017,271.5,272.45,269.5,271.85,270.8817994033,69712,757,18883712,23400,33.57,2.95,0.35,1214
24-November-2017,271.8,272.95,270.6,271.1,271.6675415888,83436,802,22666853,22299,26.73,2.35,-0.7,1213
23-November-2017,272,274.25,269.25,270.9,271.1771495705,136190,1422,36931616,34631,25.43,5,-1.1,1212
22-November-2017,276,276.75,271.1,272.3,273.1161472693,143628,1301,39227126,32255,22.46,5.65,-3.7,1211
21-November-2017,279.8,281.2,273.1,274.05,276.0952341745,206470,1422,57005383,90040,43.61,8.1,-5.75,1210
20-November-2017,272,280.25,270.25,278.25,276.9019835233,174185,1947,48232172,37928,21.77,10,6.25,1209
17-November-2017,270,273.4,268.85,272.85,271.5928890743,177389,1759,48177591,73494,41.43,4.55,2.85,1208
16-November-2017,272,272.65,266.3,268.95,268.4675900941,233478,7133,62681276,98283,42.1,6.35,-3.05,1207
15-November-2017,275.8,276,270.4,272.4,271.6304536349,163744,3090,44477857,64448,39.36,5.6,-3.4,1206
14-November-2017,275,276.2,271.5,274.5,274.0419597003,257223,1480,70489895,123146,47.88,4.7,-0.5,1205
13-November-2017,277,279.9,274.35,276.1,276.4905393056,401609,3110,111041089,135216,33.67,5.55,-0.9,1204
10-November-2017,284.8,287.9,278.2,284.65,280.5168278359,316024,2034,88650050,137980,43.66,9.7,-0.15,1203
9-November-2017,287.85,287.95,280.1,283.1,283.1028385295,320201,2613,90649812,111469,34.81,7.85,-4.75,1202
8-November-2017,284.5,288.9,282.25,288,286.1281513309,567181,2641,162286451,300204,52.93,6.65,3.5,1201
7-November-2017,287.1,287.5,283.6,284.75,285.1735060072,192270,1671,54830310,43003,22.37,3.9,-2.35,1200
6-November-2017,286.9,290.75,284,287.1,286.5490381483,251702,2154,72124966,45305,18,6.75,0.2,1199
3-November-2017,291,292.05,285.4,286.6,287.0988425304,606409,1590,174099322,456905,75.35,6.65,-4.4,1198
2-November-2017,285.1,292.4,284.75,291.65,290.8674011153,725896,4127,211139483,420695,57.96,7.65,6.55,1197
