Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,1259,1270,1248,1256.95,1257.3086435643,93237,2884,117227686,29974,32.15,22,-2.05,1
28-December-2017,1256,1265,1250.6,1253.25,1254.8687443355,131301,2807,164765521,88861,67.68,14.4,-2.75,2
27-December-2017,1269,1275,1252.4,1258.6,1264.9476698053,75616,2363,95650283,25987,34.37,22.6,-10.4,3
26-December-2017,1267.55,1274.5,1258.5,1269.6,1266.5467878625,141479,4238,179189773,50638,35.79,16,2.05,4
22-December-2017,1254.05,1270,1253.3,1266.65,1262.166627145,185552,5382,234197542,73607,39.67,16.7,12.6,5
21-December-2017,1232.1,1266,1232.1,1253.8,1253.7992427941,4076302,10107,5110864361,131930,3.24,33.9,21.7,6
20-December-2017,1220,1239.9,1210,1230.15,1229.9862793203,616296,6639,758035624,464510,75.37,29.9,10.15,7
19-December-2017,1220.3,1221.45,1211.3,1217.3,1214.7754669355,230171,2836,279606084,162653,70.67,10.15,-3,8
18-December-2017,1199,1223,1177.45,1214.85,1210.6616067258,162716,5126,196994014,40602,24.95,45.55,15.85,9
15-December-2017,1204,1216,1201,1203.3,1207.3090871807,102408,6595,123638109,61239,59.8,15,-0.7,10
14-December-2017,1193.1,1218,1176,1188.85,1184.9805133488,93192,5070,110430704,39905,42.82,42,-4.25,11
13-December-2017,1203,1209.85,1185.1,1189,1190.8167650939,330532,5379,393603047,256609,77.64,24.75,-14,12
12-December-2017,1220,1221,1201.3,1202.85,1207.5028996487,72595,3307,87658673,38349,52.83,19.7,-17.15,13
11-December-2017,1220,1228.8,1215.55,1221.4,1222.2272253371,2492847,2658,3046825472,2436761,97.75,13.25,1.4,14
8-December-2017,1220,1226,1217.5,1219.3,1221.6470369898,86213,2188,105321856,29180,33.85,8.5,-0.7,15
7-December-2017,1182,1228.75,1182,1219.15,1213.5098172885,155491,6562,188689855,62710,40.33,46.75,37.15,16
6-December-2017,1212,1212,1188,1190.05,1191.8978741666,517303,3815,616572346,416044,80.43,24,-21.95,17
5-December-2017,1217,1217,1192.65,1207.3,1202.7849202557,110917,3328,133409295,28878,26.04,24.35,-9.7,18
4-December-2017,1213,1225,1202.75,1217.85,1217.3471529832,106515,4755,129665732,40548,38.07,22.25,4.85,19
1-December-2017,1222,1235,1208.55,1212.6,1224.1027654766,98681,4968,120795685,40617,41.16,26.45,-9.4,20
30-November-2017,1220,1226.1,1209.2,1216.85,1216.7119451546,86060,3741,104710230,37767,43.88,16.9,-3.15,21
29-November-2017,1219.9,1223,1213.3,1217.3,1219.0873079953,101560,3655,123810507,47956,47.22,9.7,-2.6,22
28-November-2017,1230,1230,1209.1,1212.3,1215.3949097527,114297,3143,138915992,41856,36.62,20.9,-17.7,23
27-November-2017,1217.55,1230,1216.3,1222.6,1223.4208799958,94205,2800,115252364,28617,30.38,13.7,5.05,24
24-November-2017,1216.8,1223.7,1213.65,1216.3,1218.0755473327,126477,4407,154058541,61922,48.96,10.05,-0.5,25
23-November-2017,1217.15,1228.75,1211.35,1216.3,1220.3496495567,185194,5549,226001433,69812,37.7,17.4,-0.85,26
22-November-2017,1225,1229.9,1215.8,1221.25,1225.9221130269,358481,6975,439469785,83852,23.39,14.1,-3.75,27
21-November-2017,1230.05,1233.15,1213.55,1221.7,1223.0954867737,99574,2786,121788510,40302,40.47,19.6,-8.35,28
20-November-2017,1240,1248.45,1225,1227.75,1234.1472403498,169478,5433,209160806,44834,26.45,23.45,-12.25,29
17-November-2017,1229,1239.5,1215,1221.25,1231.465576403,250337,6819,308281398,128717,51.42,24.5,-7.75,30
