Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,925.9,932.25,918.1,921.05,924.3084474039,913689,5527,844530461,667341,73.04,14.15,-4.85,1237
28-December-2017,923.2,934.2,918.65,924.4,924.9075651042,557798,6860,515911590,207616,37.22,15.55,1.2,1236
27-December-2017,930.15,936.75,918.35,922.3,929.8727901427,390127,4433,362768482,189258,48.51,18.4,-7.85,1235
26-December-2017,923,936.6,918.6,928,924.0982912531,404624,4883,373912347,186238,46.03,18,5,1234
22-December-2017,916,922,910.2,918.5,917.0572886568,295905,4138,271361837,117841,39.82,11.8,2.5,1233
21-December-2017,920,923.2,911.1,913.05,917.2205408587,312577,3500,286702045,131358,42.02,12.1,-6.95,1232
20-December-2017,925,927,917,918.75,920.510231077,575306,4105,529575059,324942,56.48,10,-6.25,1231
19-December-2017,921.5,926.9,920.05,924,921.870661466,529672,3650,488289077,344340,65.01,6.85,2.5,1230
18-December-2017,917,931.25,861.7,919.4,914.889073477,568232,10163,519869248,118703,20.89,69.55,2.4,1229
15-December-2017,929.2,933,917.5,919.9,926.195883453,414425,5717,383838729,271104,65.42,15.5,-9.3,1228
14-December-2017,920,925,909,920.55,915.1228508804,1041124,5012,952756363,784233,75.33,16,0.55,1227
13-December-2017,919.75,924.3,912,914,918.623828595,556810,5677,511498934,250067,44.91,12.3,-5.75,1226
12-December-2017,913.5,928.95,907.9,915.05,919.590058842,535672,6348,492598646,265135,49.5,21.05,1.55,1225
11-December-2017,920.8,925.45,913.5,915.9,917.0954572318,428087,5909,392596643,273809,63.96,11.95,-4.9,1224
8-December-2017,937,937,919.65,920.95,924.6461325702,365165,4529,337648405,207549,56.84,17.35,-16.05,1223
7-December-2017,927.1,933.95,922.8,930.65,927.8231107863,473398,4849,439229605,243367,51.41,11.15,3.55,1222
6-December-2017,913.8,930.5,909.2,927.5,923.3249190516,1026271,6618,947581588,553797,53.96,21.3,13.7,1221
5-December-2017,900.35,918.9,895.9,911.5,911.5182242611,517058,7224,471307790,208117,40.25,23,11.15,1220
4-December-2017,915.75,917.9,898,901.5,902.0196059353,452210,5258,407902286,246870,54.59,19.9,-14.25,1219
1-December-2017,925,931.1,908,909.85,917.6892553103,312694,6263,286955924,83147,26.59,23.1,-15.15,1218
30-November-2017,940,952,920,922.6,929.2334174929,299035,5411,277873315,104679,35.01,32,-17.4,1217
29-November-2017,942.95,949.8,938,945.45,946.6587809718,506994,3992,479950322,264355,52.14,11.8,2.5,1216
28-November-2017,949.45,950.95,938.25,942.95,943.5203565522,227961,3555,215085844,80780,35.44,12.7,-6.5,1215
27-November-2017,948,955.75,943.5,950.7,948.1666635092,316710,4629,300293864,123976,39.14,12.25,2.7,1214
24-November-2017,948,959,946.65,949.5,951.0387429185,508893,6902,483976959,265090,52.09,12.35,1.5,1213
23-November-2017,925.65,948,925.65,945.15,939.4017945675,553671,5919,520119531,313359,56.6,22.35,19.5,1212
22-November-2017,937.05,938.7,924.55,930.25,930.1009160682,417327,5109,388156225,203619,48.79,14.15,-6.8,1211
21-November-2017,925,939.7,924,932.4,933.937591428,477835,9751,446268069,226681,47.44,15.7,7.4,1210
20-November-2017,910,924,905.25,918.85,913.7204414867,429005,5373,391990638,179564,41.86,18.75,8.85,1209
17-November-2017,917.6,924.75,907.1,909.7,913.9673449313,443239,6110,405105972,158380,35.73,17.65,-7.9,1208
16-November-2017,882.5,905,882.5,902.45,900.5416690001,642828,7336,578893400,379156,58.98,22.5,19.95,1207
15-November-2017,886,889.85,878,882.4,884.9813901855,1129619,6236,999691793,905479,80.16,11.85,-3.6,1206
14-November-2017,875,894.5,873,886.2,885.1091393876,289538,7252,256272730,65917,22.77,21.5,11.2,1205
13-November-2017,883.5,891.35,873,875.15,879.6941221417,282688,10021,248678972,108796,38.49,18.35,-8.35,1204
10-November-2017,900,901,880.35,883.5,887.2009340848,302328,8216,268225684,122004,40.35,20.65,-16.5,1203
9-November-2017,895.1,909.1,892,901.55,902.2127915552,320008,6998,288715311,86482,27.02,17.1,6.45,1202
8-November-2017,907,908.9,885.1,888.25,893.3735228175,368861,12781,329530651,135723,36.8,23.8,-18.75,1201
7-November-2017,934.45,935,903.15,906.65,911.748062443,426181,13790,388569701,179823,42.19,31.85,-27.8,1200
6-November-2017,944,945,929,934.45,935.3622501942,405565,6925,379350191,178614,44.04,16,-9.55,1199
3-November-2017,953.3,953.3,940.5,945.6,944.2378278444,725344,4272,684897243,410288,56.56,12.8,-7.7,1198
2-November-2017,954,956.9,944.2,947.1,947.6387192095,513714,4948,486815277,237412,46.21,12.7,-6.9,1197
1-November-2017,946,957.4,945.9,952.3,951.9311041165,455586,9980,433686484,175251,38.47,11.5,6.3,1196
31-October-2017,943,945,932.1,940.8,936.6190478189,476464,4586,446265258,215765,45.28,12.9,-2.2,1195
30-October-2017,931,945,931,940.15,937.9539593236,435289,5971,408281041,81151,18.64,14,9.15,1194
27-October-2017,950.1,956.5,926.4,929.45,946.4473129266,4100930,13200,3881314179,3786621,92.34,30.1,-20.65,1193
26-October-2017,938.35,958.2,931.5,947.25,942.2184760465,694575,7474,654441398,385077,55.44,26.7,8.9,1192
25-October-2017,940,945.75,930,939.95,938.5983723822,448754,5375,421199774,289263,64.46,15.75,-0.05,1191
24-October-2017,947.1,947.1,928.3,934.75,936.7926276347,320250,6760,300007839,82190,25.66,18.8,-12.35,1190
23-October-2017,911.15,943.45,909.9,938.1,929.8291804146,540383,12067,502463882,135806,25.13,33.55,26.95,1189
19-October-2017,916.7,921.75,903.25,910.35,914.7286143529,278563,7057,254809547,88524,31.78,18.5,-6.35,1188
18-October-2017,875.55,917,875.15,913.75,903.2513451945,1010077,19092,912353409,291183,28.83,41.85,38.2,1187
17-October-2017,878.9,883.95,867.3,874.25,874.777973068,332838,6014,291159351,94862,28.5,16.65,-4.65,1186
16-October-2017,879.9,891.7,861.75,875.2,876.6475795153,630948,13598,553119037,138500,21.95,29.95,-4.7,1185
13-October-2017,880,891,874.25,876.7,880.8222367895,625450,13222,550910268,227173,36.32,16.75,-3.3,1184
12-October-2017,841,876.2,841,872.5,861.3056144068,632480,11893,544758575,300820,47.56,35.2,31.5,1183
11-October-2017,845,857.9,836.3,840.4,850.0971188239,426076,9701,362205980,164028,38.5,21.6,-4.6,1182
10-October-2017,831,846.9,830.75,843.4,842.4355829579,316112,5386,266303997,137554,43.51,16.15,12.4,1181
9-October-2017,836.85,838,828.25,830.75,832.4467605968,252670,4972,210334323,111679,44.2,9.75,-6.1,1180
6-October-2017,824.9,838.9,822.65,836.85,832.5778098807,279656,5227,232835380,130191,46.55,16.25,11.95,1179
5-October-2017,825,828.25,818.75,824.2,822.8070609381,354967,5529,292069354,159987,45.07,9.5,-0.8,1178
4-October-2017,798.35,824.95,795.5,819.2,811.6811734216,410935,7632,333548203,179923,43.78,29.45,20.85,1177
3-October-2017,792.35,803.7,786.25,798.35,798.3802256619,606837,9055,484486661,356774,58.79,17.45,6,1176
29-September-2017,791,793.5,780,782.15,785.3052339499,643300,8766,505186857,110069,17.11,13.5,-8.85,1175
28-September-2017,800,802.5,781.15,786.75,793.1419531141,915584,12488,726188082,486315,53.12,21.35,-13.25,1174
27-September-2017,827.5,827.5,795.5,798.6,806.1426765455,590896,13091,476346483,195786,33.13,32,-28.9,1173
26-September-2017,820.5,827,812.5,819.2,818.2639526563,459787,11139,376227128,84452,18.37,14.5,-1.3,1172
25-September-2017,817.9,827.7,805.3,820.45,819.015817898,713622,9159,584467706,306877,43,22.4,2.55,1171
22-September-2017,840.7,840.7,814,817.5,825.1978006993,447324,9621,369130781,157322,35.17,26.7,-23.2,1170
21-September-2017,848,851.4,837,841.3,841.94884604,415569,5741,349887840,126425,30.42,14.4,-6.7,1169
20-September-2017,856.25,872.1,845,847.1,854.9729187563,745756,12796,637601184,198535,26.62,27.1,-9.15,1168
19-September-2017,849,849,837.55,840,840.5142155195,199852,3467,167978447,49763,24.9,11.45,-9,1167
18-September-2017,847,851.3,843.1,845.4,847.0527626305,272693,4115,230985359,63036,23.12,8.2,-1.6,1166
15-September-2017,842.1,852.15,835.4,843.4,842.2777820651,414656,6578,349255536,96486,23.27,16.75,1.3,1165
14-September-2017,857,861.4,842,844.2,849.1343115778,466073,7924,395758576,152876,32.8,19.4,-12.8,1164
13-September-2017,824,859.25,822.5,849.1,847.6676508745,751535,16761,637051908,241224,32.1,36.75,25.1,1163
12-September-2017,822.1,824.6,817.45,823.3,821.4345680595,140436,3724,115358985,58273,41.49,7.15,1.2,1162
11-September-2017,820.4,827,816.05,818.1,823.7050422932,982073,3754,808938482,842610,85.8,10.95,-2.3,1161
8-September-2017,820.1,823.6,812.8,817.15,817.4331129761,293009,5698,239515259,117286,40.03,10.8,-2.95,1160
7-September-2017,824,832.7,816.5,818.9,822.9544912522,639020,11667,525884379,249088,38.98,16.2,-5.1,1159
6-September-2017,1631.4,1652.4,1625,1644.6,1644.0097809402,949193,13264,1560482576,590763,62.24,27.4,13.2,1158
5-September-2017,1619,1634.9,1619,1633,1629.5828601773,1047047,6221,1706249845,893361,85.32,15.9,14,1157
4-September-2017,1615,1635.75,1596.2,1611.35,1613.5109846401,1027025,7786,1657116119,775601,75.52,39.55,-3.65,1156
1-September-2017,1601.8,1615.95,1598.2,1609.35,1608.6257355478,202910,5453,326406248,82040,40.43,17.75,7.55,1155
31-August-2017,1570.3,1597.5,1570.3,1593.5,1585.7009401416,314208,9754,498239921,,,27.2,23.2,1154
30-August-2017,1545,1568.6,1543.6,1564.15,1556.5817003149,188965,5859,294139461,43257,22.89,25,19.15,1153
29-August-2017,1560,1566.8,1530,1531.75,1542.742948803,203547,9964,314020699,88991,43.72,36.8,-28.25,1152
28-August-2017,1579,1582.25,1561.7,1565.8,1568.0573150414,133246,4929,208937365,64275,48.24,20.55,-13.2,1151
24-August-2017,1591.7,1592.2,1564.6,1567.4,1575.5169263263,168554,5170,265559680,57522,34.13,27.6,-24.3,1150
23-August-2017,1567,1585,1554,1581.3,1567.3525316257,191458,5895,300082181,48727,25.45,31,14.3,1149
22-August-2017,1574,1579.5,1558,1563.35,1571.2191499129,159019,4482,249853698,49601,31.19,21.5,-10.65,1148
21-August-2017,1577.05,1585.1,1563,1565.8,1573.9246334358,436281,13239,686673413,225917,51.78,22.1,-11.25,1147
18-August-2017,1566,1579.5,1553.65,1575.4,1568.4636907888,142815,5197,224000142,35537,24.88,25.85,9.4,1146
17-August-2017,1571.7,1596.85,1560.1,1566.05,1580.653460418,313387,7954,495356246,121316,38.71,36.75,-5.65,1145
16-August-2017,1571,1578,1550.55,1566.95,1561.4501332088,239849,10298,374512253,68450,28.54,27.45,-4.05,1144
14-August-2017,1556.5,1585,1556.5,1573.15,1572.439353109,291672,10239,458636531,129209,44.3,28.5,16.65,1143
11-August-2017,1554.9,1578,1535.5,1546.55,1556.80839495,251961,9085,392255000,80886,32.1,42.5,-8.35,1142
10-August-2017,1597.95,1606.85,1577.3,1584.05,1591.1651537888,339199,6331,539721629,193193,56.96,29.55,-13.9,1141
9-August-2017,1600,1619.9,1585.75,1598.85,1605.2607720763,193556,6416,310707854,43700,22.58,34.15,-1.15,1140
8-August-2017,1620,1621,1588.25,1603.4,1604.6437249505,207090,6116,332305669,60428,29.18,32.75,-16.6,1139
7-August-2017,1629.6,1632,1612.8,1616.6,1621.4357155891,202763,7256,328767170,57799,28.51,19.2,-13,1138
4-August-2017,1660.55,1663.2,1615.55,1622.5,1626.4999367427,284552,12820,462823810,104517,36.73,47.65,-38.05,1137
3-August-2017,1629.9,1665,1616.9,1651.55,1648.020785074,381187,11494,628204099,94839,24.88,48.1,21.65,1136
2-August-2017,1608.6,1636,1605,1629.1,1625.6807184619,334548,8329,543868233,114296,34.16,31,20.5,1135
1-August-2017,1623.85,1625,1591.6,1603.55,1605.0763833721,142243,6365,228310880,50441,35.46,33.4,-20.3,1134
31-July-2017,1600.05,1618,1596,1613.85,1609.8674112614,192588,6395,310041145,57492,29.85,22,13.8,1133
28-July-2017,1597,1605,1579,1594.25,1591.9229017595,228358,8293,363528330,62738,27.47,26,-2.75,1132
27-July-2017,1629.95,1631.1,1591,1598.35,1614.6572197195,250169,7961,403937182,77407,30.94,40.1,-31.6,1131
26-July-2017,1610,1629.95,1602,1621.9,1621.1584261403,744107,12009,1206315333,374277,50.3,27.95,11.9,1130
25-July-2017,1626.7,1629,1600,1603.35,1611.3589712647,281744,8756,453990722,78316,27.8,29,-23.35,1129
24-July-2017,1604,1624.8,1586.2,1616.1,1613.396473572,793324,21312,1279946144,214100,26.99,38.6,12.1,1128
21-July-2017,1554,1592.2,1544.4,1586.2,1573.7372956721,1975685,54115,3109209169,289301,14.64,47.8,32.2,1127
20-July-2017,1540,1549.85,1521.05,1528.7,1535.701708267,227482,5937,349344496,64552,28.38,28.8,-11.3,1126
19-July-2017,1519.7,1540.8,1515,1533.5,1528.224203858,140176,4640,214220356,37947,27.07,25.8,13.8,1125
18-July-2017,1548.4,1551.5,1512,1519.9,1526.3559732645,253446,7240,386848816,89976,35.5,39.5,-28.5,1124
17-July-2017,1534.3,1558.8,1534.3,1551.35,1549.991994407,247452,8111,383548619,87024,35.17,24.5,17.05,1123
14-July-2017,1522,1534,1515.25,1531.05,1526.8346002136,253773,7416,387469397,85833,33.82,18.75,9.05,1122
13-July-2017,1510,1523.6,1506.7,1518.85,1516.7465646677,287454,7067,435994867,105299,36.63,16.9,8.85,1121
12-July-2017,1498.8,1524.5,1496,1510.5,1512.9142726012,285428,8949,431828095,82390,28.87,28.5,11.7,1120
11-July-2017,1500,1504,1487.05,1495.2,1495.9825842356,263784,5049,394616270,107781,40.86,16.95,-4.8,1119
10-July-2017,1492,1508,1487,1492.45,1497.0482215322,1255041,27963,1878856897,694520,55.34,21,0.45,1118
7-July-2017,1438,1497,1438,1490.8,1468.1139583859,677607,14622,994804295,294637,43.48,59,52.8,1117
6-July-2017,1445.3,1449.95,1437.35,1441.4,1444.0458566484,161198,6728,232777304,56299,34.93,12.6,-3.9,1116
5-July-2017,1427.2,1445.9,1427,1439.8,1439.9142037205,235558,5936,339183310,61401,26.07,18.9,12.6,1115
4-July-2017,1387.5,1425.5,1387.5,1422.7,1408.7522884878,740773,8837,1043565659,155441,20.98,38,35.2,1114
3-July-2017,1388,1394,1372.1,1384.1,1384.7745327762,195035,5238,270079501,65061,33.36,21.9,-3.9,1113
30-June-2017,1392.9,1394.2,1375.1,1380.25,1381.6453708717,105279,3545,145458243,28657,27.22,19.1,-12.65,1112
29-June-2017,1412,1418,1390.3,1392.9,1397.8500032798,137203,4952,191789214,38686,28.2,27.7,-19.1,1111
