Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,309.3,311.95,309.1,309.5,310.1145878756,2401083,6713,744610865,1180405,49.16,2.85,0.2,1
28-December-2017,314.6,316.5,307.3,308.3,311.9000853243,3225342,10829,1005984445,2368684,73.44,9.2,-6.3,2
27-December-2017,317,320.3,312.9,314.15,315.3682693413,2192876,7054,691563509,1056165,48.16,7.4,-2.85,3
26-December-2017,318.8,319.75,316.35,316.85,317.1683758443,1178637,3909,373826383,687561,58.34,3.4,-1.95,4
22-December-2017,317,323.8,316.55,319.85,320.7530690335,803103,6553,257597752,231418,28.82,7.25,2.85,5
21-December-2017,317.7,318.2,315.3,316.55,316.8683592856,454168,3404,143911469,79607,17.53,2.9,-1.15,6
20-December-2017,318.2,319.65,316.5,317.25,317.6216921862,412886,3512,131141550,76210,18.46,3.15,-0.95,7
19-December-2017,319,322.15,318.2,319.45,319.9412202592,562864,4687,180083395,97187,17.27,3.95,0.45,8
18-December-2017,310.8,323.35,301,318.9,316.8882411403,1701449,13041,539169181,229665,13.5,22.35,8.1,9
15-December-2017,317.8,319.3,312.1,312.75,315.4277263017,632872,5454,199625376,152816,24.15,7.2,-5.05,10
14-December-2017,314.2,315.7,309.6,314.05,312.7525345159,686423,6962,214680533,177573,25.87,6.1,-0.15,11
13-December-2017,318.4,318.9,311.3,313.25,316.100487607,709998,5779,224430714,201450,28.37,7.6,-5.15,12
12-December-2017,317.95,320.3,314.9,318.4,317.6054582686,758409,6760,240874838,155262,20.47,5.4,0.45,13
11-December-2017,315.25,319.2,315.25,318.3,317.5495889682,654329,6771,207781905,170563,26.07,3.95,3.05,14
8-December-2017,316.95,318.65,312.1,313.15,315.4888045157,1236570,6623,390123991,609335,49.28,6.55,-3.8,15
7-December-2017,312.3,317.75,312.3,316.6,315.756655773,798630,5549,252172738,187825,23.52,5.45,4.3,16
6-December-2017,317.7,317.7,311.45,312.25,314.3114968061,956196,8768,300543396,236585,24.74,6.25,-5.45,17
5-December-2017,313,320.6,308.95,319.3,313.9448387839,1516319,9337,476040524,617419,40.72,11.65,6.3,18
4-December-2017,315,317.4,311.3,313.3,313.4502959398,607556,5190,190438608,146383,24.09,6.1,-1.7,19
1-December-2017,321.55,322.5,311.4,312.55,317.5606192781,1066080,7945,338545025,238690,22.39,11.1,-9,20
30-November-2017,326.85,326.85,318.85,320.45,323.0913198643,921322,7694,297671141,319306,34.66,8,-6.4,21
29-November-2017,334,334.7,327.65,328.8,331.4852887825,493399,4129,163554510,112729,22.85,7.05,-5.2,22
28-November-2017,335.35,336.25,331.5,332.65,332.9338324831,972320,5025,323718224,525637,54.06,4.75,-2.7,23
27-November-2017,330,336.5,328.4,335.25,331.9321496415,778581,7021,258436065,206107,26.47,8.1,5.25,24
24-November-2017,336,336.8,331.5,332.25,334.4189594625,754610,5600,252355891,187672,24.87,5.3,-3.75,25
23-November-2017,336.05,336.9,331.95,334.9,334.4179179674,758211,5840,253559344,123830,16.33,4.95,-1.15,26
22-November-2017,331,339.5,327.3,335.2,334.746713157,1643066,11267,550010943,181774,11.06,12.2,4.2,27
21-November-2017,334.8,335.4,330,330.75,332.246809181,914107,7057,303709134,235275,25.74,5.4,-4.05,28
20-November-2017,337.7,337.7,331.6,333.05,334.1282303908,974379,6949,325567531,138543,14.22,6.1,-4.65,29
17-November-2017,343.25,346.5,335.8,337.4,340.7167582339,1921175,15692,654576518,458145,23.85,10.7,-5.85,30
16-November-2017,325.6,334.05,323.7,333.45,329.8782018556,1228155,9899,405141563,196344,15.99,10.35,7.85,31
15-November-2017,327.95,330.85,322.15,325.2,326.9394879042,1006179,8681,328959647,143371,14.25,8.7,-2.75,32
14-November-2017,329,334.7,327.65,329.2,330.2455794013,1415815,8909,467566645,300534,21.23,7.05,0.2,33
13-November-2017,335.1,344.6,329.9,331.2,337.8329016855,7954401,24009,2687258371,500597,6.29,14.7,-3.9,34
10-November-2017,315,338.15,309.6,333.2,326.1023502266,7645816,54934,2493318567,903669,11.82,28.55,18.2,35
9-November-2017,312.25,317.9,308.5,313.75,313.6007124505,1906378,10872,597841499,662124,34.73,9.4,1.5,36
8-November-2017,318.6,319.4,307,309.75,313.5448709586,1249483,9612,391768986,457721,36.63,12.4,-8.85,37
7-November-2017,329,331.8,315.6,317.2,323.0180426311,1553044,12923,501661233,288805,18.6,16.2,-11.8,38
6-November-2017,324.1,329.85,321.5,328.95,326.3853751984,1691305,14895,552017217,483476,28.59,8.35,4.85,39
3-November-2017,315.5,326.9,312.45,325,319.430414767,2392476,17088,764229601,781719,32.67,14.45,9.5,40
2-November-2017,320,323.25,314.05,314.95,317.4421668358,1995075,13415,633320931,364236,18.26,9.2,-5.05,41
1-November-2017,309.75,321.45,309.2,319.8,316.9782449631,2542032,20301,805768842,861104,33.87,12.25,10.05,42
31-October-2017,312.2,313.8,304.4,305.8,307.6478473962,1085058,10628,333815758,257170,23.7,9.4,-6.4,43
30-October-2017,311.25,322.5,310.35,312.1,314.8194241716,3422756,20347,1077550073,1656817,48.41,12.15,0.85,44
27-October-2017,320,323.4,310.15,310.95,315.8856380678,2508221,18356,792310991,1018199,40.59,13.25,-9.05,45
26-October-2017,327.95,351.5,317.25,320.65,330.6990454329,7564371,63316,2501530269,1674206,22.13,34.25,-7.3,46
25-October-2017,279.95,328,279.95,324.7,311.9680667158,17296060,134735,5395818400,6176587,35.71,48.05,44.75,47
24-October-2017,246,255.35,246,254.5,251.9813750685,1191897,8840,300335845,297397,24.95,9.35,8.5,48
23-October-2017,243.2,246.75,242.6,245.75,244.8249058714,504363,4936,123480624,139908,27.74,4.15,2.55,49
19-October-2017,244.8,245.4,241.25,242.5,243.4936500475,525437,5710,127940573,263735,50.19,4.15,-2.3,50
18-October-2017,246,247.95,242.5,244.2,245.240383328,1673032,9875,410295009,847858,50.68,5.45,-1.8,51
17-October-2017,251.75,254.5,250.8,251.15,252.2480877288,551700,4485,139165270,188989,34.26,3.7,-0.6,52
16-October-2017,253.1,255,250.35,252.25,252.1551363988,610856,4705,154030478,167332,27.39,4.65,-0.85,53
13-October-2017,251.6,255,250.3,252.45,253.1221157497,508321,4325,128667287,122438,24.09,4.7,0.85,54
12-October-2017,252,253,249,251.6,250.5987993643,1258500,6402,315378589,765194,60.8,4,-0.4,55
11-October-2017,257.4,258.25,250.6,251.6,254.0535813085,858527,6760,218111859,292740,34.1,7.65,-5.8,56
10-October-2017,256.15,258.2,255.8,256.65,256.7277304652,426008,3062,109368067,112068,26.31,2.4,0.5,57
9-October-2017,257,258.95,254.5,256.5,256.6872380171,463055,4711,118860309,121165,26.17,4.45,-0.5,58
6-October-2017,251.5,257.5,251.5,256.65,256.0563963507,768915,5770,196885604,238119,30.97,6,5.15,59
5-October-2017,253.3,253.95,249.25,251.35,250.9630475164,686395,8628,172259781,270005,39.34,4.7,-1.95,60
4-October-2017,251.15,254.7,251.15,253.35,252.7146574225,616459,4756,155788225,197665,32.06,3.55,2.2,61
3-October-2017,255.2,256.45,250.65,251.3,252.1261034811,578057,6054,145743259,209005,36.16,5.8,-3.9,62
29-September-2017,254.3,255.6,253.1,253.75,254.369225716,429274,4368,109194095,140266,32.68,2.5,-0.55,63
28-September-2017,251,253.6,249.55,252.8,252.0427395865,714794,5626,180158638,214180,29.96,4.05,1.8,64
27-September-2017,260,260.1,248.8,250.45,252.8361360602,1244978,12033,314775427,461306,37.05,11.3,-9.55,65
26-September-2017,258,259.55,256.05,257.9,257.9364562876,606968,11318,156559175,229442,37.8,3.5,-0.1,66
25-September-2017,261.85,261.85,254.7,258.65,257.7824972563,1013224,9566,261191413,374159,36.93,7.15,-3.2,67
22-September-2017,267.05,267.45,261.2,261.9,263.644519586,966177,8438,254727271,421773,43.65,6.25,-5.15,68
21-September-2017,270,271.45,267.6,268.5,268.7929702152,495890,4216,133291746,144275,29.09,3.85,-1.5,69
20-September-2017,268,272,267.8,270.55,270.3588690632,762200,5955,206067530,304495,39.95,4.2,2.55,70
19-September-2017,270.45,271,266.55,267.8,268.1997675882,956922,8034,256646258,443459,46.34,4.45,-2.65,71
18-September-2017,272.25,274,269.5,270.15,271.473484024,725902,8895,197063145,370969,51.1,4.5,-2.1,72
15-September-2017,271.45,274.3,270.8,272.05,272.3437646439,759700,4334,206899558,324269,42.68,3.5,0.6,73
14-September-2017,273.9,275.5,272.3,273.9,274.074483998,557556,4473,152811873,194043,34.8,3.2,0,74
13-September-2017,275,276.5,272.75,273.35,275.2764615578,969274,7084,266818317,446541,46.07,3.75,-1.65,75
12-September-2017,271.45,275.45,270.55,273.5,273.6490741643,677334,5572,185351822,295753,43.66,4.9,2.05,76
11-September-2017,272.95,273.7,269.65,270.85,270.6118461686,1662833,9751,449982308,965849,58.08,4.05,-2.1,77
8-September-2017,275,275.6,271.25,271.95,272.7552501892,1425901,8702,388921984,585770,41.08,4.35,-3.05,78
7-September-2017,276.9,276.9,273.5,274.5,275.2082154691,1576319,9101,433815939,836603,53.07,3.4,-2.4,79
6-September-2017,275.3,277.2,273.5,274.2,275.4612312537,1126023,6403,310175682,506441,44.98,3.7,-1.1,80
5-September-2017,277.3,279.25,276.7,277.3,277.8773694505,1118139,4832,310705524,288536,25.81,2.55,0,81
4-September-2017,278.5,279.5,276.2,277.8,277.8581763394,582082,5712,161736243,221180,38,3.3,-0.7,82
1-September-2017,277.9,279.95,276.55,277.7,278.5048675689,692851,6289,192962376,340023,49.08,3.4,-0.2,83
31-August-2017,276.95,279,274.3,277.35,276.1578780532,700338,6026,193403856,185937,26.55,4.7,0.4,84
30-August-2017,277.55,279.3,276,276.9,277.9396736115,969642,4955,269501981,433911,44.75,3.3,-0.65,85
29-August-2017,278,280.75,276,276.7,278.3074705989,988823,5859,275196828,345007,34.89,4.75,-1.3,86
28-August-2017,282,282.9,279,279.3,280.0952967755,1134477,10150,317761672,547193,48.23,3.9,-2.7,87
24-August-2017,280,281.35,277.6,280.45,279.4241857772,863400,5706,241254842,207995,24.09,3.75,0.45,88
23-August-2017,274.5,279.35,274.5,278.75,277.0017462788,673432,5044,186541840,133056,19.76,4.85,4.25,89
22-August-2017,277.75,277.75,271.35,274.1,273.7684355063,1703452,8398,466351389,533606,31.32,6.4,-3.65,90
21-August-2017,279,280.7,273.4,274.65,277.2561685121,820214,7005,227409391,195401,23.82,7.3,-4.35,91
18-August-2017,278,279.5,276,278.65,277.704716681,993368,8736,275862979,197293,19.86,3.5,0.65,92
17-August-2017,283.75,284.6,280.05,280.75,281.2409869144,1722662,9652,484483161,370022,21.48,4.55,-3,93
16-August-2017,279.95,283.6,274.2,282.9,278.7850923509,1683686,16824,469386557,555318,32.98,9.4,2.95,94
14-August-2017,282.1,283,276.1,278.05,279.2815975395,1988533,18633,555360673,853995,42.95,6.9,-4.05,95
11-August-2017,295.15,302.8,278.25,280.65,287.6688850747,4249594,38550,1222475968,712061,16.76,24.55,-14.5,96
10-August-2017,300.2,302.3,292,296.55,298.1921285108,1069607,9527,318948388,288844,27,10.3,-3.65,97
9-August-2017,303.65,307.45,300.2,302.2,304.5444766314,933434,7194,284272169,188045,20.15,7.25,-1.45,98
8-August-2017,311.9,312,301.4,303.85,305.071260854,1022553,7746,311951533,216552,21.18,10.6,-8.05,99
7-August-2017,305.5,311.9,305.45,311.1,309.1045868233,998338,6680,308590855,305196,30.57,6.45,5.6,100
4-August-2017,300,306.6,297.6,305.45,302.9404579324,1050417,8513,318213807,266755,25.4,9,5.45,101
3-August-2017,307.4,307.4,299,300.75,302.1655407388,988222,7504,298606635,279928,28.33,8.4,-6.65,102
2-August-2017,310.2,311.7,305.4,307.65,308.8920958107,1207423,11786,372963421,215487,17.85,6.3,-2.55,103
1-August-2017,313.7,314.9,308.1,308.8,310.5870609268,984460,8918,305760538,246055,24.99,6.8,-4.9,104
31-July-2017,299,313.9,298.1,312.55,309.2605884431,3417051,27221,1056759203,1161996,34.01,15.8,13.55,105
28-July-2017,295.5,300.5,295.5,299.2,298.6998363771,757840,7071,226366684,271855,35.87,5,3.7,106
27-July-2017,296.95,299.7,296.35,298.3,297.7498129267,1777378,7567,529213967,1200989,67.57,3.35,1.35,107
26-July-2017,296.35,299.45,295.25,295.75,296.9360623946,640953,5505,190322060,238083,37.15,4.2,-0.6,108
25-July-2017,295.4,296.95,294.75,296.25,295.9894004862,678333,5817,200779378,266603,39.3,2.2,0.85,109
24-July-2017,290.85,296.2,290.65,294.45,294.1557960078,761990,6317,224143775,293666,38.54,5.55,3.6,110
21-July-2017,291,292.2,288.4,290.35,290.2465133863,431149,3871,125139494,98463,22.84,3.8,-0.65,111
20-July-2017,293.9,294,290,290.65,291.8971820018,473847,4911,138314604,126931,26.79,4,-3.25,112
19-July-2017,292.4,293.85,291,293.2,292.5977454293,475035,5820,138994170,152311,32.06,2.85,0.8,113
18-July-2017,292,296.3,290,290.45,292.2502512181,1709670,7302,499651487,970181,56.75,6.3,-1.55,114
17-July-2017,292.35,294,289.7,292.8,291.7148194838,835299,7555,243669097,230595,27.61,4.3,0.45,115
14-July-2017,289.6,293.6,287.2,291.6,291.2709813244,1073967,7949,312815422,384325,35.79,6.4,2,116
13-July-2017,289,290,286.65,288.6,288.542679569,628310,4663,181294251,158708,25.26,3.35,-0.4,117
12-July-2017,284.9,288,283.25,287.4,285.7533195485,657243,4987,187809369,159124,24.21,4.75,2.5,118
11-July-2017,287.2,289.4,283.1,283.6,286.9409321344,1142110,7589,327718108,359222,31.45,6.3,-3.6,119
10-July-2017,280.7,287,280.5,285.55,285.0439617005,3605684,26355,1027778452,1462169,40.55,6.5,4.85,120
7-July-2017,280.1,282.4,279.8,280.2,280.9716610498,540634,4053,151902833,129124,23.88,2.6,0.1,121
6-July-2017,275,282.75,274.5,280.9,280.6793781716,1245617,10920,349619005,357117,28.67,8.25,5.9,122
5-July-2017,274.45,275.65,272.4,275,274.4678629403,693654,4455,190385731,243381,35.09,3.25,0.55,123
4-July-2017,274.7,276.4,272.05,273,273.8460792884,652050,4779,178561336,235516,36.12,4.35,-1.7,124
3-July-2017,274,275.35,272.65,274.7,274.3525538233,585573,5138,160653448,181240,30.95,2.7,0.7,125
30-June-2017,272.4,274.65,269.8,273.6,272.4887987626,810714,6762,220910484,198416,24.47,4.85,1.2,126
29-June-2017,276.55,279.2,271.6,272.55,275.3063296786,999877,8173,275272467,399766,39.98,7.6,-4,127
28-June-2017,276.95,278.4,273.85,276.4,275.899709041,1279218,9831,352935874,458690,35.86,4.55,-0.55,128
27-June-2017,288.95,289.1,277,279.4,280.1316435006,2496105,10863,699237996,380472,15.24,12.1,-9.55,129
