Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,306.5,315.4,303.35,313.4,309.7939300743,251667,2480,77964909,67849,26.96,12.05,6.9,1
28-December-2017,306.6,309.95,302.55,307.55,305.3233978839,201031,2442,61379468,61442,30.56,7.4,0.95,2
27-December-2017,303,306.1,300.1,305.35,303.3966934458,96717,1620,29343618,24138,24.96,6,2.35,3
26-December-2017,303,306,298.75,303.25,301.8655809327,163883,2651,49470637,39484,24.09,7.25,0.25,4
22-December-2017,297.65,303,296.45,301.1,300.2447030078,135879,2163,40796950,48352,35.58,6.55,3.45,5
21-December-2017,298,298.55,294.8,297.65,296.752893184,91681,1924,27206602,32318,35.25,3.75,-0.35,6
20-December-2017,294.35,298,292.55,296.65,294.8991418933,139027,4959,40998943,60428,43.46,5.45,2.3,7
19-December-2017,295.8,296.95,290.8,292.15,293.4264773647,160590,2208,47121358,66444,41.37,6.15,-3.65,8
18-December-2017,288,297.25,284,295.3,290.6304488643,240830,3192,69992531,49807,20.68,13.25,7.3,9
15-December-2017,290,290.6,282,289.8,288.9529767933,91827,1498,26533685,33371,36.34,8.6,-0.2,10
14-December-2017,286.3,289.95,282.5,287.9,285.7335643186,68114,939,19462456,13701,20.11,7.45,1.6,11
13-December-2017,285,289.45,285,287.2,286.8674420733,98357,846,28215421,10814,10.99,4.45,2.2,12
12-December-2017,290,290.95,285.3,287.2,287.716506443,122225,1048,35166150,24932,20.4,5.65,-2.8,13
11-December-2017,282.2,289.6,282.2,289.25,287.2899502584,103535,1348,29744565,36405,35.16,7.4,7.05,14
8-December-2017,283,286.15,281.6,283.25,284.3195655994,176427,1556,50161648,65316,37.02,4.55,0.25,15
7-December-2017,286.5,286.5,280.3,281.35,282.3417962818,154753,1575,43693240,68093,44,6.2,-5.15,16
6-December-2017,284,284.25,281,282.3,282.2000315562,114082,1309,32193944,50112,43.93,3.25,-1.7,17
5-December-2017,288,288,282.6,283.4,285.3021213275,199592,1768,56944021,95934,48.07,5.4,-4.6,18
4-December-2017,287,291.25,280,290.05,287.8914611175,337105,2316,97049651,135341,40.15,11.25,3.05,19
1-December-2017,296,296,288.1,289.45,291.0706284909,99365,1201,28922233,37194,37.43,7.9,-6.55,20
30-November-2017,299,300.5,289.25,291.8,296.3767817216,171744,1746,50900934,53900,31.38,11.25,-7.2,21
29-November-2017,296.45,298.8,293.45,297.9,296.7755254418,116521,1198,34580581,43252,37.12,5.35,1.45,22
28-November-2017,297,297,293.05,294,294.648849531,106826,927,31476158,45294,42.4,3.95,-3,23
27-November-2017,293.9,295,291.4,294.8,293.6835456146,67599,765,19852714,26660,39.44,3.6,0.9,24
24-November-2017,293.45,294.2,291.1,292.55,292.0852019143,74388,1444,21727634,31201,41.94,3.1,-0.9,25
23-November-2017,294.15,294.9,292.95,293.4,293.5897933044,85101,993,24984785,31938,37.53,1.95,-0.75,26
22-November-2017,294.5,295.4,293.05,294.15,294.0122035501,54984,560,16165967,23268,42.32,2.35,-0.35,27
21-November-2017,298.25,298.25,293.2,293.95,295.8358528476,167228,1465,49472038,71876,42.98,5.05,-4.3,28
20-November-2017,294.55,297,293.1,294.6,294.7885110108,74245,861,21886573,28136,37.9,3.9,0.05,29
17-November-2017,299.75,299.75,294.3,294.75,296.3369596704,124276,999,36827572,20649,16.62,5.45,-5,30
16-November-2017,296,299.1,294.9,297.65,297.0153002513,85162,790,25294417,17193,20.19,4.2,1.65,31
15-November-2017,299,299.05,294,296.2,295.59834418,192533,902,56912436,118563,61.58,5.05,-2.8,32
14-November-2017,298.8,300,295.7,299.05,298.2075710667,42636,589,12714378,14946,35.05,4.3,0.25,33
13-November-2017,302,303.9,298.3,298.8,301.3555229772,88675,784,26722701,29010,32.71,5.6,-3.2,34
10-November-2017,303.8,304,298.5,302.05,301.4928900294,107947,829,32545253,17297,16.02,5.5,-1.75,35
9-November-2017,301.5,304.35,299.9,302.6,302.150887574,54756,836,16544574,22072,40.31,4.45,1.1,36
8-November-2017,303,306.45,301,301.6,303.650935783,116480,1322,35369261,41696,35.8,5.45,-1.4,37
7-November-2017,299.55,308.4,299.05,302.1,304.3704736223,591864,4115,180145926,293951,49.67,9.35,2.55,38
6-November-2017,294.55,300.45,293.25,299.5,297.4887619727,162662,1216,48390117,66843,41.09,7.2,4.95,39
3-November-2017,294,295.45,293.45,294.3,294.5654667862,70257,610,20695286,25165,35.82,2,0.3,40
2-November-2017,293,295.55,292.65,293.05,293.9140285704,111444,1102,32754955,21572,19.36,2.9,0.05,41
1-November-2017,295.35,295.35,292.65,293.1,294.1962060947,204275,1265,60096930,32956,16.13,2.7,-2.25,42
31-October-2017,292.5,296.25,292.3,294,293.8267627579,186767,1263,54877143,18686,10,3.95,1.5,43
30-October-2017,296,296,291.8,293.2,293.2644103784,117745,972,34530418,34806,29.56,4.2,-2.8,44
27-October-2017,301.35,301.35,295.1,296.6,296.7456141835,59111,740,17540930,17973,30.41,6.25,-4.75,45
26-October-2017,297.5,303,296.95,301.85,300.2594254514,275451,2085,82706759,135327,49.13,6.05,4.35,46
25-October-2017,296,301.55,296,298.95,299.7217108497,164807,1396,49396236,77531,47.04,5.55,2.95,47
24-October-2017,296.6,298.9,291.1,296.3,296.0930788397,88699,701,26263160,36853,41.55,7.8,-0.3,48
23-October-2017,291.85,297.4,291.85,296.6,294.8124468564,79972,1016,23576741,29436,36.81,5.55,4.75,49
19-October-2017,295.05,296,291,291.85,292.6100826854,16206,387,4742039,8064,49.76,5,-3.2,50
18-October-2017,288.55,298.65,287,295.05,294.3726272473,454430,2848,133771753,239069,52.61,11.65,6.5,51
17-October-2017,292,292.5,286.65,289.5,290.1649002129,128223,1255,37205814,28005,21.84,5.85,-2.5,52
16-October-2017,291.85,292.35,287.3,290.05,290.2486596787,1246716,893,361857648,1177278,94.43,5.05,-1.8,53
