Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,1139.2,1170,1139.2,1157.9,1164.5647467893,160479,1914,186888186,109203,68.05,30.8,18.7,1237
28-December-2017,1144,1155,1142.25,1144.6,1147.3465920622,34493,975,39575426,18071,52.39,12.75,0.6,1236
27-December-2017,1158,1158,1142.95,1148.45,1147.4506570022,51598,1053,59206159,21399,41.47,15.05,-9.55,1235
26-December-2017,1141.9,1152.8,1141.05,1149.65,1148.146794738,28734,807,32990850,8943,31.12,11.75,7.75,1234
22-December-2017,1139,1141.75,1125,1136.5,1137.3678648404,28766,797,32717524,8790,30.56,16.75,-2.5,1233
21-December-2017,1143.9,1143.9,1132,1137.1,1137.677858184,39107,981,44491168,7057,18.05,11.9,-6.8,1232
20-December-2017,1136.7,1141.7,1127.2,1134.35,1135.9250204534,20779,626,23603386,6876,33.09,14.5,-2.35,1231
19-December-2017,1155,1155,1132,1136.7,1138.6761536336,32571,1133,37087821,6910,21.22,23,-18.3,1230
18-December-2017,1134,1139.4,1110.2,1136.75,1131.2146933364,34696,1411,39248625,15127,43.6,29.2,2.75,1229
15-December-2017,1129,1134.1,1115.15,1119.95,1122.9641708363,22384,1113,25136430,7375,32.95,18.95,-9.05,1228
14-December-2017,1117.1,1130,1116,1125.05,1123.7375456089,27681,912,31106179,10513,37.98,14,7.95,1227
13-December-2017,1117,1137.9,1111.05,1116.55,1123.1368643271,47843,1398,53734237,13822,28.89,26.85,-0.45,1226
12-December-2017,1135.7,1135.7,1102.6,1118.5,1112.3986903431,68873,2452,76614235,13755,19.97,33.1,-17.2,1225
11-December-2017,1135,1142,1125.5,1128.1,1130.1755633777,27557,1269,31144248,12275,44.54,16.5,-6.9,1224
8-December-2017,1145,1152.45,1130.5,1134.35,1138.4027681126,38799,1131,44168889,11030,28.43,21.95,-10.65,1223
7-December-2017,1120,1149.7,1109.05,1143.4,1125.0340111399,52424,1565,58978783,15544,29.65,40.65,23.4,1222
6-December-2017,1139,1139,1100.05,1104.15,1105.9606676243,43857,1346,48504117,18653,42.53,38.95,-34.85,1221
5-December-2017,1122,1122.8,1109.5,1114.25,1113.4848972757,31054,1033,34578160,10402,33.5,13.3,-7.75,1220
4-December-2017,1141,1141,1118.6,1122.8,1124.9178398979,54053,1479,60805184,22659,41.92,22.4,-18.2,1219
1-December-2017,1147,1154.9,1133,1136.1,1144.1947075058,36958,1094,42287148,15450,41.8,21.9,-10.9,1218
30-November-2017,1153.95,1157,1123.15,1147.75,1145.1712687516,58995,1448,67559379,22532,38.19,33.85,-6.2,1217
29-November-2017,1170,1175,1151,1156.2,1166.252779366,31482,857,36715970,13572,43.11,24,-13.8,1216
28-November-2017,1157,1172.2,1150.8,1169.95,1165.2243570529,33362,998,38874215,7300,21.88,21.4,12.95,1215
27-November-2017,1159.6,1162,1148,1158.2,1154.2524026764,32880,1015,37951819,14822,45.08,14,-1.4,1214
24-November-2017,1162,1163.7,1149.4,1160.05,1156.7228517261,22681,862,26235631,9019,39.76,14.3,-1.95,1213
23-November-2017,1174.3,1174.3,1158,1161.25,1162.2313476909,25399,785,29519514,8195,32.27,16.3,-13.05,1212
22-November-2017,1196,1196,1156,1174.35,1169.8937169281,41954,1274,49081721,15349,36.59,40,-21.65,1211
21-November-2017,1157.6,1170,1157.6,1161.35,1162.9924863701,21827,612,25384637,10918,50.02,12.4,3.75,1210
20-November-2017,1160,1176,1160,1168.1,1167.3974440159,17371,545,20278861,4880,28.09,16,8.1,1209
17-November-2017,1180,1193.15,1165,1171.1,1177.8846487424,41508,1135,48891636,19336,46.58,28.15,-8.9,1208
16-November-2017,1180,1187.25,1174.25,1180.05,1179.2137769906,26537,1117,31292796,4055,15.28,13,0.05,1207
15-November-2017,1165,1187.1,1151.8,1176.85,1168.7577397705,32333,1316,37789444,10291,31.83,35.3,11.85,1206
14-November-2017,1175,1175,1152,1154.25,1159.0600011278,35466,1542,41107222,13361,37.67,23,-20.75,1205
13-November-2017,1180.1,1187.55,1171.85,1175.1,1179.8969973216,21281,795,25109388,5040,23.68,15.7,-5,1204
10-November-2017,1190.5,1191,1160.6,1176.45,1170.3088645459,74217,2822,86856813,22745,30.65,30.4,-14.05,1203
9-November-2017,1172.2,1197.9,1172.2,1195.25,1190.5786665686,54356,2863,64715094,15239,28.04,25.7,23.05,1202
8-November-2017,1147.05,1177,1145.1,1170.95,1168.9660194175,83018,2479,97045221,24413,29.41,31.9,23.9,1201
7-November-2017,1160.05,1163.75,1132.05,1142.3,1144.2732951739,68834,2693,78764908,34150,49.61,31.7,-17.75,1200
6-November-2017,1169,1172.95,1157.3,1162.4,1164.7077958185,35968,2694,41892210,15456,42.97,15.65,-6.6,1199
3-November-2017,1181.25,1181.3,1168.05,1173.4,1172.9286843044,19617,1462,23009342,9200,46.9,13.25,-7.85,1198
2-November-2017,1174.7,1182,1166.15,1178.5,1174.9149019951,22856,1519,26853855,6914,30.25,15.85,3.8,1197
1-November-2017,1185,1188,1172.1,1174.7,1178.8684344722,17649,1201,20805849,6985,39.58,15.9,-10.3,1196
31-October-2017,1190,1190,1176.65,1180.7,1180.6122696795,18941,872,22361977,5148,27.18,13.35,-9.3,1195
30-October-2017,1180.1,1197.55,1178,1183.2,1186.8214019242,25465,1000,30222407,7823,30.72,19.55,3.1,1194
27-October-2017,1212,1212,1180.1,1187.1,1186.8238046543,32271,1970,38299991,8650,26.8,31.9,-24.9,1193
26-October-2017,1200,1202,1181.15,1191,1189.1214334869,37782,1763,44927386,9985,26.43,20.85,-9,1192
25-October-2017,1220,1231.75,1195.05,1202.6,1211.035042145,55048,1917,66665057,17518,31.82,36.7,-17.4,1191
24-October-2017,1173,1233,1173,1220.5,1210.8636780366,212695,6323,257544650,50570,23.78,60,47.5,1190
23-October-2017,1181,1191.5,1161,1172.4,1171.2811071195,73488,1940,86075106,7297,9.93,30.5,-8.6,1189
19-October-2017,1178,1183.65,1172.3,1180.2,1179.2927851047,6445,340,7600542,2866,44.47,11.35,2.2,1188
18-October-2017,1193,1196.15,1170.8,1180,1182.2714616303,26792,836,31675417,6048,22.57,25.35,-13,1187
17-October-2017,1171.5,1197,1171.5,1194.4,1186.5331082182,67521,1640,80115902,28244,41.83,25.5,22.9,1186
16-October-2017,1176,1187,1167.05,1170.25,1174.5961489578,31472,923,36966890,9375,29.79,19.95,-5.75,1185
13-October-2017,1167.95,1175,1154.55,1171.9,1168.8073541702,29915,933,34964872,9446,31.58,20.45,3.95,1184
12-October-2017,1164,1164,1147.5,1160.1,1154.7087617166,37447,1178,43240379,10052,26.84,16.5,-3.9,1183
11-October-2017,1166,1173.95,1157.65,1160.45,1165.5864454252,23564,804,27465879,7821,33.19,16.3,-5.55,1182
10-October-2017,1159.45,1166.7,1155,1162.45,1162.3792080543,22249,1003,25861775,9970,44.81,11.7,3,1181
9-October-2017,1169,1169,1155.5,1159.35,1162.9750283055,31796,1253,36977954,11395,35.84,13.5,-9.65,1180
6-October-2017,1161,1169,1119.95,1158.9,1159.5069436572,35284,1050,40912043,12722,36.06,49.05,-2.1,1179
