Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,547.4,566,547.4,562.4,557.3979071246,245404,3007,136787676,56039,22.84,18.6,15,1
28-December-2017,544.35,553.1,544.35,547.4,548.9368402548,244602,2856,134271049,28176,11.52,8.75,3.05,2
27-December-2017,552.5,560.25,551.25,554.55,555.6274680329,116135,1487,64527796,19761,17.02,9,2.05,3
26-December-2017,555.75,556.95,550.15,554.35,553.9417053422,1345595,1603,745381189,58222,4.33,6.8,-1.4,4
22-December-2017,549.4,554.8,547.25,553.5,553.0054324643,1026790,1327,567820448,941615,91.7,7.55,4.1,5
21-December-2017,553.9,556.5,545.7,549.4,550.0869381844,196795,3191,108254359,44120,22.42,10.8,-4.5,6
20-December-2017,550,557,548.5,554.9,552.9569465625,127214,1421,70343865,24594,19.33,8.5,4.9,7
19-December-2017,549.95,555.5,545.25,552.85,550.5439504217,121182,1546,66716017,36752,30.33,10.25,2.9,8
18-December-2017,542,553.7,530.85,548.25,547.5882070831,1136394,4069,622275953,884641,77.85,22.85,6.25,9
15-December-2017,545,551.45,543.4,548.1,546.2126058649,639258,2841,349170778,535600,83.78,8.05,3.1,10
14-December-2017,536,543.7,534.9,541.6,539.1154032377,95006,1183,51219198,24367,25.65,8.8,5.6,11
13-December-2017,538,542.2,533.25,534.95,536.9393285748,152988,1474,82145274,26640,17.41,8.95,-3.05,12
12-December-2017,547,547,535.2,538.3,538.8904558214,104734,1072,56440153,19624,18.74,11.8,-8.7,13
11-December-2017,549.9,552.35,543,543.5,547.7565841796,826109,3120,452506644,626846,75.88,9.35,-6.4,14
8-December-2017,536.05,544.5,536.05,542.45,541.3375789407,188116,2061,101834260,40060,21.3,8.45,6.4,15
7-December-2017,534.5,537.5,529.9,534.15,533.1476001924,135115,1416,72036238,19727,14.6,7.6,-0.35,16
6-December-2017,533,534.65,528,529.8,532.0494625414,122335,1465,65088271,21455,17.54,6.65,-3.2,17
5-December-2017,535,537.45,531,533.75,534.2461270975,159893,1720,85422216,31204,19.52,6.45,-1.25,18
4-December-2017,534.25,540.6,529.7,534.9,535.8212549748,127142,1580,68125386,20735,16.31,10.9,0.65,19
1-December-2017,537.5,545.4,531.35,533.6,536.187421157,393979,3098,211246584,93731,23.79,14.05,-3.9,20
30-November-2017,547.9,547.9,534.25,536,539.9986334049,417095,2914,225230730,230595,55.29,13.65,-11.9,21
29-November-2017,561.5,561.5,546.3,549.15,552.4834824949,261238,4986,144329680,82603,31.62,15.2,-12.35,22
28-November-2017,559.65,565.4,558.5,562.2,562.6175527815,416481,6642,234319521,70838,17.01,6.9,2.55,23
27-November-2017,545,561.5,540.75,559.65,556.7036618847,2865082,7568,1595001641,2308983,80.59,20.75,14.65,24
24-November-2017,545.9,547.2,541,544.8,544.5983498365,217433,2230,118413653,46735,21.49,6.2,-1.1,25
23-November-2017,542,547.3,535.55,544.25,540.9503835798,413734,3994,223809566,84197,20.35,11.75,2.25,26
22-November-2017,546.95,547.25,538.5,540.05,542.2826544265,269060,2414,145906571,68153,25.33,8.75,-6.9,27
21-November-2017,548,548.85,539.5,546.75,543.1411538061,288090,2610,156473535,46834,16.26,9.35,-1.25,28
20-November-2017,542.5,555,537.3,544.85,541.70107885,224591,2394,121661187,21339,9.5,17.7,2.35,29
17-November-2017,545.3,556.9,539.95,541.9,547.2644290549,369948,5390,202459381,71171,19.24,16.95,-3.4,30
16-November-2017,542.5,548,541.6,542.55,544.5938531071,681027,1934,370883118,39688,5.83,6.4,0.05,31
15-November-2017,544,550.85,525.25,542.1,543.9683589692,310957,3417,169150769,31565,10.15,25.6,-1.9,32
14-November-2017,538.95,550,533,546.25,539.9797630228,604784,5620,326571121,231841,38.33,17,7.3,33
13-November-2017,555.2,564.6,534.5,537.8,550.6031834565,1090073,13656,600197664,251641,23.08,30.1,-17.4,34
10-November-2017,538.5,549,533.3,544.5,541.0848693824,538557,4885,291405044,70410,13.07,15.7,6,35
9-November-2017,548,555.55,533.5,540.6,542.0091524256,461517,5220,250146438,79174,17.16,22.05,-7.4,36
8-November-2017,537.7,551.55,533.65,545.05,543.9443567188,832140,11161,452637857,194814,23.41,17.9,7.35,37
7-November-2017,535,539.35,523.05,527.1,528.152365572,326327,4420,172350377,89862,27.54,16.3,-7.9,38
6-November-2017,540,541.5,530.5,533.55,534.9242392893,449481,4447,240438282,49834,11.09,11,-6.45,39
3-November-2017,535,549,534.7,540,540.2123638451,634204,6187,342604842,144344,22.76,14.3,5,40
2-November-2017,535.6,537,526.15,530.1,529.5794496883,608964,6304,322494820,135165,22.2,10.85,-5.5,41
1-November-2017,525,542.9,525,533.75,536.3964855019,1163011,13678,623835013,255146,21.94,17.9,8.75,42
31-October-2017,492.6,529,492.6,523.05,514.2756789659,2436352,29353,1252956579,777271,31.9,36.4,30.45,43
30-October-2017,486,488.5,481.7,484.3,484.702852552,390843,4747,189442717,115030,29.43,6.8,-1.7,44
27-October-2017,485.5,489.75,481.35,484.5,485.2076095032,569367,7554,276261201,162038,28.46,8.4,-1,45
26-October-2017,473,487.8,472,484.4,481.8609854046,942009,13701,453917385,404103,42.9,15.8,11.4,46
25-October-2017,465,475.95,456.95,472.7,467.9457774414,1931779,24629,903967826,724573,37.51,19,7.7,47
24-October-2017,451,457.6,450,451.85,454.0197978133,565517,9341,256755914,155079,27.42,7.6,0.85,48
23-October-2017,460.35,460.5,447.8,449.9,452.1427969012,931960,11611,421379001,265196,28.46,12.7,-10.45,49
19-October-2017,464.75,465.35,458.25,460.35,462.1125297917,298321,4620,137857872,137537,46.1,7.1,-4.4,50
18-October-2017,490,490,461.65,464.35,472.4504430932,3855961,44155,1821750483,1977478,51.28,28.35,-25.65,51
17-October-2017,527,527,511,513.2,517.250034133,593267,5979,306867376,101133,17.05,16,-13.8,52
16-October-2017,529.45,531.65,514.3,520.7,521.3387162429,343928,3341,179302982,42935,12.48,17.35,-8.75,53
13-October-2017,523,534.4,522.45,529.45,531.1616383378,1314088,4424,697993135,1001931,76.25,11.95,6.45,54
12-October-2017,514.2,525.8,513.55,524.65,520.5975154779,223544,2316,116376451,108013,48.32,12.25,10.45,55
11-October-2017,519,522.85,509.4,515.55,518.8148923091,270032,4047,140096623,74304,27.52,13.45,-3.45,56
10-October-2017,506.5,515,504.9,513.95,510.4511712438,213491,2216,108976731,58423,27.37,10.1,7.45,57
9-October-2017,505,508.6,501.4,505.15,505.4613781319,159767,1930,80756048,41984,26.28,7.2,0.15,58
6-October-2017,502,507.15,501.4,504.45,504.5277803848,277030,1640,139769331,171151,61.78,5.75,2.45,59
5-October-2017,505.5,512,497.7,501.15,502.4040226852,193254,2658,97091587,54424,28.16,14.3,-4.35,60
4-October-2017,509.95,510,504,505.3,507.0987946274,248222,2454,125873077,65537,26.4,6,-4.65,61
3-October-2017,509,517,505.25,508.5,512.5059693218,189385,1955,97060943,30034,15.86,11.75,-0.5,62
29-September-2017,507,516.9,505.75,508.8,510.8666347016,337869,2283,172605999,48719,14.42,11.15,1.8,63
28-September-2017,508.75,516.85,505.65,511.75,510.5214444076,196205,2175,100166860,66393,33.84,11.2,3,64
27-September-2017,511.05,513.05,500.55,505.5,505.6809209422,208569,2262,105469364,54187,25.98,12.5,-5.55,65
26-September-2017,496.15,516.8,496.15,510.4,507.9568211969,546495,10554,277595863,251537,46.03,20.65,14.25,66
25-September-2017,504,504,488.3,501.3,497.1048406923,256265,3125,127390572,77781,30.35,15.7,-2.7,67
22-September-2017,511,511,503.55,505.05,505.383183559,132644,1451,67036047,50064,37.74,7.45,-5.95,68
21-September-2017,520.5,522,506.25,512.25,512.4944705984,161862,1987,82953380,35582,21.98,15.75,-8.25,69
20-September-2017,519,522.45,518,519.35,519.5290333292,72279,927,37551039,22273,30.82,4.45,0.35,70
19-September-2017,524.6,525,517.55,520.85,520.1272997995,135664,1491,70562550,57050,42.05,7.45,-3.75,71
18-September-2017,516.1,525.65,516.1,523.55,522.2815054776,267636,3219,139781333,90458,33.8,9.55,7.45,72
15-September-2017,519,520.65,511.6,517.55,516.1867752529,309677,3448,159851172,65905,21.28,9.05,-1.45,73
14-September-2017,505,521,502.65,519.75,516.1592358213,668430,11692,345016318,239579,35.84,18.35,14.75,74
13-September-2017,496.5,504.8,495,498.8,499.156755117,243941,2606,121764798,51448,21.09,9.8,2.3,75
12-September-2017,496.35,502,493.2,495.55,497.1267587261,160983,2252,80028957,48930,30.39,8.8,-0.8,76
11-September-2017,495,497.5,492.2,493.2,494.8126020073,135407,5487,67001090,40544,29.94,5.3,-1.8,77
8-September-2017,496.6,497.95,492.15,493.25,494.4908484814,159591,2008,78916289,36834,23.08,5.8,-3.35,78
7-September-2017,495,498.75,495,496.5,496.6816048414,132524,2304,65822233,40573,30.62,3.75,1.5,79
6-September-2017,504.9,504.9,492.4,493.5,495.5661976896,228014,3884,112996031,68557,30.07,12.5,-11.4,80
5-September-2017,500.05,506.65,500.05,502.5,503.8848946749,91716,1173,46214307,24714,26.95,6.6,2.45,81
4-September-2017,506,508.9,500.6,502.35,504.1194886702,164434,1844,82894384,36475,22.18,8.3,-3.65,82
1-September-2017,501,509.65,499,507.65,505.2911820043,169018,2412,85403305,36478,21.58,10.65,6.65,83
31-August-2017,505,506,500,500.65,502.5244579753,175730,2123,88308623,40554,23.08,6,-4.35,84
30-August-2017,504.5,509.65,502.5,504.7,506.6938412246,137641,1803,69741847,50063,36.37,7.15,0.2,85
29-August-2017,508.55,509,501,503.65,504.3680792385,168605,2004,85038980,62906,37.31,8,-4.9,86
28-August-2017,506,512.15,506,510.75,510.2159939131,228687,1890,116679765,114084,49.89,6.15,4.75,87
24-August-2017,504.8,508.9,502.35,505.6,506.8889287428,660747,3413,334925339,440763,66.71,6.55,0.8,88
23-August-2017,503,505.2,500.2,503,502.221136667,150563,2731,75615921,53519,35.55,5,0,89
22-August-2017,496,506.5,496,499.15,500.7379834095,233989,3797,117167180,38494,16.45,10.5,3.15,90
21-August-2017,493.3,502.65,492,494.15,497.2504335684,11930066,4357,5932230491,11537166,96.71,10.65,0.85,91
18-August-2017,496.5,497.2,490.25,490.7,492.6915252549,240963,1981,118720428,63234,26.24,6.95,-5.8,92
17-August-2017,501.9,503.2,495.05,496.8,498.9573607319,283518,2849,141463393,47605,16.79,8.15,-5.1,93
16-August-2017,493,501.25,488.2,499.1,492.0606984326,325758,3829,160292709,33353,10.24,13.05,6.1,94
14-August-2017,490.6,497.05,489.85,491.25,492.5090770711,303512,3359,149482415,97153,32.01,7.2,0.65,95
11-August-2017,483.9,492.85,480.25,489.95,487.3105753614,248748,3132,121217531,53636,21.56,12.6,6.05,96
10-August-2017,488.6,494.6,484.15,486.9,489.2296801593,392289,7712,191919422,77318,19.71,10.45,-1.7,97
