Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,418.5,432.5,417.4,431.2,426.4480900528,552476,5574,235602335,173440,31.39,15.1,12.7,1
28-December-2017,424,424,416.25,418.4,420.6412412889,222704,2654,93678487,96078,43.14,7.75,-5.6,2
27-December-2017,425,427.95,420.35,422.5,425.0167898598,217274,2582,92345098,69747,32.1,7.6,-2.5,3
26-December-2017,422.1,424.7,421.3,423.6,423.0955769177,177365,1828,75042347,59790,33.71,3.4,1.5,4
22-December-2017,421,425.95,420.3,421.9,423.2999304955,352495,3190,149211109,99945,28.35,5.65,0.9,5
21-December-2017,422.55,426.1,418.95,420.25,421.7288896282,330655,3091,139446766,81237,24.57,7.15,-2.3,6
20-December-2017,422,427.5,419.3,421.95,424.3795830793,710303,6589,301438091,175574,24.72,8.2,-0.05,7
19-December-2017,408.9,420.4,408,419.25,413.7545934617,922779,5653,381804050,537758,58.28,12.4,10.35,8
18-December-2017,401.7,409.6,389.75,405.5,403.9273830999,528293,4933,213392009,84623,16.02,19.85,3.8,9
15-December-2017,406.2,409,404.05,405.15,406.1181202124,325973,3559,132383542,126088,38.68,4.95,-1.05,10
14-December-2017,403.35,404.2,398.55,402.8,401.2475601014,285975,3260,114746771,100044,34.98,5.65,-0.55,11
13-December-2017,406.25,409.7,400,401.85,405.4792690193,409532,4284,166056736,95481,23.31,9.7,-4.4,12
12-December-2017,411,415.7,405.55,405.7,408.056002592,1407417,4420,574304955,1028433,73.07,10.15,-5.3,13
11-December-2017,412,415.35,409.3,410.2,411.7279953091,368376,3874,151670712,95484,25.92,6.05,-1.8,14
8-December-2017,406.75,413.7,406.5,411.05,410.337088527,2497430,8957,1024788155,1913304,76.61,7.2,4.3,15
7-December-2017,403,405.3,397.2,402.15,401.6069259925,593359,5478,238297084,107243,18.07,8.1,-0.85,16
6-December-2017,402,402.7,395,396.8,398.4523366815,417344,4671,166291692,113287,27.14,7.7,-5.2,17
5-December-2017,404,405.9,396.8,402.35,400.1327277453,638608,6551,255527961,158071,24.75,9.1,-1.65,18
4-December-2017,408,411,402,403.4,406.0638026991,577311,5813,234425100,133329,23.09,9,-4.6,19
1-December-2017,409.1,410.5,396.75,399.15,404.7495406311,803276,7847,325125592,266549,33.18,13.75,-9.95,20
30-November-2017,411.1,412,402.95,404.65,407.6652813247,677811,7994,276320012,296272,43.71,9.05,-6.45,21
29-November-2017,415.95,419.55,412.1,414.25,416.4447401554,293079,4941,122051208,117067,39.94,7.45,-1.7,22
28-November-2017,418.2,422,414.8,415.95,418.5242750866,365354,6331,152909518,130651,35.76,7.2,-2.25,23
27-November-2017,422.2,424.9,418,421.15,421.0132133611,389757,3717,164092847,123531,31.69,6.9,-1.05,24
24-November-2017,426,429.8,424.05,424.95,426.8510071628,336043,2990,143440293,62891,18.72,5.75,-1.05,25
23-November-2017,428.9,430.85,422.85,426.1,427.1028818105,332187,3220,141878025,61928,18.64,8,-2.8,26
22-November-2017,424.4,432.95,424.4,428.25,428.4420032452,775302,5055,332171942,310295,40.02,8.55,3.85,27
21-November-2017,425.4,429.9,422.7,424.25,425.8080598309,765624,5305,326008870,302640,39.53,7.2,-1.15,28
20-November-2017,421.55,425.35,420.3,422.4,422.4828637427,350660,2940,148147841,81659,23.29,5.05,0.85,29
17-November-2017,418.2,423,417.05,421.45,420.3144724946,498829,4749,209665048,144447,28.96,5.95,3.25,30
16-November-2017,410.1,415.8,410.1,413.5,413.8405806429,450604,5482,186478221,173568,38.52,5.7,3.4,31
15-November-2017,413.95,417.55,407,408.6,411.7321379115,732963,11028,301784423,249640,34.06,10.55,-5.35,32
14-November-2017,419.7,422,411.25,414.55,416.1669059486,516824,7237,215085045,132137,25.57,10.75,-5.15,33
13-November-2017,427,428,416.1,418.2,422.1534463049,724312,7851,305770807,240714,33.23,11.9,-8.8,34
10-November-2017,440.85,440.85,420.15,422.65,427.8017925953,2415046,29795,1033161008,1061006,43.93,20.7,-18.2,35
9-November-2017,443.5,451.25,426,440.3,441.5475533881,3182360,24735,1405163272,567156,17.82,25.25,-3.2,36
8-November-2017,451,455.5,431.5,438.7,444.81766708,790340,7869,351557195,188720,23.88,24,-12.3,37
7-November-2017,458,465.8,447,451.9,457.9859491844,692700,10203,317246867,175251,25.3,18.8,-6.1,38
6-November-2017,448.05,466.95,443.65,461.55,457.7145813567,1122495,13476,513782329,270725,24.12,23.3,13.5,39
3-November-2017,435.1,448.5,432.9,446.9,441.6523555034,625153,6197,276100295,191381,30.61,15.6,11.8,40
2-November-2017,436.7,440.3,430,434.8,435.1512417185,393648,5533,171296416,68261,17.34,10.3,-1.9,41
1-November-2017,430.05,439.8,428.8,436.75,436.1595155288,418931,4841,182720742,88032,21.01,11,6.7,42
31-October-2017,437.15,438.5,427.15,428.55,431.0375632951,537759,5318,231794329,166107,30.89,11.35,-8.6,43
30-October-2017,430,439.9,428.75,435.8,436.2994910706,443873,4935,193661564,104504,23.54,11.15,5.8,44
27-October-2017,421,434,421,430.05,429.1238024821,472018,6344,202554159,159210,33.73,13,9.05,45
26-October-2017,420.55,422.25,417.5,419.35,419.8185723101,247939,2905,104089397,75145,30.31,4.75,-1.2,46
25-October-2017,420,424.25,415.4,422,420.2495284514,265084,4295,111401426,67010,25.28,8.85,2,47
24-October-2017,422,428.8,415,415.8,417.2594404988,449579,4892,187591082,223902,49.8,13.8,-6.2,48
23-October-2017,428.2,430.75,420.95,422.3,424.2825119977,279220,3551,118468163,78935,28.27,9.8,-5.9,49
