Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
29-December-2017,736,744.35,730,732.45,736.2186200868,196766,2954,144862793,38838,19.74,14.35,-3.55,1
28-December-2017,723,737.95,723,734.65,733.1654336617,682479,5354,500370012,383864,56.25,14.95,11.65,2
27-December-2017,724,728.8,717.55,721.8,724.1255449508,221809,3387,160617563,48927,22.06,11.25,-2.2,3
26-December-2017,714,724,712.75,721.4,719.0633292237,265233,3804,190719324,73291,27.63,11.25,7.4,4
22-December-2017,717.4,717.4,707.2,710.6,711.3711695225,180330,2555,128281563,32299,17.91,10.2,-6.8,5
21-December-2017,702,717.8,702,715.5,711.2508081704,321405,4145,228599566,73874,22.98,15.8,13.5,6
20-December-2017,718,718,692.65,702.55,702.734288535,418341,6408,293982565,58569,14,25.35,-15.45,7
19-December-2017,709,712,705.25,710.3,708.9782211049,204464,3397,144960523,45390,22.2,6.75,1.3,8
18-December-2017,693,714.5,675,704.7,702.4427422444,368151,4961,258604998,68704,18.66,39.5,11.7,9
15-December-2017,692.2,699.7,692,694.95,695.0011356582,207809,3670,144427491,70569,33.96,7.7,2.75,10
14-December-2017,684,689,671.05,685.85,680.5223872888,212978,3253,144936297,64049,30.07,17.95,1.85,11
13-December-2017,690,693.75,676.7,682.1,685.1897749887,314562,4467,215534666,52125,16.57,17.05,-7.9,12
12-December-2017,700.85,708.25,686.75,689.2,697.6887066706,356715,4144,248876027,43587,12.22,21.5,-11.65,13
11-December-2017,701.9,706.35,695.4,700,700.5798104208,248445,3537,174055551,55647,22.4,10.95,-1.9,14
8-December-2017,689.9,713,685.25,696.85,702.2275077147,526914,6667,370013505,66919,12.7,27.75,6.95,15
7-December-2017,669,689.6,669,687.9,681.9041405482,295130,4255,201250369,65355,22.14,20.6,18.9,16
6-December-2017,667.9,670,660.6,668.05,665.5647365399,323882,5168,215564438,93106,28.75,9.4,0.15,17
5-December-2017,685,686.7,671.2,675.95,676.2523078039,165417,3712,111863628,39014,23.59,15.5,-9.05,18
4-December-2017,683,692.1,681,687.7,687.8317812315,224749,3178,154589505,51240,22.8,11.1,4.7,19
1-December-2017,696,698,677.5,680.7,686.0083658522,295726,4195,202870510,62585,21.16,20.5,-15.3,20
30-November-2017,706.55,707,691.4,695.15,701.0907320689,148415,2401,104052381,38030,25.62,15.6,-11.4,21
29-November-2017,704,710.6,703,709.3,707.0082720511,237426,2701,167862146,52819,22.25,7.6,5.3,22
28-November-2017,702,711.9,697.8,704.25,705.9960707984,219892,2932,155242888,46105,20.97,14.1,2.25,23
27-November-2017,707,708.5,698.95,701.85,701.6318840138,131119,1931,91997271,38756,29.56,9.55,-5.15,24
24-November-2017,711,712.8,703.85,707.75,707.7047565474,156437,1911,110711209,44767,28.62,8.95,-3.25,25
23-November-2017,714,715.7,706.75,711.25,711.5510500912,170509,2608,121325858,24623,14.44,8.95,-2.75,26
22-November-2017,715,716.85,706.6,711.6,710.7595836138,261488,3079,185855102,57781,22.1,10.25,-3.4,27
21-November-2017,702.2,717.95,702.2,711.25,712.994287845,445191,5466,317418640,147531,33.14,15.75,9.05,28
20-November-2017,699.8,706.8,690.55,700.7,698.9126137496,225825,3183,157831941,28953,12.82,16.25,0.9,29
17-November-2017,692,708.5,692,701.35,703.8800653984,461785,4537,325041256,89149,19.31,16.5,9.35,30
16-November-2017,681.2,689.9,676.6,686.65,682.7195372145,297330,3598,202993000,61848,20.8,13.3,5.45,31
15-November-2017,680.3,681.9,669.7,678.05,674.8048292596,647884,5285,437195252,344012,53.1,12.2,-2.25,32
14-November-2017,690,695,681.4,685.2,689.3118543162,205596,4126,141719760,72147,35.09,13.6,-4.8,33
13-November-2017,707,707,687,690.85,691.7493548499,318143,5311,220075215,116890,36.74,20,-16.15,34
10-November-2017,702.8,707.65,695.25,701.45,701.9039403476,205591,2888,144305133,30626,14.9,12.4,-1.35,35
9-November-2017,698,705,693.7,703.3,700.4703682579,217402,3348,152283659,46415,21.35,11.3,5.3,36
8-November-2017,694.8,700.5,685,691.8,691.7410466828,277104,7607,191684211,57846,20.88,15.5,-3,37
7-November-2017,710,713.5,686.85,692.55,698.9611827215,331811,6119,231923009,82243,24.79,26.65,-17.45,38
6-November-2017,706.5,716,699.7,708.75,708.7476672146,803653,4753,569587189,505366,62.88,16.3,2.25,39
3-November-2017,706,712.8,704.3,708.9,709.1758689634,247076,3236,175220337,46288,18.73,8.5,2.9,40
2-November-2017,709.7,709.7,698,706,703.5033799193,366133,6287,257575803,79385,21.68,11.7,-3.7,41
1-November-2017,707,717.1,703.65,707.05,710.055779446,477416,6032,338991990,126698,26.54,13.45,0.05,42
