Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",92.5,92.5,93.6,92.25,5.84M,0.38
"Dec 28, 2017",92.15,93,93.3,91.8,5.92M,-0.54
"Dec 27, 2017",92.65,93,94.5,92.15,12.29M,-0.38
"Dec 26, 2017",93,93.8,94.05,92.7,10.13M,0.87
"Dec 22, 2017",92.2,92.05,93.4,91.7,11.11M,0.88
"Dec 21, 2017",91.4,90.2,92.45,90.1,14.42M,1.39
"Dec 20, 2017",90.15,90.35,91.15,89.9,7.51M,0.11
"Dec 19, 2017",90.05,89.9,90.75,89.7,8.65M,0.9
"Dec 18, 2017",89.25,89.4,90.35,86.75,9.94M,-0.72
"Dec 15, 2017",89.9,91,91.75,89.3,10.28M,0.33
"Dec 14, 2017",89.6,90,90.3,88.2,4.99M,0
"Dec 13, 2017",89.6,91.2,92.15,89.1,4.29M,-2.29
"Dec 12, 2017",91.7,91.7,92.5,91.2,5.21M,-0.05
"Dec 11, 2017",91.75,92.7,92.7,91.5,3.69M,-0.38
"Dec 08, 2017",92.1,92.45,93.9,91.75,11.54M,0.6
"Dec 07, 2017",91.55,91,91.95,90.75,7.28M,1.38
"Dec 06, 2017",90.3,89.9,92.1,89.7,7.34M,0.17
"Dec 05, 2017",90.15,90,90.5,88.5,4.95M,-0.66
"Dec 04, 2017",90.75,91.5,91.75,89.5,4.43M,-0.38
"Dec 01, 2017",91.1,92.5,93.3,90.6,7.14M,-0.98
"Nov 30, 2017",92,93,93.4,91.5,10.19M,-1.71
"Nov 29, 2017",93.6,94.5,95,92.75,11.52M,-0.53
"Nov 28, 2017",94.1,92.5,94.6,92,9.74M,2.17
"Nov 27, 2017",92.1,91.95,93,91.05,6.74M,-0.22
"Nov 24, 2017",92.3,93.55,93.95,92,13.96M,-0.59
"Nov 23, 2017",92.85,89.6,94.2,88.4,27.54M,4.74
"Nov 22, 2017",88.65,87.8,89.15,85.85,15.15M,1.37
"Nov 21, 2017",87.45,87.6,88.7,87.2,6.70M,0.23
"Nov 20, 2017",87.25,87.7,87.9,86.75,4.62M,-0.68
"Nov 17, 2017",87.85,89.9,89.9,87.35,6.69M,0.11
"Nov 16, 2017",87.75,88.25,89.1,86.65,6.29M,-0.62
"Nov 15, 2017",88.3,89.25,90.55,87.45,10.25M,-3.13
"Nov 14, 2017",91.15,89.1,91.55,88.55,12.01M,1.96
"Nov 13, 2017",89.4,92.7,92.95,89,6.14M,-3.35
"Nov 10, 2017",92.5,92,93.2,91.1,5.93M,0.43
"Nov 09, 2017",92.1,90.3,92.85,90,7.94M,2.33
"Nov 08, 2017",90,90.6,92.5,89.55,21.57M,-3.43
"Nov 07, 2017",93.2,100.05,100.7,92.3,39.30M,-5.86
"Nov 06, 2017",99,100.5,100.85,98.1,12.97M,-1
"Nov 03, 2017",100,96.7,101.5,96.65,28.84M,2.41
"Nov 02, 2017",97.65,98.5,99.05,95.5,12.10M,-1.26
"Nov 01, 2017",98.9,98.6,99.9,98,9.64M,0.92
"Oct 31, 2017",98,96.35,99,95.5,14.26M,2.24
"Oct 30, 2017",95.85,95.5,97.4,94.1,11.23M,0.74
"Oct 27, 2017",95.15,97,98.2,94.3,12.34M,-1.45
"Oct 26, 2017",96.55,91.4,101.3,91.35,45.38M,6.45
"Oct 25, 2017",90.7,89.05,91.75,88.35,11.00M,2.83
"Oct 24, 2017",88.2,87.25,88.7,85.8,14.51M,1.67
"Oct 23, 2017",86.75,85.25,88.9,83.9,14.10M,2.54
"Oct 19, 2017",84.6,85,85.5,84.15,771.14K,-0.18
"Oct 18, 2017",84.75,84.5,85.4,83.65,4.22M,0.59
"Oct 17, 2017",84.25,84.4,84.8,83.5,2.87M,0.24
"Oct 16, 2017",84.05,84.5,84.85,83.7,2.83M,-0.24
"Oct 13, 2017",84.25,85.5,85.5,84.05,3.25M,-0.18
"Oct 12, 2017",84.4,85.2,85.25,83.7,3.88M,-0.71
"Oct 11, 2017",85,87.1,87.25,83.95,5.13M,-2.02
"Oct 10, 2017",86.75,86.8,87.2,85.7,3.13M,0.52
"Oct 09, 2017",86.3,85,86.95,84.3,5.05M,1.41
"Oct 06, 2017",85.1,84,85.35,83.75,4.34M,1.73
"Oct 05, 2017",83.65,83.5,84,83.15,2.21M,0.54
"Oct 04, 2017",83.2,83.25,83.75,82.5,3.12M,0.12
"Oct 03, 2017",83.1,85.25,85.25,82.7,4.55M,-1.01
"Sep 29, 2017",83.95,84,84.9,83.05,5.98M,1.57
"Sep 28, 2017",82.65,82.8,85,82.1,7.49M,-0.54
"Sep 27, 2017",83.1,86.27,86.27,82.67,8.08M,-2.43
"Sep 26, 2017",85.17,86,86.3,84.9,7.19M,0.4
"Sep 25, 2017",84.83,86.33,86.67,84.07,6.29M,-1.82
"Sep 22, 2017",86.4,87.87,87.97,86.1,7.21M,-2.15
"Sep 21, 2017",88.3,89.2,89.73,87.5,5.78M,-0.75
"Sep 20, 2017",88.97,90,90.33,88.7,5.81M,-0.7
"Sep 19, 2017",89.6,89.13,90.53,88.2,6.43M,0.9
"Sep 18, 2017",88.8,90,90.03,88.4,7.16M,0.99
"Sep 15, 2017",87.93,89.9,89.9,87.47,23.95M,-3.62
"Sep 14, 2017",91.23,88.27,97.23,88.27,86.11M,3.4
"Sep 13, 2017",88.23,88.33,89.43,87.83,4.06M,0.34
"Sep 12, 2017",87.93,87.6,88.47,87.4,4.17M,1.03
"Sep 11, 2017",87.03,86.33,87.77,85.9,5.11M,2.3
"Sep 08, 2017",85.07,86.13,87.17,84.7,4.14M,-1.8
"Sep 07, 2017",86.63,87.97,87.97,86.4,3.60M,-0.62
"Sep 06, 2017",87.17,87.2,87.9,86.57,3.82M,-0.41
"Sep 05, 2017",87.53,87.97,88.17,86.73,4.27M,0.11
"Sep 04, 2017",87.43,87.33,88.57,86.4,6.06M,0.96
"Sep 01, 2017",86.6,86,87,85.63,3.43M,0.78
"Aug 31, 2017",85.93,85.33,86.17,84.9,4.88M,0.89
"Aug 30, 2017",85.17,84.9,85.57,84.87,3.69M,0.71
"Aug 29, 2017",84.57,84.97,85.8,84.23,3.76M,-0.86
"Aug 28, 2017",85.3,84.7,85.87,84.67,3.21M,0.79
"Aug 24, 2017",84.63,85.3,85.63,83.87,4.53M,-0.47
"Aug 23, 2017",85.03,84.17,85.4,83.73,4.40M,1.5
"Aug 22, 2017",83.77,83.33,84.47,82.5,7.08M,0.84
"Aug 21, 2017",83.07,86.97,87.33,82.73,7.72M,-4.08
"Aug 18, 2017",86.6,85.83,86.93,84.43,5.85M,0.5
"Aug 17, 2017",86.17,86.67,87.83,85.67,4.94M,-0.53
"Aug 16, 2017",86.63,84.67,87.1,83.4,7.22M,2.76
"Aug 14, 2017",84.3,85.2,85.2,83.67,3.43M,1.16
"Aug 11, 2017",83.33,82.8,83.83,80.87,10.61M,-1.38
"Aug 10, 2017",84.5,88.7,90.13,82.67,25.76M,-4.7
"Aug 09, 2017",88.67,89.07,89.6,87.47,4.12M,-1.23
"Aug 08, 2017",89.77,92.8,93.1,89.37,7.11M,-3.06
"Aug 07, 2017",92.6,91.97,93.47,91.47,4.07M,1.2
"Aug 04, 2017",91.5,92.47,92.83,90.67,5.09M,-1.01
"Aug 03, 2017",92.43,94.13,94.13,92,6.71M,-1.81
"Aug 02, 2017",94.13,96.37,96.67,93.43,5.80M,-2.35
"Aug 01, 2017",96.4,97.27,97.7,95.93,4.17M,-0.34
"Jul 31, 2017",96.73,96.33,97,96,3.15M,0.9
"Jul 28, 2017",95.87,94.67,96.23,94,5.05M,1.05
"Jul 27, 2017",94.87,96.17,96.93,94.43,10.12M,-1.1
"Jul 26, 2017",95.93,97,98.13,95.67,4.78M,-1.2
"Jul 25, 2017",97.1,97.5,97.97,96.8,3.25M,-0.41
"Jul 24, 2017",97.5,96.67,98.33,96.37,3.25M,0.86
"Jul 21, 2017",96.67,97.93,98,95.4,3.85M,-0.98
"Jul 20, 2017",97.63,96.7,98.27,96.5,8.06M,0.86
"Jul 19, 2017",96.8,96.5,97.2,95.7,7.02M,1.36
"Jul 18, 2017",95.5,94.33,96.33,93.77,9.81M,1.49
"Jul 17, 2017",94.1,93.77,94.6,93.33,3.62M,0.29
"Jul 14, 2017",93.83,95.43,95.43,93.37,3.93M,-1.23
"Jul 13, 2017",95,94.13,95.5,93.93,7.66M,1.39
"Jul 12, 2017",93.7,93.6,94.27,93.13,4.33M,0.57
"Jul 11, 2017",93.17,92,94.87,91.93,15.58M,1.53
"Jul 10, 2017",91.77,91.9,92.4,90.37,1.48M,1.97
"Jul 07, 2017",90,90.23,90.57,89.6,3.87M,-0.59
"Jul 06, 2017",90.53,89.9,91.93,89.53,11.12M,1.3
"Jul 05, 2017",89.37,89.67,89.8,88.77,4.21M,0.11
"Jul 04, 2017",89.27,90.67,90.97,89,4.20M,-1.17
"Jul 03, 2017",90.33,90.43,91.2,89.8,4.82M,0.14
"Jun 30, 2017",90.2,90.6,91.43,89.6,7.54M,-0.22
"Jun 29, 2017",90.4,90.93,92.67,90,6.21M,-0.52
"Jun 28, 2017",90.87,89.4,91.2,88.33,4.59M,1.42
"Jun 27, 2017",89.6,90.03,90.37,87.2,6.75M,-0.44
"Jun 23, 2017",90,91.07,91.67,88.1,7.57M,-1.56
"Jun 22, 2017",91.43,91.17,92.43,90.97,4.21M,0.36
"Jun 21, 2017",91.1,91.4,92.5,90.5,5.90M,-0.84
