Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",160.65,163.6,164,160.15,8.68M,-1.29
"Dec 28, 2017",162.75,166.25,167.95,162.3,12.28M,-1.96
"Dec 27, 2017",166,166.4,169.5,165.4,8.09M,-0.3
"Dec 26, 2017",166.5,167.4,168,165.9,6.52M,-0.89
"Dec 22, 2017",168,168.75,171.2,166.95,10.86M,0.06
"Dec 21, 2017",167.9,166.65,168.9,165.8,8.28M,0.75
"Dec 20, 2017",166.65,167.9,168.3,166.4,4.63M,-0.98
"Dec 19, 2017",168.3,171.35,172.95,167.3,11.04M,-0.65
"Dec 18, 2017",169.4,164,171.95,155,17.91M,2.51
"Dec 15, 2017",165.25,168,169.15,164.75,8.81M,-0.36
"Dec 14, 2017",165.85,164.8,166.8,162.5,8.24M,1.28
"Dec 13, 2017",163.75,165.1,166.5,163.05,8.91M,-1.12
"Dec 12, 2017",165.6,167.6,167.7,165.05,7.95M,-1.1
"Dec 11, 2017",167.45,168.6,169.25,166.9,5.68M,0
"Dec 08, 2017",167.45,168.65,169.95,167.05,8.61M,-0.3
"Dec 07, 2017",167.95,167.9,169,166.35,6.88M,1.21
"Dec 06, 2017",165.95,168.8,170.15,165.1,7.67M,-2.38
"Dec 05, 2017",170,169.75,171.6,165.45,10.34M,-0.06
"Dec 04, 2017",170.1,168.65,171.3,165.5,10.71M,1.49
"Dec 01, 2017",167.6,169.7,172.5,165.05,14.88M,-0.89
"Nov 30, 2017",169.1,170.9,172.9,168.4,15.60M,-1.49
"Nov 29, 2017",171.65,172.2,173.3,169.9,12.07M,-0.35
"Nov 28, 2017",172.25,175.7,176.15,171.5,8.87M,-1.8
"Nov 27, 2017",175.4,176,176.15,174.05,7.63M,-0.82
"Nov 24, 2017",176.85,178.7,179.75,176.15,8.41M,-0.7
"Nov 23, 2017",178.1,180.7,181.35,176.05,10.58M,-1.41
"Nov 22, 2017",180.65,181.5,183.65,177.1,16.42M,0.17
"Nov 21, 2017",180.35,185.6,186.25,179.15,12.51M,-2.22
"Nov 20, 2017",184.45,183.8,187.85,182.5,14.19M,0.49
"Nov 17, 2017",183.55,190,191.85,182.05,31.02M,0.41
"Nov 16, 2017",182.8,176.75,184,175.25,21.56M,4.34
"Nov 15, 2017",175.2,177.5,181.2,169.3,43.83M,0.49
"Nov 14, 2017",174.35,173.3,177.4,172.7,20.14M,1.31
"Nov 13, 2017",172.1,171.5,175.35,169.25,14.48M,1.35
"Nov 10, 2017",169.8,165,173.7,164,19.82M,2.57
"Nov 09, 2017",165.55,164.4,166.4,161.65,8.12M,2
"Nov 08, 2017",162.3,166.2,167.15,160.75,9.19M,-1.79
"Nov 07, 2017",165.25,173.8,175,164.1,13.20M,-4.26
"Nov 06, 2017",172.6,172,176,170.5,15.54M,0.49
"Nov 03, 2017",171.75,170.3,172.5,167.2,18.12M,1.3
"Nov 02, 2017",169.55,172.85,174.65,168.6,11.46M,-1.68
"Nov 01, 2017",172.45,172.9,175.4,171.2,14.60M,1.5
"Oct 31, 2017",169.9,175.35,177.7,167.85,13.70M,-2.72
"Oct 30, 2017",174.65,174.3,184.7,173.55,14.56M,0.14
"Oct 27, 2017",174.4,184.75,188.8,173.6,21.69M,-6.09
"Oct 26, 2017",185.7,189,206.65,182,49.07M,-1.3
"Oct 25, 2017",188.15,157.45,192.9,157.45,136.85M,31.44
"Oct 24, 2017",143.15,138.6,145.15,138.5,12.48M,3.81
"Oct 23, 2017",137.9,135,138.9,133.5,6.99M,2.22
"Oct 19, 2017",134.9,136.9,136.9,134.05,1.51M,-1.32
"Oct 18, 2017",136.7,138.45,138.9,136,7.21M,-1.76
"Oct 17, 2017",139.15,138.3,140.6,138.05,4.08M,0.69
"Oct 16, 2017",138.2,140.5,140.9,137.7,5.85M,-0.97
"Oct 13, 2017",139.55,139,141.75,138.05,5.54M,0.72
"Oct 12, 2017",138.55,138.6,138.9,136.1,9.07M,-0.04
"Oct 11, 2017",138.6,142,143.6,137.9,6.04M,-2.15
"Oct 10, 2017",141.65,141.9,143.2,141.25,5.51M,0.07
"Oct 09, 2017",141.55,141.5,142.8,140.5,4.85M,-0.18
"Oct 06, 2017",141.8,139.8,142.5,139.55,6.98M,1.58
"Oct 05, 2017",139.6,137.75,140.25,137.2,6.24M,1.49
"Oct 04, 2017",137.55,138,139,136.7,7.17M,0.18
"Oct 03, 2017",137.3,138.9,139.9,136.35,10.00M,-0.22
"Sep 29, 2017",137.6,139.1,140.75,137.1,7.68M,-0.69
"Sep 28, 2017",138.55,138.5,140.3,137.2,27.56M,0.04
"Sep 27, 2017",138.5,143.9,143.9,137.85,8.19M,-2.91
"Sep 26, 2017",142.65,142.6,144.2,140.95,7.19M,0.04
"Sep 25, 2017",142.6,141.85,143.25,138.2,9.01M,0.53
"Sep 22, 2017",141.85,145,145,141.5,11.34M,-2.58
"Sep 21, 2017",145.6,148.9,148.9,144.65,12.11M,-1.85
"Sep 20, 2017",148.35,144.3,151,143.8,15.55M,2.63
"Sep 19, 2017",144.55,145.2,146,143.15,6.83M,-0.62
"Sep 18, 2017",145.45,146,149,144.75,9.10M,0.1
"Sep 15, 2017",145.3,144.3,146,143.7,9.97M,-0.27
"Sep 14, 2017",145.7,143.8,147,143.8,11.68M,1.32
"Sep 13, 2017",143.8,142.2,145.9,141.6,15.47M,1.37
"Sep 12, 2017",141.85,138.25,142.5,137.2,14.80M,3.2
"Sep 11, 2017",137.45,139.3,139.6,137.15,8.74M,0.48
"Sep 08, 2017",136.8,140.4,140.4,136.5,8.06M,-1.97
"Sep 07, 2017",139.55,138.8,140.95,138.55,10.37M,0.87
"Sep 06, 2017",138.35,137,139.3,136.4,11.29M,-0.04
"Sep 05, 2017",138.4,136.8,139,136,10.80M,1.17
"Sep 04, 2017",136.8,138.9,139.25,135.8,10.48M,-1.05
"Sep 01, 2017",138.25,139,140.85,137.65,12.38M,0.29
"Aug 31, 2017",137.85,140.25,140.4,137.2,14.64M,-1.15
"Aug 30, 2017",139.45,141.05,142.1,139.05,11.60M,-0.43
"Aug 29, 2017",140.05,141.95,143.5,139.6,14.02M,-2.91
"Aug 28, 2017",144.25,143.8,145.9,143.05,10.53M,0.98
"Aug 24, 2017",142.85,141.1,144,140.65,12.33M,1.35
"Aug 23, 2017",140.95,140.7,142.25,138.45,18.89M,1.15
"Aug 22, 2017",139.35,143.05,143.75,138.2,17.70M,-1.94
"Aug 21, 2017",142.1,147.9,149.6,141,11.17M,-3.46
"Aug 18, 2017",147.2,146.25,148.25,144.3,13.63M,-0.71
"Aug 17, 2017",148.25,148.3,152.25,146.65,20.12M,0.75
"Aug 16, 2017",147.15,143.3,148.65,137.65,25.05M,3.44
"Aug 14, 2017",142.25,140,143.2,139.7,16.09M,0
"Aug 11, 2017",142.25,145.6,150.5,141.2,14.47M,-4.18
"Aug 10, 2017",148.45,153.9,155.6,145.4,10.56M,-4.35
"Aug 09, 2017",155.2,156.9,157.7,154.15,7.54M,-0.86
"Aug 08, 2017",156.55,161.2,161.25,156.1,5.96M,-2.19
"Aug 07, 2017",160.05,160.7,161.3,159.2,4.38M,0.69
"Aug 04, 2017",158.95,158,160.85,155.4,7.12M,0.47
"Aug 03, 2017",158.2,163,163.65,157,9.34M,-3.18
"Aug 02, 2017",163.4,164.4,165.3,162.8,6.53M,-0.06
