Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",4709.25,4666.05,4728.95,4666,131.58K,0.93
"Dec 28, 2017",4666.05,4741.1,4741.15,4656.1,197.53K,-1.46
"Dec 27, 2017",4735.15,4745.6,4750,4723.85,94.25K,-0.22
"Dec 26, 2017",4745.6,4775,4775,4726.3,71.37K,-0.02
"Dec 22, 2017",4746.65,4807,4824.95,4735,284.51K,0.29
"Dec 21, 2017",4732.7,4730.15,4750,4706,86.07K,-0.27
"Dec 20, 2017",4745.4,4770,4770,4715,131.61K,-0.23
"Dec 19, 2017",4756.55,4715,4779.45,4678.3,274.19K,1.21
"Dec 18, 2017",4699.5,4710.65,4710.65,4598.4,186.52K,-0.09
"Dec 15, 2017",4703.6,4748.2,4748.2,4681.05,127.80K,0.19
"Dec 14, 2017",4694.85,4847.5,4847.5,4660,179.53K,-2.49
"Dec 13, 2017",4814.85,4860,4873,4795.2,73.28K,-0.93
"Dec 12, 2017",4860.1,4876,4909,4826,65.98K,-0.19
"Dec 11, 2017",4869.2,4870.1,4949,4837.8,101.35K,0.27
"Dec 08, 2017",4855.85,4949.95,4963.9,4836,116.78K,-1.37
"Dec 07, 2017",4923.25,4770,4950,4765.05,139.90K,3.42
"Dec 06, 2017",4760.45,4794.9,4794.9,4715.25,78.35K,-0.03
"Dec 05, 2017",4761.85,4763.25,4810.6,4735.3,100.16K,-0.03
"Dec 04, 2017",4763.25,4765,4810.75,4750,66.29K,-0.89
"Dec 01, 2017",4805.95,4841.05,4865,4764.6,165.77K,-0.2
"Nov 30, 2017",4815.6,4814,4882,4690.1,3.13M,0.09
"Nov 29, 2017",4811.15,4820,4831.05,4785.05,153.00K,0.34
"Nov 28, 2017",4794.7,4812,4853.7,4780.2,151.11K,-0.05
"Nov 27, 2017",4796.9,4769,4823.95,4760.75,194.32K,1.16
"Nov 24, 2017",4742,4786.05,4794.55,4708.55,145.89K,-0.84
"Nov 23, 2017",4782.35,4781.45,4810,4761.05,71.53K,0.15
"Nov 22, 2017",4775.15,4825,4836.45,4748,121.36K,-0.87
"Nov 21, 2017",4816.9,4770,4843.95,4769,150.77K,1.13
"Nov 20, 2017",4763.2,4777,4799,4724.35,159.18K,0.28
"Nov 17, 2017",4750.05,4769,4829.85,4735,199.02K,0.28
"Nov 16, 2017",4736.7,4740,4816.05,4728,129.27K,-0.27
"Nov 15, 2017",4749.75,4780,4825,4726.2,97.51K,-0.81
"Nov 14, 2017",4788.35,4907,4915.15,4776.3,279.34K,-1.92
"Nov 13, 2017",4882.3,4775,4926.6,4687.55,334.19K,0.19
"Nov 10, 2017",4873,4779,4917.8,4741,243.61K,2.42
"Nov 09, 2017",4757.95,4665,4799.8,4653.6,172.91K,2.24
"Nov 08, 2017",4653.5,4669,4687.35,4600.2,99.33K,0.1
"Nov 07, 2017",4649,4668,4742,4608,204.18K,0.13
"Nov 06, 2017",4643.05,4652.2,4700.45,4620.15,120.00K,-0.32
"Nov 03, 2017",4658.1,4708.9,4708.9,4630.1,57.78K,-0.01
"Nov 02, 2017",4658.65,4702.15,4723.75,4584.8,84.05K,-0.82
"Nov 01, 2017",4697.25,4642,4745.55,4642,135.63K,1.24
"Oct 31, 2017",4639.5,4750,4770,4630.7,119.02K,-2.24
"Oct 30, 2017",4745.9,4600,4767.45,4600,157.50K,3.23
"Oct 27, 2017",4597.35,4608.9,4654.6,4570.1,93.71K,-0.16
"Oct 26, 2017",4604.65,4626.55,4663.55,4587,150.39K,-0.85
"Oct 25, 2017",4644.25,4649,4659.9,4575,153.52K,0.4
"Oct 24, 2017",4625.85,4688,4688,4602.05,72.53K,-0.63
"Oct 23, 2017",4655.2,4642.7,4746.95,4638.1,121.35K,0.41
"Oct 19, 2017",4636.25,4710,4725,4620.1,14.70K,-1.06
"Oct 18, 2017",4685.85,4621,4725,4605.05,179.09K,1.53
"Oct 17, 2017",4615.3,4530,4640,4530,106.31K,1.66
"Oct 16, 2017",4540.1,4590.15,4617.7,4515.1,111.37K,-0.92
"Oct 13, 2017",4582.2,4550,4656,4550,355.91K,0.83
"Oct 12, 2017",4544.45,4394.9,4578.5,4389.05,426.06K,3.85
"Oct 11, 2017",4375.95,4352,4399,4302.3,322.80K,0.63
"Oct 10, 2017",4348.6,4379,4390.4,4334,87.46K,0.09
"Oct 09, 2017",4344.5,4361.85,4393.15,4322.95,184.08K,-0.4
"Oct 06, 2017",4361.85,4363.5,4370,4326.5,100.97K,-0.04
"Oct 05, 2017",4363.65,4385,4385,4345.05,74.11K,0.5
"Oct 04, 2017",4341.85,4330,4398,4330,113.76K,0.04
"Oct 03, 2017",4340.05,4415,4415,4330,72.91K,-0.1
"Sep 29, 2017",4344.25,4345,4356.1,4324.05,156.18K,0.1
"Sep 28, 2017",4339.7,4287,4375,4286,176.42K,0.88
"Sep 27, 2017",4301.75,4331.9,4357.35,4272.95,157.93K,-0.56
"Sep 26, 2017",4326,4281.3,4340,4265,105.62K,1.05
"Sep 25, 2017",4281.1,4232.6,4318.45,4232.6,133.94K,0.25
"Sep 22, 2017",4270.3,4304.9,4345.7,4254.05,192.81K,-1.34
"Sep 21, 2017",4328.1,4374,4374,4306.05,80.29K,-0.53
"Sep 20, 2017",4351.05,4370,4386.95,4341.25,47.07K,-0.44
"Sep 19, 2017",4370.2,4370.25,4395,4323,108.93K,-0.42
"Sep 18, 2017",4388.45,4379.9,4409,4362.3,217.72K,0.72
"Sep 15, 2017",4357,4345,4380.85,4330,139.80K,0.38
"Sep 14, 2017",4340.65,4349,4349,4313.45,94.56K,0.25
"Sep 13, 2017",4329.95,4325,4360,4280,92.79K,0.3
"Sep 12, 2017",4317.2,4330,4338.5,4302.9,113.42K,0.46
"Sep 11, 2017",4297.3,4290,4330,4290,71.09K,0.21
"Sep 08, 2017",4288.25,4281,4350,4269.35,139.35K,0.64
"Sep 07, 2017",4261.1,4251,4295,4244,114.92K,0.31
"Sep 06, 2017",4247.85,4230,4257,4209,115.64K,-0.3
"Sep 05, 2017",4260.6,4242,4271.85,4220,137.10K,0.97
"Sep 04, 2017",4219.65,4245,4259,4151,114.77K,-0.57
"Sep 01, 2017",4243.95,4220,4260.3,4201.5,96.17K,0.31
"Aug 31, 2017",4230.95,4267.7,4272,4212.25,134.55K,-0.25
"Aug 30, 2017",4241.35,4180,4262.5,4180,101.23K,1.65
"Aug 29, 2017",4172.6,4181,4219.25,4142.2,165.13K,-0.37
"Aug 28, 2017",4188.3,4250,4258.85,4175.95,150.03K,-0.61
"Aug 24, 2017",4214.1,4235,4274.4,4193.35,123.42K,-0.78
"Aug 23, 2017",4247.15,4225.7,4267.7,4156,118.71K,1.15
"Aug 22, 2017",4198.85,4245,4258.95,4180.65,106.18K,-0.73
"Aug 21, 2017",4229.8,4236.2,4277.4,4212.05,96.34K,-0.51
"Aug 18, 2017",4251.45,4211.05,4283.95,4211.05,80.31K,0.02
"Aug 17, 2017",4250.5,4339,4339.85,4235,170.71K,-1.15
"Aug 16, 2017",4299.95,4175,4311.95,4171.05,294.70K,3.36
"Aug 14, 2017",4160,4123.35,4206.25,4101.5,99.33K,1.42
"Aug 11, 2017",4101.95,4080.75,4157,4051,148.71K,-0.42
"Aug 10, 2017",4119.2,4028,4233.95,4028,326.59K,1.49
"Aug 09, 2017",4058.9,4069,4074.9,3992.9,174.01K,-0.33
"Aug 08, 2017",4072.35,4116,4141.15,3980,375.18K,-0.86
"Aug 07, 2017",4107.8,3918.8,4211.85,3900.05,891.34K,4.86
"Aug 04, 2017",3917.4,3830,3937.5,3830,96.92K,1.12
"Aug 03, 2017",3873.95,3852.4,3890,3834.05,74.68K,0.25
"Aug 02, 2017",3864.1,3910,3929,3840.65,160.77K,-1.11
"Aug 01, 2017",3907.5,3919.8,3958,3885.55,114.47K,-0.36
"Jul 31, 2017",3921.6,3919.6,3956.6,3879,127.97K,0.38
"Jul 28, 2017",3906.65,3874,3928.35,3835.2,119.48K,0.79
"Jul 27, 2017",3875.9,3852,3918.4,3841,140.37K,0.66
"Jul 26, 2017",3850.6,3862,3862,3840.3,78.14K,0
"Jul 25, 2017",3850.5,3850,3853.3,3821.05,97.71K,0.55
"Jul 24, 2017",3829.45,3835.1,3868,3815.15,101.99K,-0.12
"Jul 21, 2017",3834.05,3819,3845,3790.2,120.41K,1.13
"Jul 20, 2017",3791.1,3805,3835,3765,207.95K,-0.4
"Jul 19, 2017",3806.2,3754.7,3839,3754.7,262.60K,1.69
"Jul 18, 2017",3742.95,3700,3758,3656.05,65.53K,1.22
"Jul 17, 2017",3697.7,3719.95,3733,3675.4,54.35K,-0.58
"Jul 14, 2017",3719.2,3734.7,3734.7,3705.15,38.97K,-0.23
"Jul 13, 2017",3727.6,3724,3763.9,3704,63.90K,0.69
"Jul 12, 2017",3702.15,3697,3724.7,3692,180.20K,0.14
"Jul 11, 2017",3697.05,3690.6,3735.15,3687.05,82.16K,-0.51
"Jul 10, 2017",3715.95,3710.45,3728,3698,17.11K,0.64
"Jul 07, 2017",3692.35,3720.1,3721.95,3676.9,119.71K,-1.05
"Jul 06, 2017",3731.4,3740,3750,3721.45,123.20K,-0.05
"Jul 05, 2017",3733.45,3759,3769,3715,113.02K,-0.39
"Jul 04, 2017",3748.05,3710.1,3767.9,3710.1,122.78K,1.2
"Jul 03, 2017",3703.75,3726,3746.6,3679,74.45K,0.37
"Jun 30, 2017",3690.05,3622.2,3711.85,3619.4,239.85K,1.45
"Jun 29, 2017",3637.2,3638.45,3697,3601,90.71K,0.03
"Jun 28, 2017",3636.15,3645,3675.6,3590.05,128.58K,-0.31
"Jun 27, 2017",3647.55,3678.6,3678.6,3613.45,83.70K,-0.05
"Jun 23, 2017",3649.5,3641.75,3667.6,3606.5,101.71K,0.21
"Jun 22, 2017",3641.75,3700,3700,3632.5,150.79K,-0.78
"Jun 21, 2017",3670.3,3580,3690,3560,89.14K,2.41
"Jun 20, 2017",3583.8,3578.85,3618.7,3569,90.80K,-0.24
"Jun 19, 2017",3592.25,3570,3623.55,3570,58.93K,0.65
"Jun 16, 2017",3568.95,3564.8,3578,3523,139.84K,0.12
"Jun 15, 2017",3564.8,3620,3630,3554.25,87.88K,-1.35
"Jun 14, 2017",3613.55,3646,3646,3580.5,50.25K,-0.35
"Jun 13, 2017",3626.1,3648.75,3648.75,3605,53.02K,-0.02
"Jun 12, 2017",3626.65,3665,3706.4,3614,81.21K,-1.26
"Jun 09, 2017",3673,3648,3699,3641.25,145.42K,0.93
"Jun 08, 2017",3639.3,3643.6,3659,3620.65,45.39K,-0.12
"Jun 07, 2017",3643.6,3637.6,3675,3600.2,129.71K,0.45
"Jun 06, 2017",3627.35,3653.7,3672,3595.85,136.04K,-0.44
"Jun 05, 2017",3643.3,3591.6,3714,3591.6,251.30K,1.44
"Jun 02, 2017",3591.6,3629.9,3665,3560,149.77K,-0.4
"Jun 01, 2017",3605.9,3585,3611,3540,202.81K,2.07
"May 31, 2017",3532.65,3417,3548,3417,209.50K,3.13
"May 30, 2017",3425.45,3439.7,3450,3378.3,246.66K,0.21
"May 29, 2017",3418.4,3408.4,3460,3371.5,196.17K,0.07
"May 26, 2017",3415.85,3514,3545,3402.2,443.05K,-2.9
"May 25, 2017",3517.8,3570,3570,3451.2,169.44K,-0.44
"May 24, 2017",3533.3,3605,3615.85,3471.9,99.69K,-1.69
"May 23, 2017",3594.2,3655,3683.9,3580.05,132.72K,-1.08
"May 22, 2017",3633.45,3621.9,3697,3603.2,106.32K,1.42
"May 19, 2017",3582.7,3599.85,3670,3563,143.74K,0.77
"May 18, 2017",3555.45,3685.6,3685.6,3546.1,71.01K,-3.11
"May 17, 2017",3669.6,3752,3753.7,3660,67.56K,-2.22
"May 16, 2017",3752.85,3741.55,3774,3707,109.62K,0.3
"May 15, 2017",3741.55,3704,3799.5,3680.05,118.39K,1.01
"May 12, 2017",3704.25,3705,3735,3661.8,62.31K,-0.11
"May 11, 2017",3708.35,3690,3744,3685.2,163.45K,-0.08
"May 10, 2017",3711.3,3587,3721.8,3587,334.68K,3.29
"May 09, 2017",3592.95,3534,3603.95,3519.05,94.43K,1.41
"May 08, 2017",3542.95,3541.95,3563.95,3514.05,36.46K,0.39
"May 05, 2017",3529.35,3592.1,3599.6,3516.45,48.12K,-1.75
"May 04, 2017",3592.1,3574.95,3620,3565.35,119.68K,0.32
"May 03, 2017",3580.5,3580.15,3630,3513.3,107.10K,0.18
"May 02, 2017",3573.95,3610,3644.4,3555.65,93.73K,-1.4
"Apr 28, 2017",3624.55,3555.05,3639,3548.25,164.86K,1.95
"Apr 27, 2017",3555.05,3550,3609,3446.8,176.13K,0.05
"Apr 26, 2017",3553.4,3490,3598,3460,312.94K,2.18
"Apr 25, 2017",3477.45,3398,3489,3387.35,137.46K,2.64
"Apr 24, 2017",3388.15,3360,3395.8,3360,40.32K,0.34
"Apr 21, 2017",3376.55,3382.1,3407.65,3368,83.78K,-0.08
"Apr 20, 2017",3379.35,3436.9,3440,3368.2,67.26K,-1.51
"Apr 19, 2017",3431.25,3365.05,3447.45,3339.2,92.99K,1.86
"Apr 18, 2017",3368.5,3370.65,3416.05,3353.8,113.30K,-0.5
"Apr 17, 2017",3385.3,3403.45,3405.8,3372.55,45.55K,-0.54
"Apr 13, 2017",3403.8,3450,3452.6,3391,61.00K,-1.31
"Apr 12, 2017",3449,3380,3460.1,3377.8,167.44K,1.36
"Apr 11, 2017",3402.8,3419.7,3453.75,3382.2,93.87K,-0.41
"Apr 10, 2017",3416.85,3355,3425,3350,68.27K,1.77
"Apr 07, 2017",3357.45,3350,3377.3,3340,51.70K,0.01
"Apr 06, 2017",3357.15,3375.9,3394.45,3347.45,113.26K,-0.56
"Apr 05, 2017",3375.9,3397,3401.55,3350,195.68K,-0.47
"Apr 03, 2017",3391.7,3377,3422.1,3272.8,94.31K,0.52
