Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",1100,1082,1103.5,1082,224.14K,1.32
"Dec 28, 2017",1085.7,1084,1091.9,1077,410.65K,0.58
"Dec 27, 2017",1079.45,1083.05,1088.3,1075,103.12K,-0.41
"Dec 26, 2017",1083.85,1090.05,1092.8,1080.15,47.47K,-0.71
"Dec 22, 2017",1091.65,1091.05,1099,1086,214.32K,0.1
"Dec 21, 2017",1090.55,1090,1094.9,1077,195.78K,0.67
"Dec 20, 2017",1083.3,1075,1091,1068.75,178.23K,0.84
"Dec 19, 2017",1074.3,1079,1080.1,1069.05,151.28K,-0.42
"Dec 18, 2017",1078.85,1072.4,1088.95,1054,282.72K,0.6
"Dec 15, 2017",1072.4,1060,1089.7,1056.05,281.44K,1.39
"Dec 14, 2017",1057.75,1057.35,1063.5,1048.25,227.18K,0.67
"Dec 13, 2017",1050.7,1065.5,1070.9,1047,197.39K,-1.53
"Dec 12, 2017",1067.05,1084.7,1084.7,1065,82.88K,-1.19
"Dec 11, 2017",1079.9,1075,1100.45,1074,449.19K,0.98
"Dec 08, 2017",1069.45,1060.1,1074,1052,297.63K,1.78
"Dec 07, 2017",1050.75,1049,1054,1040,121.78K,1.02
"Dec 06, 2017",1040.1,1033,1049.9,1028,482.94K,0.72
"Dec 05, 2017",1032.65,1037,1044,1026.85,196.20K,-0.05
"Dec 04, 2017",1033.15,1025,1040,1022,112.90K,0.44
"Dec 01, 2017",1028.65,1037.95,1048,1025.5,184.76K,-0.77
"Nov 30, 2017",1036.65,1053,1054.95,1032,222.42K,-1.21
"Nov 29, 2017",1049.3,1060,1063,1045.05,242.92K,-0.46
"Nov 28, 2017",1054.1,1061.15,1065.95,1044.4,202.58K,-0.61
"Nov 27, 2017",1060.6,1059,1065.55,1057,276.38K,0.51
"Nov 24, 2017",1055.25,1050,1057.75,1045.25,400.90K,0.75
"Nov 23, 2017",1047.4,1035,1050,1033,180.62K,1.11
"Nov 22, 2017",1035.9,1044.5,1052,1032,123.85K,-0.8
"Nov 21, 2017",1044.3,1050.5,1050.5,1038,162.28K,-0.08
"Nov 20, 2017",1045.15,1041.4,1053,1032.35,158.05K,0.36
"Nov 17, 2017",1041.4,1049,1053.5,1037.5,200.18K,0.3
"Nov 16, 2017",1038.3,1047,1050,1021.3,189.55K,-0.23
