Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",349.7,345,350.1,345,851.15K,1.42
"Dec 28, 2017",344.8,353,353,343.4,2.81M,-2.31
"Dec 27, 2017",352.95,357.7,357.7,351.3,705.12K,-0.16
"Dec 26, 2017",353.5,354.95,356,352.1,711.58K,-0.01
"Dec 22, 2017",353.55,350.95,356.25,349.1,1.47M,1.12
"Dec 21, 2017",349.65,350.8,352,348.4,527.05K,-0.33
"Dec 20, 2017",350.8,349.8,352.9,345.55,942.79K,0.21
"Dec 19, 2017",350.05,347.5,354.25,347.5,1.49M,0.69
"Dec 18, 2017",347.65,340.95,349,325,523.29K,1.58
"Dec 15, 2017",342.25,344.2,346.5,340.6,1.38M,-0.57
"Dec 14, 2017",344.2,347.95,347.95,340.05,562.83K,-0.45
"Dec 13, 2017",345.75,347.3,350.9,344,492.97K,-0.69
"Dec 12, 2017",348.15,349.4,350.5,344.25,724.28K,-0.4
"Dec 11, 2017",349.55,352.5,352.75,346.6,804.55K,-0.46
"Dec 08, 2017",351.15,348,352.8,347,1.08M,1.65
"Dec 07, 2017",345.45,342.7,346.4,340.1,494.15K,0.85
"Dec 06, 2017",342.55,344.8,347.95,340.3,1.09M,-0.44
"Dec 05, 2017",344.05,340.7,346,340,793.10K,0.76
"Dec 04, 2017",341.45,344.4,344.8,338.9,565.55K,0.21
"Dec 01, 2017",340.75,344.05,346.75,338.6,894.68K,-1.03
"Nov 30, 2017",344.3,340,350.9,336.4,4.49M,1.29
"Nov 29, 2017",339.9,345.85,345.85,338.15,814.74K,-1.45
"Nov 28, 2017",344.9,342.4,345.85,338,697.99K,0.73
"Nov 27, 2017",342.4,344.65,345.65,338.2,838.51K,-0.61
"Nov 24, 2017",344.5,342.7,349.2,340.35,1.12M,1.31
"Nov 23, 2017",340.05,342,342,336.55,897.82K,0.21
"Nov 22, 2017",339.35,341,341.95,336.65,842.04K,-0.13
"Nov 21, 2017",339.8,338,340.75,338,766.87K,0.67
"Nov 20, 2017",337.55,336,339.65,334.7,622.66K,0.31
"Nov 17, 2017",336.5,341,341.5,335.5,849.99K,-0.77
"Nov 16, 2017",339.1,335.2,340,331.8,669.91K,1.25
"Nov 15, 2017",334.9,337,337.85,329.7,1.70M,-0.9
"Nov 14, 2017",337.95,336.3,340.2,336.3,705.31K,0.15
"Nov 13, 2017",337.45,344,344,336.6,587.58K,-1.36
"Nov 10, 2017",342.1,349.45,350,341,1.00M,-1.82
"Nov 09, 2017",348.45,342,349.8,336.5,1.13M,3.02
"Nov 08, 2017",338.25,341,343.15,337,408.43K,-0.56
"Nov 07, 2017",340.15,346,347.15,336.05,994.49K,-0.7
"Nov 06, 2017",342.55,341,345.9,339.25,875.13K,0.63
"Nov 03, 2017",340.4,343,346.6,337.2,1.05M,-0.66
"Nov 02, 2017",342.65,345.85,349.2,340.25,1.34M,-1.97
"Nov 01, 2017",349.55,338.9,360.85,338.25,6.79M,5.02
"Oct 31, 2017",332.85,325.9,334.6,322.8,3.63M,3.29
"Oct 30, 2017",322.25,323,325,318,500.66K,-0.22
"Oct 27, 2017",322.95,323.25,325,319.5,510.12K,0.05
"Oct 26, 2017",322.8,325.8,326.7,321.2,1.47M,-0.09
"Oct 25, 2017",323.1,318.55,324.8,318.15,1.40M,1.43
"Oct 24, 2017",318.55,318.8,320.9,314,612.85K,0.55
"Oct 23, 2017",316.8,317.75,320,316.1,699.57K,-0.55
"Oct 19, 2017",318.55,319.05,320.85,317.05,123.62K,-0.16
"Oct 18, 2017",319.05,320.4,320.4,315,606.83K,-0.28
"Oct 17, 2017",319.95,323.4,323.4,318.2,659.50K,-0.62
"Oct 16, 2017",321.95,324.9,324.9,320.2,709.81K,0
"Oct 13, 2017",321.95,327.35,328.3,321,1.25M,-1.15
"Oct 12, 2017",325.7,316.55,328.1,316.55,2.24M,2.5
"Oct 11, 2017",317.75,317.5,322.45,315.15,1.25M,0.14
"Oct 10, 2017",317.3,316.75,321.8,312.2,577.43K,-0.11
"Oct 09, 2017",317.65,315.7,319.65,315.1,521.92K,0.51
"Oct 06, 2017",316.05,316.75,318.45,315.15,522.19K,-0.09
"Oct 05, 2017",316.35,318,320.7,315.65,785.26K,0.35
"Oct 04, 2017",315.25,312.2,319.35,312,1.43M,1.27
"Oct 03, 2017",311.3,310.5,313.2,306,932.67K,2.07
"Sep 29, 2017",305,313,314.2,303.9,1.49M,-1.87
"Sep 28, 2017",310.8,307.05,313.2,306.15,1.49M,1.64
"Sep 27, 2017",305.8,314.75,314.75,303.25,1.44M,-0.73
"Sep 26, 2017",308.05,314.9,316,305.4,1.68M,-1.35
"Sep 25, 2017",312.25,304.5,316,298.7,1.49M,2.48
"Sep 22, 2017",304.7,310.05,312.45,303.5,1.00M,-1.79
"Sep 21, 2017",310.25,315,316.45,308,674.19K,-1.41
"Sep 20, 2017",314.7,316.8,318.5,313.5,928.21K,0.05
"Sep 19, 2017",314.55,308,316.65,307.6,1.57M,1.98
"Sep 18, 2017",308.45,310.5,311,306.55,589.02K,-0.58
"Sep 15, 2017",310.25,307,311.8,305.35,1.09M,0.86
"Sep 14, 2017",307.6,308.45,309.9,306.05,705.76K,-0.23
"Sep 13, 2017",308.3,306.3,312.8,306,1.22M,0.46
"Sep 12, 2017",306.9,309.95,309.95,305.6,982.04K,-0.82
"Sep 11, 2017",309.45,309.3,310.6,307.2,457.08K,0.85
"Sep 08, 2017",306.85,309.8,311.7,305.4,1.05M,-0.95
"Sep 07, 2017",309.8,311.75,311.9,307.9,692.28K,0.11
"Sep 06, 2017",309.45,313.4,313.4,308.75,658.59K,-1.35
"Sep 05, 2017",313.7,312,314.5,310.35,1.17M,0.95
"Sep 04, 2017",310.75,313.7,314.5,308.6,419.18K,-0.86
"Sep 01, 2017",313.45,316.1,316.4,312.05,566.71K,-0.52
"Aug 31, 2017",315.1,314.9,316.7,312.5,1.79M,0.24
"Aug 30, 2017",314.35,310,315.5,309.85,790.49K,1.65
"Aug 29, 2017",309.25,313,313,305.5,879.51K,-1.1
"Aug 28, 2017",312.7,300.95,313.65,300.95,1.64M,4.22
"Aug 24, 2017",300.05,300.95,302.9,298.15,767.16K,0.4
"Aug 23, 2017",298.85,302,302.5,296.5,1.16M,-0.75
"Aug 22, 2017",301.1,304.9,307,300.5,856.97K,-1.04
"Aug 21, 2017",304.25,311,313.75,302.8,575.26K,-1.87
"Aug 18, 2017",310.05,305.95,311.45,305.45,585.20K,0.68
"Aug 17, 2017",307.95,310.05,311.25,306.25,741.28K,-0.36
"Aug 16, 2017",309.05,309,311.85,307.2,920.95K,0.63
"Aug 14, 2017",307.1,304.15,311.5,303.5,554.06K,1.22
"Aug 11, 2017",303.4,300.25,307.6,300.25,650.00K,-1.03
"Aug 10, 2017",306.55,307.25,310.9,305.7,566.29K,-1.27
"Aug 09, 2017",310.5,315.9,315.9,309.8,643.37K,-1.41
"Aug 08, 2017",314.95,320,323,313.2,1.10M,-1.41
"Aug 07, 2017",319.45,311,320,309.1,2.37M,3.95
"Aug 04, 2017",307.3,307.6,309.35,301.15,3.31M,0.72
"Aug 03, 2017",305.1,300,307.3,297.2,1.52M,1.46
"Aug 02, 2017",300.7,302,304.6,298.5,748.78K,-0.33
"Aug 01, 2017",301.7,309.95,310.25,301.2,1.76M,-2.68
"Jul 31, 2017",310,310,312.7,308.25,745.45K,-0.16
"Jul 28, 2017",310.5,310.9,312.45,305.5,1.05M,-0.45
"Jul 27, 2017",311.9,307,313.6,306,2.49M,1.84
"Jul 26, 2017",306.25,308.4,308.4,304.15,696.77K,-0.21
"Jul 25, 2017",306.9,305.9,308.95,305.75,968.74K,0.36
"Jul 24, 2017",305.8,302.2,306.7,300.8,652.76K,1.06
"Jul 21, 2017",302.6,301.1,303.55,299.7,823.84K,0.51
"Jul 20, 2017",301.05,306.7,307.4,300,1.05M,-1.67
"Jul 19, 2017",306.15,301.1,306.8,300,1.12M,2.08
"Jul 18, 2017",299.9,300.2,302,297.6,1.34M,-0.74
"Jul 17, 2017",302.15,304.1,305.95,296.6,1.67M,-0.64
"Jul 14, 2017",304.1,306,306.4,301.1,1.20M,0.2
"Jul 13, 2017",303.5,303.05,306.95,302.1,1.12M,-0.39
"Jul 12, 2017",304.7,306.8,308.85,303.3,1.48M,-0.13
"Jul 11, 2017",305.1,302.1,307.4,302.1,2.49M,0.41
"Jul 10, 2017",303.85,303.7,304.65,301,89.14K,0.66
"Jul 07, 2017",301.85,301.5,303.3,298.9,1.87M,0.38
"Jul 06, 2017",300.7,297.8,302.6,296.25,2.67M,0.96
"Jul 05, 2017",297.85,292.8,298.45,292.65,1.07M,0.8
"Jul 04, 2017",295.5,297.4,299.8,293.5,2.26M,0.17
"Jul 03, 2017",295,291.9,296.3,291.4,1.46M,0.99
"Jun 30, 2017",292.1,289.05,293.45,287.1,805.21K,0.78
"Jun 29, 2017",289.85,290.3,292,287.9,1.56M,-0.02
"Jun 28, 2017",289.9,289.75,291.95,286.8,3.27M,-0.03
"Jun 27, 2017",290,289.5,291,282.5,2.41M,0.07
"Jun 23, 2017",289.8,289,290.8,284.7,1.71M,0.28
"Jun 22, 2017",289,287.8,289.95,286.65,1.08M,0.42
"Jun 21, 2017",287.8,287.95,289,285,960.50K,0.26
"Jun 20, 2017",287.05,288.25,290.9,285.95,734.72K,-0.26
