Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",999.45,993.8,1006,989.6,689.42K,1.52
"Dec 28, 2017",984.45,983,995.7,980.25,345.71K,-0.01
"Dec 27, 2017",984.55,981.7,988.5,975.6,240.71K,0.65
"Dec 26, 2017",978.15,988,988.5,975.05,156.37K,-0.96
"Dec 22, 2017",987.6,987.15,990.8,981,335.73K,-0.15
"Dec 21, 2017",989.1,987.75,992.75,984,311.04K,0.56
"Dec 20, 2017",983.55,994.95,994.95,978.3,447.02K,-0.72
"Dec 19, 2017",990.7,990,1002.85,985.65,663.29K,0.25
"Dec 18, 2017",988.2,986,994.45,960,336.73K,0.06
"Dec 15, 2017",987.6,997.95,1004.5,983,744.09K,-0.87
"Dec 14, 2017",996.25,988,1000,975.25,264.13K,0.46
"Dec 13, 2017",991.65,1008.4,1018.45,977.7,694.56K,-1.64
"Dec 12, 2017",1008.15,1023.15,1033.1,1002.8,586.53K,-1.82
"Dec 11, 2017",1026.8,1013.8,1037,1009.05,582.12K,1.9
"Dec 08, 2017",1007.65,997.4,1015,986.05,422.50K,1.26
"Dec 07, 2017",995.15,1007,1018.8,986.25,666.72K,-0.86
"Dec 06, 2017",1003.75,972.55,1010.7,971.1,988.94K,2.8
"Dec 05, 2017",976.45,983.95,987.05,963.5,297.15K,-0.21
"Dec 04, 2017",978.5,975.75,986.7,959.05,370.37K,0.29
"Dec 01, 2017",975.7,961.05,992.6,961.05,509.74K,1.48
"Nov 30, 2017",961.5,975.95,984.4,955.9,1.17M,-1.52
"Nov 29, 2017",976.35,988.3,1007.9,970.8,720.46K,-0.47
"Nov 28, 2017",980.95,951,1029,950,1.28M,3.25
"Nov 27, 2017",950.05,970.85,971,939,470.15K,-2.31
"Nov 24, 2017",972.55,962,974.8,952.75,690.31K,1.78
"Nov 23, 2017",955.5,964.85,968,945.15,450.19K,0
"Nov 22, 2017",955.5,958.65,960.5,950,227.39K,0.57
"Nov 21, 2017",950.05,960.15,968.5,943.25,437.16K,-0.78
"Nov 20, 2017",957.55,944.1,964.9,940.1,291.96K,1.42
"Nov 17, 2017",944.1,935.1,946.95,935.1,384.52K,1.37
"Nov 16, 2017",931.35,915,934,900.4,564.28K,1.72
"Nov 15, 2017",915.6,930,933.85,910,688.15K,-1.5
"Nov 14, 2017",929.5,940.65,948,924.75,534.99K,-0.47
"Nov 13, 2017",933.85,969.95,969.95,927,707.79K,-2.61
"Nov 10, 2017",958.85,975,975.45,952,341.47K,-1.61
"Nov 09, 2017",974.55,972,984.7,960.05,398.02K,0.87
"Nov 08, 2017",966.1,987,989.75,960,233.40K,-1.49
"Nov 07, 2017",980.7,972.05,984,962,222.20K,0.99
"Nov 06, 2017",971.05,980,982.6,965.95,190.95K,-0.12
"Nov 03, 2017",972.2,984,986.85,959.05,414.37K,-0.63
"Nov 02, 2017",978.4,975.95,992,953.95,938.38K,1.12
"Nov 01, 2017",967.6,943.1,990,940,2.43M,3.61
"Oct 31, 2017",933.9,937,939.2,926.55,1.04M,0.82
"Oct 30, 2017",926.3,931,933,922.3,352.62K,-0.06
"Oct 27, 2017",926.9,929,938.15,916.05,327.57K,0.42
"Oct 26, 2017",923.05,917,928.55,910,429.04K,0.13
"Oct 25, 2017",921.85,932.65,942.85,917.45,433.12K,-1.16
"Oct 24, 2017",932.65,942.7,949,930.55,255.87K,-0.59
"Oct 23, 2017",938.2,964.95,964.95,928,383.26K,-2.16
"Oct 19, 2017",958.95,970,970,955,22.84K,-0.63
"Oct 18, 2017",965.05,970.7,973.55,963,411.68K,-0.43
"Oct 17, 2017",969.2,972.05,981.75,965.1,301.59K,-0.72
"Oct 16, 2017",976.25,982,987.95,969.4,787.70K,0.51
"Oct 13, 2017",971.25,975.05,978.35,965,280.92K,-0.34
"Oct 12, 2017",974.55,980,985,971.05,276.97K,-0.53
"Oct 11, 2017",979.7,993.8,997.4,965,278.73K,-1.22
"Oct 10, 2017",991.8,984.85,994.8,980.1,506.89K,1.08
"Oct 09, 2017",981.2,956,984.15,950,351.67K,3.52
"Oct 06, 2017",947.85,962.55,969.7,945.5,229.82K,-1.64
"Oct 05, 2017",963.7,965.2,979.5,958.45,285.32K,-0.9
"Oct 04, 2017",972.45,957.6,981.95,957.6,822.26K,1.95
"Oct 03, 2017",953.85,924.1,969,924.1,1.08M,3.78
"Sep 29, 2017",919.15,909.45,932.45,901.95,475.63K,2.08
"Sep 28, 2017",900.45,916.95,916.95,888.45,849.78K,-0.79
"Sep 27, 2017",907.6,919.5,919.5,898.75,472.68K,-0.52
"Sep 26, 2017",912.35,931,937.75,900.1,860.53K,-2.11
"Sep 25, 2017",932,938.6,946.2,922.55,492.67K,1.64
"Sep 22, 2017",917,932.95,934.7,911.15,357.56K,-2.06
"Sep 21, 2017",936.3,946.8,949.85,932.6,220.78K,-1.31
"Sep 20, 2017",948.7,957.05,959.5,941,400.79K,-0.76
"Sep 19, 2017",955.95,943,960,943,404.17K,1.17
"Sep 18, 2017",944.85,940,951.5,939.55,151.98K,0.64
"Sep 15, 2017",938.8,935,947,930.25,598.68K,0.32
"Sep 14, 2017",935.8,936,947.85,930,166.21K,-0.73
"Sep 13, 2017",942.7,938.8,956,934.15,517.86K,0.41
"Sep 12, 2017",938.85,931,956.5,931,447.43K,0.91
"Sep 11, 2017",930.4,928,937.25,923,332.19K,0.77
"Sep 08, 2017",923.3,923.95,929.9,919.75,588.99K,-0.18
"Sep 07, 2017",925,907,926.1,904.6,676.71K,2.75
"Sep 06, 2017",900.2,925,925,896.5,904.11K,-3.15
"Sep 05, 2017",929.45,923.25,933.4,919,347.07K,0.85
"Sep 04, 2017",921.6,932,934.6,918.15,221.01K,-1.06
"Sep 01, 2017",931.45,933,954.2,923.3,899.50K,0.23
"Aug 31, 2017",929.3,930.95,934.4,911.65,801.06K,0.36
"Aug 30, 2017",926,924.75,932.55,918,366.08K,1.19
"Aug 29, 2017",915.1,939,939,906.65,464.45K,-2.63
"Aug 28, 2017",939.85,920,943.85,920,675.98K,2.44
"Aug 24, 2017",917.45,909.8,930,901.05,848.78K,1.38
"Aug 23, 2017",904.95,892.9,914.15,883,2.07M,2.12
"Aug 22, 2017",886.2,914.95,914.95,883,534.68K,-1.93
"Aug 21, 2017",903.6,927.95,927.95,901,307.15K,-1.61
