Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",562.45,554,569.9,550.65,2.13M,2.17
"Dec 28, 2017",550.5,549.95,552.5,545.5,552.17K,0.18
"Dec 27, 2017",549.5,550,554.1,546.25,514.01K,-0.09
"Dec 26, 2017",550,549.95,556.35,548.5,560.12K,-0.01
"Dec 22, 2017",550.05,550,554.7,545.7,852.55K,0.18
"Dec 21, 2017",549.05,557,560,546.3,2.50M,-1.71
"Dec 20, 2017",558.6,554.5,560.95,549.35,1.06M,0.84
"Dec 19, 2017",553.95,551.6,555.35,549.2,838.89K,0.49
"Dec 18, 2017",551.25,552,561.85,536,1.05M,-0.87
"Dec 15, 2017",556.1,547,559,544,1.67M,2.58
"Dec 14, 2017",542.1,537,543.5,529,898.61K,1.3
"Dec 13, 2017",535.15,545.95,546.55,533,1.09M,-2.04
"Dec 12, 2017",546.3,538.5,553.25,535.5,2.71M,1.41
"Dec 11, 2017",538.7,540,543,535.1,1.07M,0.3
"Dec 08, 2017",537.1,529.7,540,526.2,3.22M,2.16
"Dec 07, 2017",525.75,514,527,511.05,1.87M,3.06
"Dec 06, 2017",510.15,507.15,516.7,504.4,977.76K,0.75
"Dec 05, 2017",506.35,512,513.3,502.6,714.59K,-1.08
"Dec 04, 2017",511.9,510.3,515.75,503.75,870.06K,0.71
"Dec 01, 2017",508.3,510.95,516,505.55,771.25K,-0.2
"Nov 30, 2017",509.3,519.75,522.6,506.95,1.56M,-2.35
"Nov 29, 2017",521.55,520,525.2,516.6,782.89K,0.5
"Nov 28, 2017",518.95,520,527.9,516.5,1.17M,-0.34
"Nov 27, 2017",520.7,519.85,527.4,510.3,1.90M,0.23
"Nov 24, 2017",519.5,510.3,520.1,508.4,1.67M,2.8
"Nov 23, 2017",505.35,500,512,494.3,1.40M,1.07
"Nov 22, 2017",500,506,506.7,497.1,878.50K,-1.15
"Nov 21, 2017",505.8,511.65,514,502.95,588.82K,-0.96
"Nov 20, 2017",510.7,507.2,515.85,506.45,639.36K,0.57
"Nov 17, 2017",507.8,503,511,501.5,696.88K,1.92
"Nov 16, 2017",498.25,506,506.75,496.7,768.84K,-1.41
"Nov 15, 2017",505.4,512.1,513.95,502.3,644.02K,-1.24
"Nov 14, 2017",511.75,517.45,517.45,508.15,920.50K,0.34
"Nov 13, 2017",510,509.7,519.3,505.2,1.72M,1.68
"Nov 10, 2017",501.55,518.1,522.3,498.2,1.98M,-2.93
"Nov 09, 2017",516.7,506.9,517.25,506.3,2.52M,2.58
"Nov 08, 2017",503.7,503.15,513.45,498.75,2.01M,0.24
"Nov 07, 2017",502.5,501,509.6,493.45,2.29M,0.58
"Nov 06, 2017",499.6,491.6,502.6,487.15,1.11M,1.22
"Nov 03, 2017",493.6,500.9,501.55,491.3,895.26K,-0.52
"Nov 02, 2017",496.2,493,502.5,492.6,1.45M,0.9
"Nov 01, 2017",491.75,486.05,494.5,486.05,1.21M,1.44
"Oct 31, 2017",484.75,492.9,492.9,483.1,1.31M,-0.99
"Oct 30, 2017",489.6,487.95,495.5,485.3,1.69M,1.49
"Oct 27, 2017",482.4,486.1,488.75,479.5,2.23M,-0.37
"Oct 26, 2017",484.2,495,497.4,480.5,3.28M,-1.95
"Oct 25, 2017",493.85,508,510,487.1,2.84M,-1.9
"Oct 24, 2017",503.4,536.9,536.9,499.5,6.28M,-7.03
"Oct 23, 2017",541.45,550,564.6,539.05,5.81M,-1.08
"Oct 19, 2017",547.35,545,552,544.15,212.69K,0.4
"Oct 18, 2017",545.15,549.7,553.9,542.6,2.77M,-0.58
"Oct 17, 2017",548.35,542.6,550.4,540.05,835.65K,0.78
"Oct 16, 2017",544.1,544.85,547.35,538.4,1.17M,0.55
"Oct 13, 2017",541.1,535.1,545.75,533.45,3.43M,1.8
"Oct 12, 2017",531.55,528,532.75,522,1.18M,0.78
"Oct 11, 2017",527.45,535,537.5,519.3,1.97M,-1.09
"Oct 10, 2017",533.25,505,534.45,505,2.93M,5.19
"Oct 09, 2017",506.95,511.9,511.95,504.55,527.15K,-0.63
"Oct 06, 2017",510.15,508.8,512.5,505,477.80K,0.74
"Oct 05, 2017",506.4,506,512.8,504.25,685.62K,0.15
"Oct 04, 2017",505.65,494.25,508.15,491.35,1.34M,2.12
"Oct 03, 2017",495.15,488,497.5,487.3,1.18M,2.48
"Sep 29, 2017",483.15,472,488.75,472,1.07M,2.35
"Sep 28, 2017",472.05,476.5,483,469.55,1.24M,-0.86
"Sep 27, 2017",476.15,494.7,496,470.8,706.84K,-3.09
"Sep 26, 2017",491.35,490,497.6,488,783.72K,0.29
"Sep 25, 2017",489.95,494,497.75,482.45,948.38K,-1.11
"Sep 22, 2017",495.45,509.85,509.85,490.1,1.85M,-2.87
"Sep 21, 2017",510.1,517,521.45,505.65,1.71M,-1.01
"Sep 20, 2017",515.3,514.7,519.9,511.5,1.34M,1.02
"Sep 19, 2017",510.1,507.35,514.85,507.35,483.92K,-0.26
"Sep 18, 2017",511.45,512.75,516.85,510.1,900.44K,0.9
"Sep 15, 2017",506.9,504.85,508.9,499.05,1.12M,0.41
"Sep 14, 2017",504.85,504.95,509.4,500.5,705.89K,0.68
"Sep 13, 2017",501.45,507,516.8,498.5,1.49M,-0.92
"Sep 12, 2017",506.1,499,509.5,492,2.31M,1.92
"Sep 11, 2017",496.55,491,503,489,1.70M,1.69
"Sep 08, 2017",488.3,492.35,494.9,484.15,430.58K,-0.99
"Sep 07, 2017",493.2,502.85,502.85,492.5,529.33K,0.04
"Sep 06, 2017",493,490.25,499,487.55,680.03K,0.02
"Sep 05, 2017",492.9,495.5,497.4,488.85,674.57K,0.01
"Sep 04, 2017",492.85,490.4,495.85,483.25,827.53K,1.23
