Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",72357.05,73499,73950,72101.1,10.90K,-1.55
"Dec 28, 2017",73497.95,73490,73899,72492.2,10.19K,0.57
"Dec 27, 2017",73080.05,74280,74394,72693.1,14.79K,-1.33
"Dec 26, 2017",74062,72600,74500,72160.05,17.53K,1.71
"Dec 22, 2017",72817.8,70927,73089,70898.75,29.13K,2.76
"Dec 21, 2017",70860.55,69000,71050,68551,12.05K,2.82
"Dec 20, 2017",68913.8,69389.7,69900,68751,5.12K,-0.69
"Dec 19, 2017",69389.7,68940,69649,68650.2,7.91K,0.3
"Dec 18, 2017",69184.6,67400,69350,65810,14.07K,2.19
"Dec 15, 2017",67703.6,66500,68124.95,66335.65,9.21K,2.65
"Dec 14, 2017",65952.8,66480,66670,65323.9,5.78K,-0.18
"Dec 13, 2017",66072.6,66774,67095,65890,6.46K,-0.5
"Dec 12, 2017",66407.4,68240,68240,66280,6.24K,-2.15
"Dec 11, 2017",67863.45,68500,69000,67678,4.90K,-0.53
"Dec 08, 2017",68226.15,67251,68337.9,66845.05,7.18K,1.73
"Dec 07, 2017",67063.25,66990,67284.8,66647.7,5.21K,0.29
"Dec 06, 2017",66871.05,66122,67222.15,66122,5.83K,0.04
"Dec 05, 2017",66842.75,66336.6,67000,65705,9.02K,0.77
"Dec 04, 2017",66333.1,66400,66841.9,65805,5.84K,0.25
"Dec 01, 2017",66169.15,68601,69099.95,65724.25,11.68K,-3.52
"Nov 30, 2017",68583.5,69299,69359.95,68200.1,7.99K,-1
"Nov 29, 2017",69275.15,69540,69948.95,69200,8.74K,-0.46
"Nov 28, 2017",69597.35,70130,70325,69480,2.74K,-0.88
"Nov 27, 2017",70215.15,69474.45,70450,69405,10.18K,1.17
"Nov 24, 2017",69405.45,69499,69859.05,69261,5.51K,0.31
"Nov 23, 2017",69189.6,69799.1,70200,69001,9.56K,-0.72
"Nov 22, 2017",69692.85,70000,70189,69268.35,4.61K,-0.2
"Nov 21, 2017",69830.5,68908,70160,68750.05,12.16K,1.62
"Nov 20, 2017",68718.95,69437.35,69869.85,68476.05,4.13K,-1.03
"Nov 17, 2017",69437.35,70000,70500,69195.6,10.99K,-0.42
"Nov 16, 2017",69730.8,68500,69955.95,68500,12.71K,1.96
"Nov 15, 2017",68392.3,68300,69655.2,67687.5,18.81K,1.11
"Nov 14, 2017",67643.45,68624.9,68624.9,67428.05,5.49K,-0.99
"Nov 13, 2017",68320.9,66812.2,69000,66800,20.03K,1.43
"Nov 10, 2017",67359.05,64995,67748.95,63614.05,39.94K,3.64
"Nov 09, 2017",64994.15,65398.75,65800,64836,4.13K,-0.26
"Nov 08, 2017",65162.45,65900,66341.65,65000,5.12K,-0.84
"Nov 07, 2017",65712.6,67650,67810,65521.5,8.92K,-2.5
"Nov 06, 2017",67399.4,66500,67800,65911,9.36K,1.38
"Nov 03, 2017",66483.4,65726.85,66739.7,65726.85,5.38K,1.15
"Nov 02, 2017",65726.85,66011.2,66719.85,65590.05,4.28K,-0.42
"Nov 01, 2017",66002.5,66789.9,66999,65851.95,6.27K,-0.63
"Oct 31, 2017",66422.45,66775,67221.95,65715.05,7.41K,-0.53
"Oct 30, 2017",66779.15,65000,67343.9,65000,15.49K,3.1
"Oct 27, 2017",64771.1,63300,64999,63210.7,10.78K,2.56
"Oct 26, 2017",63156.15,63200,63500,62811.9,5.89K,0.11
"Oct 25, 2017",63089.15,63315,63498.95,62910.5,4.02K,0.04
"Oct 24, 2017",63064.45,63450,63574,62981.1,7.75K,-0.67
"Oct 23, 2017",63490.6,63250,63600,62409.8,12.59K,-0.05
"Oct 19, 2017",63522.5,63670.35,63898.7,63207,0.92K,-0.23
"Oct 18, 2017",63670.35,63516.35,64000,63516.35,3.56K,-0.17
"Oct 17, 2017",63777.05,63700,64190,63328.05,4.42K,0.22
"Oct 16, 2017",63636.4,63602,64049,63101,7.70K,-0.05
"Oct 13, 2017",63670.25,63800.15,64000,63500,5.19K,-0.34
"Oct 12, 2017",63885.55,64200,64200,63460,5.28K,0.71
"Oct 11, 2017",63437.4,64949.9,64970,63269.65,8.38K,-1.96
"Oct 10, 2017",64705.2,65011,65300,64510.1,4.70K,-0.2
"Oct 09, 2017",64835.5,64550,65010.1,64195.4,6.74K,0.64
"Oct 06, 2017",64422.7,63349.95,64620,63207.85,10.35K,2.03
"Oct 05, 2017",63141.5,63298,63666,62883.8,13.68K,0.18
"Oct 04, 2017",63029.8,63749,63786.5,62750,9.07K,-0.59
"Oct 03, 2017",63404.4,63480,64000,63160.6,14.58K,0.63
"Sep 29, 2017",63005.3,62051,63940,62051,25.19K,1.84
"Sep 28, 2017",61866.4,61790,62200,61000,15.84K,0.19
"Sep 27, 2017",61746.6,62720,62999,61501,6.87K,-1.61
"Sep 26, 2017",62754.1,62800,63000,62210.05,11.34K,0.05
"Sep 25, 2017",62721.85,63100,63376.6,61251,15.44K,-0.34
"Sep 22, 2017",62938.15,64000,64000,62650,17.03K,-0.56
"Sep 21, 2017",63294.7,64438,64447.8,63152.55,8.73K,-1.24
"Sep 20, 2017",64092.1,65101,65650,63933.15,15.54K,0.01
"Sep 19, 2017",64087.1,64648,65248,64003.05,9.35K,-1.28
"Sep 18, 2017",64916.05,64698,65300,64648.15,20.04K,0.58
"Sep 15, 2017",64544.3,63999.95,64750,63535.75,12.62K,1.1
"Sep 14, 2017",63840.35,64430,64599.8,63690,6.53K,-0.77
"Sep 13, 2017",64334.3,65500,65650,64100,8.73K,-1.43
"Sep 12, 2017",65270.8,64899.9,65545.6,64650.1,10.39K,1.27
"Sep 11, 2017",64449.6,64010,64799,64010,8.30K,0.99
"Sep 08, 2017",63816.85,64505,64799.9,63671,7.53K,-0.95
"Sep 07, 2017",64429.75,65269.9,65350,64102,5.02K,-0.86
"Sep 06, 2017",64990,64260,65330,63709.2,13.56K,0.65
"Sep 05, 2017",64573.35,64474.3,64999,64200,6.76K,0.52
"Sep 04, 2017",64240.15,65290,65368.45,63950,8.63K,-1.61
"Sep 01, 2017",65293.85,64090,65499,64090,9.06K,1.88
"Aug 31, 2017",64089.6,63179.9,64235.2,62850,11.82K,1.82
"Aug 30, 2017",62944.75,63200,63299.95,62655.6,5.04K,0.06
"Aug 29, 2017",62907.95,62949.9,63200,62400,12.68K,0.15
"Aug 28, 2017",62811.1,63350,63400,62657.15,7.91K,-0.38
"Aug 24, 2017",63049.7,63248,63349.5,62611,7.88K,0.39
"Aug 23, 2017",62805.85,62999,63494.9,62570,12.48K,0.4
"Aug 22, 2017",62555.7,63050.1,63999.95,62432.05,14.40K,-1.36
"Aug 21, 2017",63419.8,63798.2,64770,63002,8.78K,-0.42
"Aug 18, 2017",63684.15,64470,64470,63501,12.64K,-1.24
"Aug 17, 2017",64484.5,66054,66395,64280,11.29K,-1.97
"Aug 16, 2017",65783,64525,65987,63300,15.56K,3.16
"Aug 14, 2017",63770.65,64400,64899.6,63601.1,11.84K,-0.24
"Aug 11, 2017",63922,63250,65098.95,62382.05,16.99K,-0.28
"Aug 10, 2017",64100.7,65799,66365.7,63400,14.50K,-2.8
"Aug 09, 2017",65946.95,67000,67000,65501,10.52K,-1.16
"Aug 08, 2017",66722.25,67900,68500,66601,11.98K,-1.62
"Aug 07, 2017",67821.2,67100,68182.3,66505.8,23.51K,2.2
"Aug 04, 2017",66361.15,68483.1,68500,65293.3,47.85K,-4.03
"Aug 03, 2017",69150.4,70600,70909.95,68902.25,14.61K,-2.34
"Aug 02, 2017",70810.4,69276.1,70999.8,69276.1,17.22K,2.04
