Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",4098.05,4066.4,4112.35,4066.4,15.95K,0.9
"Dec 28, 2017",4061.55,4049.9,4147,3971.5,32.05K,0.96
"Dec 27, 2017",4022.95,4029,4034.35,3971,7.31K,0.34
"Dec 26, 2017",4009.4,3990,4029,3983.1,14.67K,0.75
"Dec 22, 2017",3979.75,4049.4,4074.95,3968.9,16.91K,-1.97
"Dec 21, 2017",4059.55,4053,4120.55,4040.1,24.37K,0.45
"Dec 20, 2017",4041.55,4099,4165,4012.8,38.65K,-1.01
"Dec 19, 2017",4082.75,3944.8,4110,3934.8,72.85K,3.49
"Dec 18, 2017",3944.9,3871,3961,3871,26.80K,0.9
"Dec 15, 2017",3909.7,3880,3920,3880,21.26K,0.25
"Dec 14, 2017",3899.85,3845,3909,3841,30.26K,1.04
"Dec 13, 2017",3859.75,3811.05,3875,3811.05,23.24K,0.16
"Dec 12, 2017",3853.6,3863,3875,3814.75,21.80K,-0.38
"Dec 11, 2017",3868.4,3800,3890,3799.75,30.94K,2.34
"Dec 08, 2017",3779.8,3739.25,3817.7,3724,30.78K,1.33
"Dec 07, 2017",3730.25,3687,3749,3687,29.27K,0.28
"Dec 06, 2017",3719.85,3745.1,3780.95,3704.9,41.87K,-0.9
"Dec 05, 2017",3753.55,3733.15,3799,3718.1,36.21K,0.44
"Dec 04, 2017",3737,3725,3755,3659.95,14.86K,0.87
"Dec 01, 2017",3704.85,3690.05,3757.95,3690.05,14.34K,0.29
"Nov 30, 2017",3694.05,3708.65,3753.05,3626,14.90K,-1.27
"Nov 29, 2017",3741.4,3700,3750,3694.45,20.83K,1.03
"Nov 28, 2017",3703.25,3690.1,3710,3659.75,21.73K,0.36
"Nov 27, 2017",3690.1,3722.6,3741.75,3680,11.73K,-0.61
"Nov 24, 2017",3712.85,3682,3769,3680,33.73K,0.29
"Nov 23, 2017",3702.2,3675,3705,3664.05,10.57K,0.11
"Nov 22, 2017",3698.15,3702,3710.25,3665.75,10.37K,-0.12
"Nov 21, 2017",3702.7,3652,3710,3652,36.79K,1.07
"Nov 20, 2017",3663.35,3648.75,3674,3615.05,20.37K,0.4
"Nov 17, 2017",3648.75,3646.1,3666,3638,12.23K,0.01
"Nov 16, 2017",3648.55,3616.05,3659.95,3616.05,22.01K,0.52
"Nov 15, 2017",3629.7,3647.2,3649.9,3615,8.52K,-0.28
"Nov 14, 2017",3639.9,3640,3670,3615.85,16.73K,-0.12
"Nov 13, 2017",3644.25,3640.55,3700,3600,17.41K,0.1
"Nov 10, 2017",3640.55,3628.6,3789,3523.05,78.39K,-0.67
"Nov 09, 2017",3665.25,3626,3698.95,3626,17.82K,0.28
"Nov 08, 2017",3655,3582,3674.9,3582,39.87K,0.29
"Nov 07, 2017",3644.5,3515.1,3699,3515.1,90.98K,3.44
"Nov 06, 2017",3523.25,3564.95,3591.8,3513.25,13.03K,-0.95
"Nov 03, 2017",3557.1,3505.1,3570,3505.1,11.07K,0.66
"Nov 02, 2017",3533.85,3530,3560,3511,13.96K,0.04
"Nov 01, 2017",3532.4,3509,3542.1,3499,9.75K,0.95
"Oct 31, 2017",3499.25,3508.65,3539.8,3487.55,22.92K,-0.62
"Oct 30, 2017",3521.1,3525.7,3557.5,3500,12.21K,-0.13
"Oct 27, 2017",3525.7,3524,3552.95,3514,13.94K,0.21
"Oct 26, 2017",3518.3,3545,3594.9,3501,23.15K,-1.58
"Oct 25, 2017",3574.9,3550,3579.4,3460.7,24.75K,1.52
"Oct 24, 2017",3521.4,3518,3545,3491,7.62K,0.36
"Oct 23, 2017",3508.85,3550,3551,3491.25,18.65K,-1.19
"Oct 19, 2017",3550.95,3594.9,3594.9,3540,2.02K,-0.94
"Oct 18, 2017",3584.7,3569,3592.9,3551.9,10.05K,1.17
"Oct 17, 2017",3543.25,3612,3612,3535,17.71K,-1.58
"Oct 16, 2017",3600.25,3616.05,3616.05,3535.05,8.87K,0.21
"Oct 13, 2017",3592.8,3590,3600,3571.15,6.00K,0.36
"Oct 12, 2017",3579.85,3521.65,3590,3509,23.70K,2.09
"Oct 11, 2017",3506.55,3541.25,3553.95,3491.4,16.45K,-0.81
"Oct 10, 2017",3535.25,3540.05,3555.4,3509.85,23.28K,-0.06
"Oct 09, 2017",3537.4,3570,3587.95,3515.1,27.43K,-1.7
"Oct 06, 2017",3598.45,3621.85,3630,3560.2,22.25K,-0.16
"Oct 05, 2017",3604.15,3632,3637,3590,17.58K,-0.78
"Oct 04, 2017",3632.65,3591.05,3654.45,3591.05,26.14K,0.16
"Oct 03, 2017",3626.75,3750,3750,3602,37.34K,-0.22
"Sep 29, 2017",3634.75,3546.4,3649,3546.4,20.62K,1.15
