Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2017",858.15,854.5,863.75,851.4,1.25M,0.76
"Dec 28, 2017",851.7,849.85,856.35,840.6,980.28K,0.31
"Dec 27, 2017",849.05,856.4,860.2,842,735.30K,-0.67
"Dec 26, 2017",854.8,857,863.9,852.55,1.47M,-0.24
"Dec 22, 2017",856.85,859,868.6,853.9,1.38M,-0.19
"Dec 21, 2017",858.45,862.9,866.45,854.95,897.15K,-0.52
"Dec 20, 2017",862.95,869.35,872,861.3,1.11M,-0.62
"Dec 19, 2017",868.35,845,871,843.1,3.31M,3.36
"Dec 18, 2017",840.1,830,846.35,802,1.70M,0.87
"Dec 15, 2017",832.85,826.25,836,818.5,2.02M,2.03
"Dec 14, 2017",816.25,820,828,805.1,3.02M,-0.33
"Dec 13, 2017",818.95,821.5,844.25,811.85,3.13M,-0.42
"Dec 12, 2017",822.4,820.25,831.6,814.2,2.33M,0.22
"Dec 11, 2017",820.6,813,824.95,811,1.79M,1.19
"Dec 08, 2017",810.95,795.25,821.35,795.25,2.84M,1.29
"Dec 07, 2017",800.6,775,807,773.6,2.09M,3.49
"Dec 06, 2017",773.6,790.95,795.35,770,1.74M,-2.4
"Dec 05, 2017",792.6,808.75,810,786.6,1.14M,-1.49
"Dec 04, 2017",804.55,805.15,813.85,798,1.29M,-0.09
"Dec 01, 2017",805.25,821,825.7,798.5,1.56M,-1.67
"Nov 30, 2017",818.9,812,822.9,808.1,2.81M,0.1
"Nov 29, 2017",818.1,820,828.45,813,1.66M,0
"Nov 28, 2017",818.1,832,833,815,1.75M,-1.74
"Nov 27, 2017",832.6,838.9,838.9,825.3,3.54M,0.4
"Nov 24, 2017",829.3,806.95,831.8,796.75,2.74M,2.9
"Nov 23, 2017",805.9,815,820.5,794.45,1.69M,-0.89
"Nov 22, 2017",813.15,820,827,810.15,4.22M,-0.28
"Nov 21, 2017",815.45,789,819.45,788.25,4.97M,4.02
"Nov 20, 2017",783.95,791.1,793.4,778,1.24M,-0.3
"Nov 17, 2017",786.3,778.4,798,774.5,2.40M,2.34
"Nov 16, 2017",768.3,771.2,777.65,765.9,794.97K,-0.36
"Nov 15, 2017",771.05,745,778.5,745,1.51M,-0.42
"Nov 14, 2017",774.3,765,783.45,757.65,1.51M,1.2
"Nov 13, 2017",765.1,780,790.55,762.3,1.08M,-2.17
"Nov 10, 2017",782.05,769.15,791.9,766.6,3.23M,0.53
"Nov 09, 2017",777.9,740.2,779.7,740.2,5.22M,4.65
"Nov 08, 2017",743.3,757.55,761.45,738.95,2.99M,-1.39
"Nov 07, 2017",753.8,778,779.8,748.5,5.83M,-3.82
"Nov 06, 2017",783.7,725.7,824.65,725.7,21.82M,18.79
"Nov 03, 2017",659.75,664,668,652,2.42M,0.7
"Nov 02, 2017",655.15,635.05,661.8,635.05,1.68M,2.78
"Nov 01, 2017",637.45,640,643.15,634.5,966.89K,0.35
"Oct 31, 2017",635.25,624,639.5,621.3,1.88M,2.74
"Oct 30, 2017",618.3,589.2,622,589.2,1.38M,4.79
"Oct 27, 2017",590.05,586.1,592.1,583.6,1.20M,0.92
"Oct 26, 2017",584.65,587,598.55,582.1,1.71M,-1.03
"Oct 25, 2017",590.75,610,613.25,589.35,1.10M,-2.52
"Oct 24, 2017",606.05,604,611.45,600.1,538.19K,0.33
"Oct 23, 2017",604.05,601.5,607.95,594.9,930.44K,-0.48
"Oct 19, 2017",606.95,614,614.9,601,162.72K,-0.97
"Oct 18, 2017",612.9,625.8,626.7,611,789.93K,-2.05
"Oct 17, 2017",625.75,630.9,631.95,624,707.95K,-0.27
"Oct 16, 2017",627.45,622.05,631,622.05,730.73K,0.37
"Oct 13, 2017",625.15,625,633.5,621,1.65M,0.27
"Oct 12, 2017",623.45,615,626.5,607.85,2.29M,2.1
"Oct 11, 2017",610.6,619.35,623.7,607.6,1.17M,-0.85
"Oct 10, 2017",615.85,619.75,621.3,613.7,784.16K,-0.05
"Oct 09, 2017",616.15,620,630.4,612.55,2.47M,3.28
"Oct 06, 2017",596.6,599.95,604.95,594.9,911.16K,0.14
"Oct 05, 2017",595.75,602.9,603.75,594.3,656.93K,-0.86
"Oct 04, 2017",600.9,603.45,608.5,598.65,1.26M,0.14
"Oct 03, 2017",600.05,588,601.8,588,1.80M,2.65
"Sep 29, 2017",584.55,581.85,587.15,563.65,3.14M,1.55
"Sep 28, 2017",575.65,591,591,571,1.80M,-2.43
"Sep 27, 2017",590,602.3,603,586.05,1.07M,-0.38
"Sep 26, 2017",592.25,606.9,606.9,588.05,824.14K,-1.64
"Sep 25, 2017",602.15,603.7,611.45,584.8,1.00M,-0.02
"Sep 22, 2017",602.3,617.55,617.55,600,982.60K,-2.63
"Sep 21, 2017",618.55,631.6,638.2,615.9,1.39M,-1.94
"Sep 20, 2017",630.8,640,645.9,628.35,1.31M,-1.68
"Sep 19, 2017",641.55,654.05,654.2,640,1.23M,-0.7
"Sep 18, 2017",646.1,635.1,650.5,627.95,1.41M,2.21
"Sep 15, 2017",632.15,629.9,633.2,622.65,1.07M,-0.22
"Sep 14, 2017",633.55,630.5,636.95,628.35,703.12K,0.52
"Sep 13, 2017",630.3,638,648.3,627.7,1.35M,-1.19
"Sep 12, 2017",637.9,634.9,640.75,632.25,1.10M,0.78
"Sep 11, 2017",632.95,637,638.6,631.9,738.30K,-0.07
"Sep 08, 2017",633.4,645,646,631,1.69M,-0.57
"Sep 07, 2017",637,641.9,645.2,629.25,1.51M,-0.59
"Sep 06, 2017",640.8,636.9,651,635.05,3.29M,0.31
"Sep 05, 2017",638.85,613,642,609.7,3.64M,4.34
"Sep 04, 2017",612.25,610,620,606.5,539.33K,-0.2
"Sep 01, 2017",613.5,618.9,619.95,610.2,517.61K,-0.58
"Aug 31, 2017",617.1,610,621,607.95,1.82M,0.9
"Aug 30, 2017",611.6,608.45,614.85,604,977.96K,1.86
"Aug 29, 2017",600.45,610,613.8,598.65,1.08M,-1.93
"Aug 28, 2017",612.25,603.7,614.85,600.05,1.28M,0.9
"Aug 24, 2017",606.8,609.05,614.25,603.5,1.12M,-0.12
"Aug 23, 2017",607.5,619.95,620.2,602.2,2.03M,-1.24
"Aug 22, 2017",615.1,617.1,627.25,610.1,1.37M,-0.06
"Aug 21, 2017",615.5,623.65,630,613,1.01M,-1.28
"Aug 18, 2017",623.5,621.5,630.4,616.6,1.40M,0.32
"Aug 17, 2017",621.5,629.6,631.55,619.2,938.04K,-0.99
"Aug 16, 2017",627.7,633.5,638.3,618.85,2.08M,-0.43
"Aug 14, 2017",630.4,611,636.65,611,2.95M,3.86
"Aug 11, 2017",607,604,617.5,601.9,1.48M,-0.55
"Aug 10, 2017",610.35,616.9,618.85,601.6,1.38M,-1.42
"Aug 09, 2017",619.15,611,627.4,606,4.44M,1.6
"Aug 08, 2017",609.4,607.25,615.8,604,1.89M,-0.89
"Aug 07, 2017",614.85,608,618.4,602.1,2.47M,0.6
"Aug 04, 2017",611.2,565.05,616.35,564.8,14.94M,9.52
"Aug 03, 2017",558.05,555.8,565.4,546.65,4.33M,0.95
"Aug 02, 2017",552.8,541.9,555.55,538.5,1.47M,2.49
"Aug 01, 2017",539.35,546.5,549.9,538.1,1.35M,-0.9
"Jul 31, 2017",544.25,533.8,546.6,528.85,1.11M,2.08
"Jul 28, 2017",533.15,527,535,525.85,678.35K,1.08
"Jul 27, 2017",527.45,537.9,539.7,524.4,1.80M,-1.94
"Jul 26, 2017",537.9,535.2,541,533.2,817.43K,0.33
"Jul 25, 2017",536.15,540,542.7,534.55,722.28K,-0.37
"Jul 24, 2017",538.15,545.3,546.95,535.6,1.12M,-0.93
"Jul 21, 2017",543.2,531.7,545.5,530.3,1.15M,2.53
"Jul 20, 2017",529.8,531,535.65,528.4,590.90K,-0.61
"Jul 19, 2017",533.05,528.8,535.15,527.5,841.36K,1
"Jul 18, 2017",527.75,530,536.8,526.7,1.39M,-1.12
"Jul 17, 2017",533.75,535.5,538.75,531.25,1.31M,0.02
"Jul 14, 2017",533.65,538,541.9,532.1,1.13M,-0.09
"Jul 13, 2017",534.15,525.4,537,525,1.06M,0.63
"Jul 12, 2017",530.8,532,534.85,528.25,855.13K,0.4
"Jul 11, 2017",528.7,537,537.9,526.3,960.33K,-1.5
"Jul 10, 2017",536.75,540.05,540.05,523.2,511.61K,0.8
"Jul 07, 2017",532.5,533.95,538.9,529,1.72M,-0.27
"Jul 06, 2017",533.95,532,536.5,528.1,1.43M,0.4
"Jul 05, 2017",531.8,539.25,540,530.2,894.63K,-0.7
"Jul 04, 2017",535.55,533.5,539,526,1.62M,0.59
"Jul 03, 2017",532.4,536.05,537,527.5,1.30M,1.52
"Jun 30, 2017",524.45,508.95,525.6,503.25,1.16M,2.91
"Jun 29, 2017",509.6,510,518.6,507.7,1.91M,0.45
"Jun 28, 2017",507.3,516.4,516.6,500.6,1.55M,-1.69
"Jun 27, 2017",516,510.1,520.2,506.5,1.39M,0.53
"Jun 23, 2017",513.3,520.85,521,507.65,1.39M,-1.27
"Jun 22, 2017",519.9,523,528.8,516.45,1.01M,-0.61
"Jun 21, 2017",523.1,526.4,529.85,518.65,1.36M,-0.68
"Jun 20, 2017",526.7,514,530.85,512.05,2.30M,2.23
"Jun 19, 2017",515.2,515.25,518,511.2,782.35K,-0.23
"Jun 16, 2017",516.4,516,520.8,511.8,667.20K,-0.24
"Jun 15, 2017",517.65,520,524,516.2,855.13K,-0.81
"Jun 14, 2017",521.9,520.5,524.1,514,1.17M,0.26
"Jun 13, 2017",520.55,516.1,524.8,511.4,2.38M,0.92
"Jun 12, 2017",515.8,541.9,541.9,513.3,4.55M,-1.84
"Jun 09, 2017",525.45,529.95,529.95,521.95,1.16M,-0.69
"Jun 08, 2017",529.1,535,536.2,524.1,1.88M,-1.32
"Jun 07, 2017",536.2,528,547,528,4.87M,1.72
"Jun 06, 2017",527.15,547,547.1,521.4,9.84M,-4.48
"Jun 05, 2017",551.85,511,569.2,505,27.10M,16.98
"Jun 02, 2017",471.75,472.7,474.6,467,596.66K,0.22
"Jun 01, 2017",470.7,475.95,476.45,465.3,715.07K,-0.88
"May 31, 2017",474.9,469.4,480,467.55,1.37M,1.09
"May 30, 2017",469.8,470,471,462.45,1.50M,-0.18
"May 29, 2017",470.65,471.8,494.15,469,2.31M,-0.59
"May 26, 2017",473.45,464.8,477.95,462.9,1.59M,2.06
"May 25, 2017",463.9,471.1,471.85,461,974.15K,-1.13
"May 24, 2017",469.2,474.25,478.95,460.1,1.48M,-1.91
"May 23, 2017",478.35,478.65,485.6,472.95,1.65M,-0.63
"May 22, 2017",481.4,474,483.75,472.2,1.73M,2.18
"May 19, 2017",471.15,475,479.5,460.35,1.02M,-0.11
"May 18, 2017",471.65,479,482.6,470.05,811.22K,-2.1
"May 17, 2017",481.75,490,490.1,477.3,859.05K,-1.34
"May 16, 2017",488.3,486,491,480.8,1.31M,0.96
"May 15, 2017",483.65,489.65,490,472.4,3.90M,-2.29
"May 12, 2017",495,504.7,506.15,491.2,1.38M,-1.23
"May 11, 2017",501.15,482.15,503,478.1,1.95M,3.89
"May 10, 2017",482.4,468.5,484,465.35,1.73M,3.26
"May 09, 2017",467.15,481.9,485,464.3,1.88M,-3.59
"May 08, 2017",484.55,490.1,495.5,482.95,635.60K,-1.35
