"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BHEL","EQ","01-Jan-2018","         92.50","         92.65","         96.40","         92.60","         95.55","         95.15","         94.82","   14221778","          1348509214.60","      44542"
"BHEL","EQ","02-Jan-2018","         95.15","         96.75","         98.70","         94.20","         98.70","         98.20","         96.89","   23565569","          2283302847.40","      73323"
"BHEL","EQ","03-Jan-2018","         98.20","         99.20","         99.70","         97.80","         98.55","         98.55","         98.70","   13637110","          1345963135.35","      42648"
"BHEL","EQ","04-Jan-2018","         98.55","         98.85","        101.00","         98.15","        100.80","        100.75","         99.90","   14450624","          1443679008.55","      44924"
"BHEL","EQ","05-Jan-2018","        100.75","        101.05","        103.50","        101.05","        102.00","        102.35","        102.59","   19274135","          1977314885.15","      62803"
"BHEL","EQ","08-Jan-2018","        102.35","        103.15","        103.35","        101.50","        101.95","        101.95","        102.36","    5822499","           596005784.30","      26248"
"BHEL","EQ","09-Jan-2018","        101.95","        102.25","        102.45","         99.30","        101.15","        101.10","        100.78","    6319831","           636906254.80","      26023"
"BHEL","EQ","10-Jan-2018","        101.10","        101.10","        104.95","        100.60","        103.75","        103.80","        103.26","   15393638","          1589585247.80","      56170"
"BHEL","EQ","11-Jan-2018","        103.80","        103.70","        104.10","        102.55","        103.55","        103.50","        103.42","    5568670","           575930267.20","      25680"
"BHEL","EQ","12-Jan-2018","        103.50","        104.00","        105.60","        101.60","        102.20","        102.70","        103.72","   11196848","          1161291767.00","      42561"
"BHEL","EQ","15-Jan-2018","        102.70","        103.00","        104.20","        101.05","        101.45","        101.45","        102.60","    5305858","           544354889.30","      23240"
"BHEL","EQ","16-Jan-2018","        101.45","        101.60","        102.20","         97.70","         99.00","         99.00","         99.21","    9669560","           959351566.30","      36179"
"BHEL","EQ","17-Jan-2018","         99.00","         98.30","        100.30","         95.60","         99.90","         99.90","         98.29","   12263755","          1205424464.55","      39383"
"BHEL","EQ","18-Jan-2018","         99.90","        100.30","        101.05","         95.85","         97.55","         97.45","         98.11","    9461595","           928269600.40","      31201"
"BHEL","EQ","19-Jan-2018","         97.45","         97.00","         98.40","         96.20","         97.40","         97.55","         97.35","    4371119","           425528955.40","      18676"
