"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BRITANNIA","EQ","01-Jan-2018","       4709.25","       4750.00","       4774.00","       4715.20","       4745.00","       4738.25","       4747.51","      56160","           266620216.25","       4715"
"BRITANNIA","EQ","02-Jan-2018","       4738.25","       4738.25","       4742.25","       4644.00","       4653.00","       4656.05","       4677.05","      88399","           413446780.60","      14763"
"BRITANNIA","EQ","03-Jan-2018","       4656.05","       4659.00","       4709.95","       4656.55","       4670.00","       4680.95","       4687.28","      83023","           389152365.40","      10677"
"BRITANNIA","EQ","04-Jan-2018","       4680.95","       4659.00","       4688.90","       4610.15","       4637.00","       4626.40","       4640.78","     167350","           776635088.85","      17375"
"BRITANNIA","EQ","05-Jan-2018","       4626.40","       4662.00","       4679.50","       4614.35","       4626.00","       4644.10","       4648.66","     132058","           613893184.50","      23798"
"BRITANNIA","EQ","08-Jan-2018","       4644.10","       4660.00","       4711.00","       4627.65","       4690.05","       4693.75","       4660.54","      88415","           412061268.55","      14180"
"BRITANNIA","EQ","09-Jan-2018","       4693.75","       4700.00","       4713.35","       4624.85","       4639.10","       4641.95","       4647.88","     122140","           567691551.05","      18819"
"BRITANNIA","EQ","10-Jan-2018","       4641.95","       4656.85","       4709.00","       4631.50","       4670.95","       4674.75","       4658.98","     194379","           905607266.25","      12157"
"BRITANNIA","EQ","11-Jan-2018","       4674.75","       4670.00","       4749.00","       4632.00","       4735.00","       4721.55","       4719.32","     111728","           527280157.50","      17935"
"BRITANNIA","EQ","12-Jan-2018","       4721.55","       4735.00","       4769.00","       4661.35","       4705.00","       4708.30","       4723.06","     128637","           607560606.45","      16398"
"BRITANNIA","EQ","15-Jan-2018","       4708.30","       4708.30","       4786.00","       4705.00","       4722.40","       4719.85","       4744.16","      88732","           420958821.50","      18594"
"BRITANNIA","EQ","16-Jan-2018","       4719.85","       4724.00","       4773.00","       4601.00","       4690.00","       4677.35","       4672.96","     168099","           785519980.45","      15898"
"BRITANNIA","EQ","17-Jan-2018","       4677.35","       4680.00","       4753.00","       4640.05","       4729.00","       4749.80","       4720.19","     102842","           485433457.20","      15254"
"BRITANNIA","EQ","18-Jan-2018","       4749.80","       4759.70","       4778.80","       4606.00","       4634.00","       4631.50","       4718.91","     177923","           839603453.25","      20076"
"BRITANNIA","EQ","19-Jan-2018","       4631.50","       4665.00","       4692.80","       4630.00","       4683.00","       4684.45","       4671.57","      65593","           306422050.65","       5638"
"BRITANNIA","EQ","22-Jan-2018","       4684.45","       4675.00","       4752.00","       4670.00","       4705.30","       4707.35","       4706.21","      80901","           380736967.35","       7408"
"BRITANNIA","EQ","23-Jan-2018","       4707.35","       4685.00","       4760.55","       4649.25","       4727.95","       4736.45","       4736.72","     100355","           475353095.05","      11165"
"BRITANNIA","EQ","24-Jan-2018","       4736.45","       4736.40","       4755.15","       4681.05","       4702.60","       4719.25","       4711.41","      80067","           377228584.15","       6374"
"BRITANNIA","EQ","25-Jan-2018","       4719.25","       4719.20","       4719.20","       4601.00","       4606.20","       4625.60","       4631.44","     398317","          1844782711.80","      23355"
"BRITANNIA","EQ","29-Jan-2018","       4625.60","       4640.00","       4710.00","       4607.00","       4672.00","       4692.10","       4656.63","     110221","           513258160.15","       9456"
"BRITANNIA","EQ","30-Jan-2018","       4692.10","       4669.00","       4740.05","       4640.20","       4695.50","       4705.60","       4710.77","     129166","           608471233.90","      13897"
"BRITANNIA","EQ","31-Jan-2018","       4705.60","       4690.00","       4712.40","       4647.20","       4666.65","       4684.15","       4673.10","      71887","           335935234.25","       7837"
"BRITANNIA","EQ","01-Feb-2018","       4684.15","       4684.25","       4761.70","       4655.85","       4721.00","       4740.50","       4726.39","     148844","           703495241.65","      12504"
"BRITANNIA","EQ","02-Feb-2018","       4740.50","       4675.50","       4740.00","       4577.00","       4730.10","       4726.45","       4704.61","     187184","           880627267.45","      11858"
"BRITANNIA","EQ","05-Feb-2018","       4726.45","       4699.00","       4699.00","       4560.00","       4610.00","       4616.70","       4620.24","     177420","           819723303.60","      14746"
"BRITANNIA","EQ","06-Feb-2018","       4616.70","       4500.00","       4620.50","       4400.00","       4520.95","       4530.45","       4486.89","     137134","           615305143.70","      16034"
"BRITANNIA","EQ","07-Feb-2018","       4530.45","       4614.90","       4625.00","       4493.05","       4526.30","       4550.45","       4534.19","     128288","           581681772.15","      13129"
"BRITANNIA","EQ","08-Feb-2018","       4550.45","       4549.85","       4654.00","       4515.50","       4650.00","       4628.00","       4613.36","      99666","           459794715.60","      16589"
"BRITANNIA","EQ","09-Feb-2018","       4628.00","       4526.05","       4679.80","       4526.05","       4656.55","       4641.15","       4625.22","     120741","           558453773.40","      15355"
"BRITANNIA","EQ","12-Feb-2018","       4641.15","       4670.00","       4790.00","       4670.00","       4770.05","       4772.50","       4766.63","     214757","          1023666394.55","      20394"
"BRITANNIA","EQ","14-Feb-2018","       4772.50","       4865.00","       4875.80","       4746.35","       4760.00","       4764.15","       4785.09","     349962","          1674598463.40","      20625"
"BRITANNIA","EQ","15-Feb-2018","       4764.15","       4787.80","       4816.35","       4701.55","       4755.15","       4755.75","       4751.14","      82826","           393518021.80","      12754"
"BRITANNIA","EQ","16-Feb-2018","       4755.75","       4801.00","       4810.00","       4736.00","       4775.00","       4781.95","       4771.14","      82784","           394973671.50","       6572"
"BRITANNIA","EQ","19-Feb-2018","       4781.95","       4781.50","       4781.50","       4695.90","       4710.05","       4733.30","       4723.32","      44981","           212459777.05","       5800"
"BRITANNIA","EQ","20-Feb-2018","       4733.30","       4728.00","       4780.00","       4725.00","       4737.00","       4734.10","       4744.90","     132678","           629544320.75","      14155"
"BRITANNIA","EQ","21-Feb-2018","       4734.10","       4775.00","       4786.90","       4739.60","       4764.50","       4769.75","       4757.87","     123451","           587364180.35","      11501"
"BRITANNIA","EQ","22-Feb-2018","       4769.75","       4774.00","       4875.00","       4751.35","       4872.85","       4855.85","       4837.28","     212453","          1027695457.90","      19167"
"BRITANNIA","EQ","23-Feb-2018","       4855.85","       4900.00","       4979.00","       4875.10","       4965.00","       4961.90","       4931.03","     152705","           752993223.05","      11520"
"BRITANNIA","EQ","26-Feb-2018","       4961.90","       4965.60","       4998.00","       4944.05","       4953.85","       4964.75","       4984.60","     112351","           560024746.05","      15117"
"BRITANNIA","EQ","27-Feb-2018","       4964.75","       4975.00","       5065.80","       4910.50","       4953.90","       4952.25","       4991.94","     213517","          1065863090.90","      14729"
"BRITANNIA","EQ","28-Feb-2018","       4952.25","       4930.00","       5009.30","       4897.30","       4976.90","       4994.25","       4972.32","      90480","           449895333.05","      13916"
"BRITANNIA","EQ","01-Mar-2018","       4994.25","       4985.00","       4999.95","       4920.00","       4925.85","       4943.85","       4955.33","      52535","           260328211.10","       5014"
"BRITANNIA","EQ","05-Mar-2018","       4943.85","       4912.00","       4939.45","       4891.40","       4900.00","       4902.45","       4903.76","      78734","           386092718.75","      16802"
"BRITANNIA","EQ","06-Mar-2018","       4902.45","       4895.00","       4934.90","       4787.05","       4800.00","       4825.20","       4887.38","      78178","           382085731.65","      12914"
"BRITANNIA","EQ","07-Mar-2018","       4825.20","       4825.00","       4915.00","       4780.00","       4867.65","       4884.70","       4885.61","     126922","           620091455.85","      11363"
