"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"COLPAL","EQ","01-Jan-2018","       1100.00","       1095.50","       1122.95","       1094.65","       1102.75","       1102.60","       1109.09","     334274","           370739597.50","       6636"
"COLPAL","EQ","02-Jan-2018","       1102.60","       1103.00","       1109.80","       1084.85","       1100.00","       1100.75","       1095.06","     322121","           352742055.10","       7256"
"COLPAL","EQ","03-Jan-2018","       1100.75","       1100.75","       1111.65","       1092.50","       1099.85","       1098.35","       1102.38","     351927","           387956353.50","      11639"
"COLPAL","EQ","04-Jan-2018","       1098.35","       1106.00","       1106.00","       1088.90","       1091.10","       1094.35","       1095.30","     104294","           114233490.95","       6307"
"COLPAL","EQ","05-Jan-2018","       1094.35","       1090.00","       1109.00","       1089.55","       1100.00","       1100.70","       1103.01","     311773","           343888215.00","      12604"
"COLPAL","EQ","08-Jan-2018","       1100.70","       1110.00","       1121.00","       1106.55","       1119.00","       1117.70","       1116.72","     284048","           317203476.25","      14593"
"COLPAL","EQ","09-Jan-2018","       1117.70","       1119.35","       1124.00","       1108.50","       1118.20","       1120.60","       1117.29","     185544","           207306886.60","       7514"
"COLPAL","EQ","10-Jan-2018","       1120.60","       1118.00","       1125.10","       1113.30","       1117.10","       1118.25","       1119.13","     159804","           178841670.05","       8144"
"COLPAL","EQ","11-Jan-2018","       1118.25","       1121.50","       1133.00","       1117.00","       1127.00","       1125.05","       1128.05","     296202","           334130996.40","      10735"
"COLPAL","EQ","12-Jan-2018","       1125.05","       1123.95","       1144.95","       1123.55","       1139.15","       1139.60","       1137.86","     304274","           346221667.55","      13315"
"COLPAL","EQ","15-Jan-2018","       1139.60","       1133.50","       1145.00","       1133.50","       1138.00","       1140.70","       1139.58","     172721","           196829873.20","       5375"
"COLPAL","EQ","16-Jan-2018","       1140.70","       1135.05","       1148.95","       1127.00","       1136.00","       1131.15","       1139.31","     292396","           333130129.60","       6499"
"COLPAL","EQ","17-Jan-2018","       1131.15","       1132.95","       1145.00","       1128.00","       1143.85","       1141.85","       1137.77","     216010","           245770204.00","      14332"
"COLPAL","EQ","18-Jan-2018","       1141.85","       1146.00","       1165.25","       1142.40","       1158.40","       1159.20","       1154.79","     353631","           408368297.75","      11104"
"COLPAL","EQ","19-Jan-2018","       1159.20","       1160.00","       1164.70","       1145.60","       1150.00","       1150.95","       1153.83","     135295","           156107759.05","       4476"
"COLPAL","EQ","22-Jan-2018","       1150.95","       1150.00","       1174.00","       1146.95","       1167.10","       1172.55","       1164.19","     167067","           194498464.55","       6031"
"COLPAL","EQ","23-Jan-2018","       1172.55","       1172.55","       1172.55","       1146.30","       1156.70","       1157.15","       1156.49","     256965","           297177234.60","       7054"
"COLPAL","EQ","24-Jan-2018","       1157.15","       1150.00","       1164.45","       1140.00","       1150.00","       1154.30","       1157.29","     313907","           363281311.30","       4118"
