"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"DABUR","EQ","01-Jan-2018","        349.70","        351.00","        351.85","        347.70","        349.95","        349.00","        349.55","     272884","            95387282.15","       5356"
"DABUR","EQ","02-Jan-2018","        349.00","        351.00","        352.00","        346.45","        348.60","        349.05","        349.48","     595436","           208095060.20","      15789"
"DABUR","EQ","03-Jan-2018","        349.05","        350.00","        360.90","        349.25","        354.80","        354.65","        356.98","    1819175","           649402297.25","      30019"
"DABUR","EQ","04-Jan-2018","        354.65","        354.15","        356.00","        353.65","        354.85","        355.00","        354.88","    1107800","           393137676.45","      14046"
"DABUR","EQ","05-Jan-2018","        355.00","        356.00","        360.00","        352.10","        359.45","        358.20","        354.99","    1200209","           426061317.40","      17248"
"DABUR","EQ","08-Jan-2018","        358.20","        358.20","        362.25","        358.00","        360.10","        361.35","        360.33","    1129672","           407051926.35","      18547"
"DABUR","EQ","09-Jan-2018","        361.35","        361.00","        361.05","        354.65","        359.40","        359.35","        359.53","     758032","           272532105.55","       7214"
"DABUR","EQ","10-Jan-2018","        359.35","        359.95","        362.35","        356.10","        356.50","        357.80","        360.00","     894740","           322107053.00","      19913"
"DABUR","EQ","11-Jan-2018","        357.80","        357.45","        361.25","        356.00","        358.40","        359.90","        358.45","     557697","           199905815.90","      10029"
"DABUR","EQ","12-Jan-2018","        359.90","        359.80","        360.90","        356.65","        358.20","        358.15","        358.48","     843519","           302387561.15","      17741"
"DABUR","EQ","15-Jan-2018","        358.15","        360.30","        363.85","        359.00","        361.00","        361.25","        361.13","    1334475","           481925095.65","       8296"
"DABUR","EQ","16-Jan-2018","        361.25","        363.00","        363.00","        355.20","        357.10","        358.40","        358.36","     919047","           329352856.35","      16683"
"DABUR","EQ","17-Jan-2018","        358.40","        355.55","        361.95","        352.00","        361.00","        358.90","        356.23","    1599096","           569639487.50","      34102"
"DABUR","EQ","18-Jan-2018","        358.90","        365.00","        368.60","        361.35","        364.80","        364.65","        365.06","    1240349","           452799826.35","      22434"
"DABUR","EQ","19-Jan-2018","        364.65","        362.30","        367.35","        358.70","        367.00","        363.80","        362.77","     565302","           205073550.55","       7998"
"DABUR","EQ","22-Jan-2018","        363.80","        365.15","        368.45","        361.30","        365.60","        363.10","        363.58","     939881","           341718808.60","      12363"
"DABUR","EQ","23-Jan-2018","        363.10","        364.40","        367.25","        360.35","        363.70","        364.00","        363.98","    1287281","           468546031.95","      28485"
"DABUR","EQ","24-Jan-2018","        364.00","        363.80","        365.80","        358.50","        359.00","        359.20","        360.49","    1374753","           495583512.45","      12057"
"DABUR","EQ","25-Jan-2018","        359.20","        359.10","        364.50","        352.00","        354.00","        353.75","        358.29","     991272","           355158769.15","      12975"
"DABUR","EQ","29-Jan-2018","        353.75","        354.35","        361.00","        354.35","        358.20","        359.70","        358.03","    1118359","           400408069.50","      38509"
"DABUR","EQ","30-Jan-2018","        359.70","        359.50","        362.00","        356.60","        359.90","        358.60","        358.63","     774775","           277856351.95","      12464"
"DABUR","EQ","31-Jan-2018","        358.60","        359.35","        360.80","        346.65","        356.50","        355.60","        353.98","    4361853","          1544028766.00","      38315"
"DABUR","EQ","01-Feb-2018","        355.60","        357.35","        358.85","        348.50","        350.00","        349.70","        353.66","    2438075","           862252820.90","      36010"
"DABUR","EQ","02-Feb-2018","        349.70","        348.00","        353.85","        340.20","        344.45","        344.45","        346.35","    1350425","           467716767.40","      26793"
"DABUR","EQ","05-Feb-2018","        344.45","        348.20","        349.00","        337.10","        339.10","        339.10","        342.11","    1270434","           434628908.55","      31044"
"DABUR","EQ","06-Feb-2018","        339.10","        330.60","        341.65","        326.00","        338.25","        339.25","        336.19","    1948962","           655221013.70","      29494"
"DABUR","EQ","07-Feb-2018","        339.25","        342.15","        347.00","        337.05","        338.35","        338.35","        341.09","     835895","           285113199.90","      12820"
"DABUR","EQ","08-Feb-2018","        338.35","        339.50","        342.50","        337.20","        340.55","        340.30","        340.14","    1463375","           497753333.75","      18834"
"DABUR","EQ","09-Feb-2018","        340.30","        337.50","        343.45","        336.00","        340.75","        340.55","        339.51","     744243","           252677964.55","      14807"
"DABUR","EQ","12-Feb-2018","        340.55","        344.85","        346.50","        340.90","        344.60","        344.75","        344.46","     919718","           316803912.75","      15332"
"DABUR","EQ","14-Feb-2018","        344.75","        344.50","        347.60","        339.55","        339.80","        340.75","        343.03","     825559","           283188002.95","      19090"
"DABUR","EQ","15-Feb-2018","        340.75","        342.55","        344.65","        339.00","        341.30","        339.60","        341.44","     366437","           125117924.15","       7277"
"DABUR","EQ","16-Feb-2018","        339.60","        343.40","        344.75","        341.40","        341.90","        342.75","        343.09","     871481","           298997415.65","      17951"
"DABUR","EQ","19-Feb-2018","        342.75","        342.90","        344.00","        338.60","        339.50","        339.35","        340.32","     515046","           175279259.50","       7829"
"DABUR","EQ","20-Feb-2018","        339.35","        339.25","        345.00","        339.25","        339.95","        340.70","        341.74","     890534","           304327896.35","      14165"
"DABUR","EQ","21-Feb-2018","        340.70","        341.70","        343.10","        333.30","        336.45","        334.50","        334.83","    1312888","           439593360.20","      11291"
"DABUR","EQ","22-Feb-2018","        334.50","        335.75","        335.80","        326.30","        327.30","        327.10","        328.55","    2278159","           748497023.85","      20829"
"DABUR","EQ","23-Feb-2018","        327.10","        329.80","        334.40","        324.60","        333.00","        330.60","        327.25","    2071180","           677783821.05","      27883"
"DABUR","EQ","26-Feb-2018","        330.60","        335.00","        337.40","        331.15","        331.75","        331.75","        333.34","     778390","           259465014.90","       7698"
"DABUR","EQ","27-Feb-2018","        331.75","        332.05","        334.20","        326.35","        327.95","        328.10","        330.29","     698699","           230774188.95","      11435"
"DABUR","EQ","28-Feb-2018","        328.10","        328.05","        328.05","        323.65","        325.00","        325.05","        325.47","    2526442","           822289775.05","      23286"
"DABUR","EQ","01-Mar-2018","        325.05","        326.40","        327.55","        323.75","        326.20","        325.20","        325.74","     818541","           266632179.90","      12083"
"DABUR","EQ","05-Mar-2018","        325.20","        326.00","        327.20","        322.10","        325.00","        325.00","        325.23","    5281481","          1717715051.60","      21159"
"DABUR","EQ","06-Mar-2018","        325.00","        326.35","        329.60","        321.00","        321.60","        322.70","        326.20","     678537","           221339102.85","      11441"
"DABUR","EQ","07-Mar-2018","        322.70","        321.20","        326.80","        321.10","        323.70","        323.40","        324.88","    2118798","           688349732.90","      14674"
"DABUR","EQ","08-Mar-2018","        323.40","        325.30","        328.90","        318.90","        327.05","        325.05","        324.89","   10405395","          3380587620.25","      24754"
"DABUR","EQ","09-Mar-2018","        325.05","        328.60","        334.90","        325.05","        329.55","        327.25","        331.20","    1796651","           595050956.40","      23280"
"DABUR","EQ","12-Mar-2018","        327.25","        330.05","        333.60","        327.15","        327.90","        327.75","        329.10","    1508106","           496323615.80","      16269"
"DABUR","EQ","13-Mar-2018","        327.75","        327.75","        333.05","        324.35","        325.60","        325.15","        326.42","    2618470","           854709602.55","      21323"
"DABUR","EQ","14-Mar-2018","        325.15","        325.00","        326.90","        323.00","        325.00","        325.00","        324.99","    2212159","           718927943.45","      17401"
"DABUR","EQ","15-Mar-2018","        325.00","        325.10","        327.65","        324.50","        325.00","        325.05","        325.23","    2053015","           667701701.80","      16636"
"DABUR","EQ","16-Mar-2018","        325.05","        325.05","        326.45","        320.45","        322.75","        321.25","        323.17","    2715500","           877570366.15","      57234"
"DABUR","EQ","19-Mar-2018","        321.25","        321.55","        325.80","        318.05","        318.95","        319.70","        320.78","    1008579","           323531533.50","      16178"
"DABUR","EQ","20-Mar-2018","        319.70","        319.00","        321.85","        314.65","        318.50","        319.35","        318.07","    2312806","           735623280.85","      48745"
"DABUR","EQ","21-Mar-2018","        319.35","        320.00","        326.40","        317.70","        321.60","        322.45","        322.83","    1446774","           467059859.10","      21842"
"DABUR","EQ","22-Mar-2018","        322.45","        320.80","        324.00","        315.25","        318.05","        316.95","        318.67","    2546884","           811627059.90","      29761"
"DABUR","EQ","23-Mar-2018","        316.95","        312.85","        320.85","        311.95","        317.90","        318.20","        317.96","    2284582","           726409357.45","      48795"
"DABUR","EQ","26-Mar-2018","        318.20","        319.80","        321.10","        314.80","        315.95","        315.55","        316.10","    2439303","           771072861.00","      30895"
"DABUR","EQ","27-Mar-2018","        315.55","        317.10","        327.50","        317.10","        324.15","        324.85","        324.62","    2876080","           933622327.05","      30891"
"DABUR","EQ","28-Mar-2018","        324.85","        323.70","        334.60","        322.70","        325.95","        328.40","        329.67","    6429642","          2119631337.50","      50904"
"DABUR","EQ","02-Apr-2018","        328.40","        329.00","        337.80","        326.20","        335.70","        335.90","        333.51","    1249566","           416745709.90","      39150"
"DABUR","EQ","03-Apr-2018","        335.90","        333.95","        339.15","        333.65","        337.50","        337.70","        337.02","     856565","           288675411.60","      23674"
"DABUR","EQ","04-Apr-2018","        337.70","        338.00","        341.50","        334.00","        335.00","        335.50","        338.94","    1407850","           477175885.90","      38528"
"DABUR","EQ","05-Apr-2018","        335.50","        337.25","        339.15","        335.45","        337.70","        336.90","        336.87","     560831","           188924380.50","      17749"
"DABUR","EQ","06-Apr-2018","        336.90","        338.00","        344.00","        336.40","        341.75","        342.85","        342.62","    1278796","           438139168.80","      31383"
"DABUR","EQ","09-Apr-2018","        342.85","        345.00","        345.90","        340.65","        341.75","        342.20","        342.64","    1204038","           412548676.95","      21083"
"DABUR","EQ","10-Apr-2018","        342.20","        344.75","        344.75","        335.50","        336.60","        337.05","        338.35","     768086","           259879314.65","      16739"
"DABUR","EQ","11-Apr-2018","        337.05","        337.05","        345.40","        336.25","        345.00","        344.40","        342.79","    1244627","           426650989.25","      23604"
"DABUR","EQ","12-Apr-2018","        344.40","        344.95","        347.00","        342.50","        344.95","        345.00","        345.43","     763270","           263654154.85","      24218"
"DABUR","EQ","13-Apr-2018","        345.00","        345.20","        346.90","        339.45","        341.70","        340.45","        342.68","     701414","           240363246.30","      10353"
"DABUR","EQ","16-Apr-2018","        340.45","        340.70","        344.45","        339.70","        344.00","        343.50","        342.57","     669176","           229238911.80","      12002"
"DABUR","EQ","17-Apr-2018","        343.50","        345.00","        347.65","        341.60","        344.00","        343.75","        343.56","     806533","           277093890.60","      27543"
"DABUR","EQ","18-Apr-2018","        343.75","        347.55","        357.35","        347.50","        356.50","        355.85","        353.36","    2552706","           902034386.00","      61183"
"DABUR","EQ","19-Apr-2018","        355.85","        359.00","        362.00","        356.10","        357.05","        358.35","        359.09","    2551633","           916271984.00","      44220"
"DABUR","EQ","20-Apr-2018","        358.35","        356.50","        359.50","        353.05","        354.15","        355.15","        354.89","     550428","           195341539.90","      11907"
"DABUR","EQ","23-Apr-2018","        355.15","        354.80","        363.35","        353.75","        358.00","        357.60","        358.41","     993987","           356259614.85","      25793"
"DABUR","EQ","24-Apr-2018","        357.60","        359.65","        362.80","        355.65","        357.10","        356.90","        358.72","     740202","           265521778.60","      17816"
"DABUR","EQ","25-Apr-2018","        356.90","        358.00","        360.70","        356.10","        359.50","        358.90","        358.12","     613774","           219807519.00","      16998"
"DABUR","EQ","26-Apr-2018","        358.90","        361.00","        364.00","        355.00","        358.20","        357.10","        359.92","    1573999","           566509619.70","      27920"
"DABUR","EQ","27-Apr-2018","        357.10","        360.00","        368.90","        358.50","        367.00","        366.45","        365.02","    1367950","           499335679.25","      16327"
