"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"GODREJCP","EQ","01-Jan-2018","        999.45","       1007.95","       1007.95","        982.60","        988.85","        986.25","        997.10","     150338","           149902400.00","       8209"
"GODREJCP","EQ","02-Jan-2018","        986.25","        990.00","        990.50","        971.00","        978.15","        981.55","        980.92","     485928","           476656994.95","      31666"
"GODREJCP","EQ","03-Jan-2018","        981.55","        978.10","        991.90","        978.10","        985.95","        986.40","        987.49","     293077","           289409399.15","      22393"
"GODREJCP","EQ","04-Jan-2018","        986.40","        990.00","        994.20","        983.05","        987.45","        989.45","        989.97","     269423","           266721980.10","      14266"
"GODREJCP","EQ","05-Jan-2018","        989.45","        989.95","        992.95","        980.25","        989.20","        990.05","        987.04","     223136","           220244759.00","      28470"
"GODREJCP","EQ","08-Jan-2018","        990.05","        997.95","        997.95","        987.10","        995.90","        994.70","        993.59","     250604","           248998532.30","      15006"
"GODREJCP","EQ","09-Jan-2018","        994.70","        997.00","        998.00","        983.90","        990.00","        988.25","        989.83","     237435","           235020226.70","      18141"
"GODREJCP","EQ","10-Jan-2018","        988.25","        988.00","        992.90","        974.10","        978.50","        978.45","        981.98","     276141","           271166061.15","      18301"
"GODREJCP","EQ","11-Jan-2018","        978.45","        984.70","        990.75","        976.35","        984.95","        985.00","        982.14","     282344","           277302641.15","      25625"
"GODREJCP","EQ","12-Jan-2018","        985.00","        989.90","        993.90","        978.15","        993.55","        991.30","        987.80","     173309","           171193983.00","      16517"
"GODREJCP","EQ","15-Jan-2018","        991.30","        991.30","       1016.45","        990.05","       1002.10","       1000.70","       1002.75","    1131770","          1134882365.95","      17891"
"GODREJCP","EQ","16-Jan-2018","       1000.70","       1006.65","       1017.00","        996.25","       1008.95","       1005.65","       1008.78","     378901","           382229060.05","      22000"
"GODREJCP","EQ","17-Jan-2018","       1005.65","       1005.65","       1011.95","        985.55","        999.00","        999.35","        998.20","     311895","           311334835.30","      19890"
"GODREJCP","EQ","18-Jan-2018","        999.35","       1002.80","       1052.00","       1002.80","       1032.55","       1035.15","       1032.68","    1319819","          1362946208.75","      48065"
"GODREJCP","EQ","19-Jan-2018","       1035.15","       1036.80","       1055.00","       1035.05","       1049.00","       1050.95","       1046.42","     641915","           671710890.05","      27718"
"GODREJCP","EQ","22-Jan-2018","       1050.95","       1045.00","       1098.00","       1041.25","       1097.00","       1092.70","       1079.87","     700187","           756113418.00","      29547"
"GODREJCP","EQ","23-Jan-2018","       1092.70","       1100.00","       1100.00","       1063.15","       1083.00","       1085.40","       1083.81","     950942","          1030642447.00","      42791"
"GODREJCP","EQ","24-Jan-2018","       1085.40","       1085.00","       1128.00","       1070.70","       1117.60","       1117.60","       1103.16","    1100322","          1213829207.10","      30707"
"GODREJCP","EQ","25-Jan-2018","       1117.60","       1125.00","       1126.05","       1064.10","       1072.85","       1075.00","       1081.34","    1106813","          1196845581.55","      28782"
"GODREJCP","EQ","29-Jan-2018","       1075.00","       1070.00","       1083.95","       1052.30","       1060.00","       1060.00","       1059.90","    1292913","          1370356628.35","      39252"
"GODREJCP","EQ","30-Jan-2018","       1060.00","       1062.00","       1067.60","       1052.00","       1059.50","       1057.70","       1056.90","     273474","           289033571.35","      18781"
"GODREJCP","EQ","31-Jan-2018","       1057.70","       1071.95","       1071.95","       1043.10","       1050.00","       1053.40","       1051.63","    2353345","          2474846103.85","      50567"
"GODREJCP","EQ","01-Feb-2018","       1053.40","       1060.00","       1062.80","       1037.05","       1049.95","       1053.30","       1055.39","     550552","           581047703.15","      27388"
"GODREJCP","EQ","02-Feb-2018","       1053.30","       1049.90","       1069.20","       1041.30","       1057.00","       1051.60","       1052.86","     517329","           544673862.00","      24951"
"GODREJCP","EQ","05-Feb-2018","       1051.60","       1041.80","       1044.00","       1022.20","       1032.60","       1039.00","       1034.67","     307126","           317775116.15","      20480"
"GODREJCP","EQ","06-Feb-2018","       1039.00","       1010.00","       1020.00","        996.60","       1005.00","       1008.60","       1004.23","     807449","           810866253.10","      44140"
"GODREJCP","EQ","07-Feb-2018","       1008.60","       1019.90","       1031.30","       1003.45","       1009.60","       1011.70","       1016.02","     375588","           381603288.65","      26309"
"GODREJCP","EQ","08-Feb-2018","       1011.70","       1022.55","       1025.00","       1008.00","       1024.90","       1017.55","       1015.78","     391678","           397859772.85","      23345"
"GODREJCP","EQ","09-Feb-2018","       1017.55","       1000.00","       1027.60","        998.95","       1022.00","       1016.60","       1014.13","     255643","           259254598.25","      26302"
"GODREJCP","EQ","12-Feb-2018","       1016.60","       1020.00","       1034.95","       1017.35","       1018.05","       1029.50","       1027.62","     175715","           180568855.85","      10993"
"GODREJCP","EQ","14-Feb-2018","       1029.50","       1033.80","       1047.00","       1018.00","       1021.00","       1027.50","       1027.13","    1580718","          1623602455.45","      18133"
"GODREJCP","EQ","15-Feb-2018","       1027.50","       1034.05","       1039.55","       1021.00","       1025.10","       1026.25","       1029.04","     597152","           614494201.50","      13661"
"GODREJCP","EQ","16-Feb-2018","       1026.25","       1023.00","       1037.85","       1016.05","       1029.20","       1030.90","       1027.14","     226858","           233014391.55","      16988"
"GODREJCP","EQ","19-Feb-2018","       1030.90","       1034.60","       1040.70","       1024.85","       1038.65","       1037.80","       1033.70","     284752","           294346901.90","      11208"
"GODREJCP","EQ","20-Feb-2018","       1037.80","       1046.00","       1066.60","       1037.55","       1059.90","       1054.70","       1055.86","     394423","           416454605.60","      14858"
"GODREJCP","EQ","21-Feb-2018","       1054.70","       1059.90","       1063.20","       1050.45","       1058.00","       1057.20","       1057.75","     348258","           368370872.65","      23267"
"GODREJCP","EQ","22-Feb-2018","       1057.20","       1057.20","       1064.05","       1035.10","       1035.10","       1042.05","       1051.25","     553055","           581398744.05","      18017"
"GODREJCP","EQ","23-Feb-2018","       1042.05","       1050.00","       1050.00","       1032.80","       1047.05","       1048.20","       1043.06","     272575","           284310852.20","      19810"
"GODREJCP","EQ","26-Feb-2018","       1048.20","       1052.00","       1073.65","       1044.10","       1070.00","       1065.55","       1064.37","     366545","           390138759.10","      17537"
"GODREJCP","EQ","27-Feb-2018","       1065.55","       1071.60","       1097.95","       1070.30","       1093.00","       1091.35","       1087.19","     661530","           719211775.70","      27765"
"GODREJCP","EQ","28-Feb-2018","       1091.35","       1088.05","       1099.45","       1063.20","       1067.10","       1070.45","       1083.22","     763744","           827305891.50","      36212"
