"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HAVELLS","EQ","01-Jan-2018","        562.45","        566.70","        566.70","        552.00","        554.00","        554.45","        558.71","     466717","           260761006.55","      11790"
"HAVELLS","EQ","02-Jan-2018","        554.45","        555.00","        557.65","        545.30","        549.00","        549.25","        550.63","     685576","           377498954.80","      17261"
"HAVELLS","EQ","03-Jan-2018","        549.25","        551.00","        560.35","        548.50","        555.80","        555.65","        555.32","     968648","           537907811.30","      19811"
"HAVELLS","EQ","04-Jan-2018","        555.65","        558.00","        563.90","        552.45","        563.75","        562.85","        558.84","    1178675","           658685403.20","      20486"
"HAVELLS","EQ","05-Jan-2018","        562.85","        565.00","        575.90","        563.80","        564.05","        566.05","        570.71","    1638665","           935209972.05","      33933"
"HAVELLS","EQ","08-Jan-2018","        566.05","        566.50","        571.50","        560.90","        563.60","        563.10","        564.73","     893255","           504444988.55","      21240"
"HAVELLS","EQ","09-Jan-2018","        563.10","        561.50","        561.50","        549.50","        553.40","        552.25","        554.72","     757837","           420386331.35","      12207"
"HAVELLS","EQ","10-Jan-2018","        552.25","        551.75","        556.35","        545.00","        550.45","        549.70","        550.32","    1264788","           696043343.15","      22739"
"HAVELLS","EQ","11-Jan-2018","        549.70","        549.00","        554.85","        546.25","        549.95","        548.80","        550.75","     550622","           303253497.80","      14735"
"HAVELLS","EQ","12-Jan-2018","        548.80","        549.50","        552.55","        545.50","        550.75","        549.10","        549.63","     873027","           479845214.10","      23601"
"HAVELLS","EQ","15-Jan-2018","        549.10","        548.00","        559.90","        548.00","        559.90","        558.50","        554.73","     907127","           503207501.35","      16665"
"HAVELLS","EQ","16-Jan-2018","        558.50","        562.00","        563.90","        552.45","        557.00","        556.70","        558.60","     818384","           457145506.20","      17208"
"HAVELLS","EQ","17-Jan-2018","        556.70","        555.50","        560.80","        543.05","        560.00","        559.35","        555.78","     575557","           319883635.00","      17707"
"HAVELLS","EQ","18-Jan-2018","        559.35","        562.75","        563.35","        546.10","        550.40","        552.10","        554.46","     377507","           209313270.25","       8220"
"HAVELLS","EQ","19-Jan-2018","        552.10","        548.00","        551.10","        539.60","        547.00","        547.60","        545.64","     977335","           533271590.95","      19660"
"HAVELLS","EQ","22-Jan-2018","        547.60","        548.60","        564.15","        538.70","        554.70","        552.65","        551.71","    2573233","          1419670895.15","      46316"
"HAVELLS","EQ","23-Jan-2018","        552.65","        565.00","        587.75","        563.10","        584.70","        584.15","        577.35","    4397044","          2538646755.05","      78703"
"HAVELLS","EQ","24-Jan-2018","        584.15","        584.90","        585.00","        572.40","        575.45","        576.25","        576.92","    1348575","           778023997.40","      24670"
"HAVELLS","EQ","25-Jan-2018","        576.25","        575.00","        590.50","        573.80","        580.00","        580.55","        582.63","    2121732","          1236180224.60","      36214"
"HAVELLS","EQ","29-Jan-2018","        580.55","        582.00","        592.50","        573.80","        574.00","        575.50","        583.70","    1633198","           953302263.30","      27608"
"HAVELLS","EQ","30-Jan-2018","        575.50","        575.35","        576.95","        552.00","        553.10","        552.85","        561.47","    1050928","           590067476.50","      22274"
"HAVELLS","EQ","31-Jan-2018","        552.85","        540.00","        540.00","        518.10","        522.05","        522.35","        526.20","    7290911","          3836484087.10","      81181"
"HAVELLS","EQ","01-Feb-2018","        522.35","        525.80","        532.70","        511.20","        525.10","        525.40","        526.26","    1727081","           908893600.05","      28173"
"HAVELLS","EQ","02-Feb-2018","        525.40","        519.00","        523.50","        504.65","        509.15","        509.60","        513.32","    1090876","           559963657.00","      26399"
"HAVELLS","EQ","05-Feb-2018","        509.60","        509.90","        515.80","        493.55","        501.35","        499.05","        502.29","    1543999","           775533730.35","      26965"
"HAVELLS","EQ","06-Feb-2018","        499.05","        474.95","        509.95","        450.00","        506.00","        505.80","        492.81","    2052384","          1011445380.20","      30361"
"HAVELLS","EQ","07-Feb-2018","        505.80","        511.00","        519.20","        488.00","        504.25","        504.20","        507.30","    2055308","          1042659690.25","      38901"
"HAVELLS","EQ","08-Feb-2018","        504.20","        510.55","        523.00","        507.05","        517.25","        520.90","        515.92","     998079","           514927464.60","      34940"
"HAVELLS","EQ","09-Feb-2018","        520.90","        503.10","        521.00","        503.10","        514.50","        515.25","        514.91","     891993","           459292782.15","      22265"
"HAVELLS","EQ","12-Feb-2018","        515.25","        519.20","        521.60","        512.40","        514.55","        516.05","        516.72","     724602","           374413432.90","      24079"
"HAVELLS","EQ","14-Feb-2018","        516.05","        516.50","        521.20","        511.70","        512.00","        514.40","        517.57","     715021","           370076272.60","      21845"
"HAVELLS","EQ","15-Feb-2018","        514.40","        515.10","        525.80","        512.20","        516.65","        516.25","        519.51","    1296081","           673324415.50","      35483"
"HAVELLS","EQ","16-Feb-2018","        516.25","        519.80","        520.30","        499.85","        505.00","        504.25","        505.96","    1295373","           655408473.00","      23801"
"HAVELLS","EQ","19-Feb-2018","        504.25","        508.95","        508.95","        498.10","        506.20","        504.05","        503.29","    1196926","           602395226.15","      32827"
"HAVELLS","EQ","20-Feb-2018","        504.05","        508.85","        511.90","        502.80","        508.20","        508.65","        508.38","     544607","           276867274.65","      13552"
"HAVELLS","EQ","21-Feb-2018","        508.65","        510.85","        511.60","        500.20","        505.95","        506.35","        504.84","     720502","           363736090.70","      17968"
"HAVELLS","EQ","22-Feb-2018","        506.35","        505.00","        507.60","        492.70","        494.40","        495.20","        499.38","    1700808","           849342566.70","      19874"
"HAVELLS","EQ","23-Feb-2018","        495.20","        497.00","        509.35","        495.20","        507.60","        507.70","        505.05","    1096165","           553618013.55","      13170"
"HAVELLS","EQ","26-Feb-2018","        507.70","        509.00","        516.50","        509.00","        512.05","        513.05","        513.92","     570423","           293151916.95","      14886"
"HAVELLS","EQ","27-Feb-2018","        513.05","        514.50","        519.90","        507.70","        512.25","        512.10","        513.71","     738023","           379129244.15","      13753"
"HAVELLS","EQ","28-Feb-2018","        512.10","        506.60","        512.35","        505.05","        507.60","        507.65","        508.38","     612090","           311172747.15","      17190"
"HAVELLS","EQ","01-Mar-2018","        507.65","        507.65","        522.30","        507.65","        511.50","        511.25","        516.72","    1428365","           738064797.75","      37499"
"HAVELLS","EQ","05-Mar-2018","        511.25","        511.00","        511.20","        501.00","        506.05","        507.15","        505.75","     905063","           457731265.30","      24730"
"HAVELLS","EQ","06-Mar-2018","        507.15","        511.80","        512.85","        496.40","        500.30","        500.30","        504.93","     717755","           362416041.90","      21187"
