"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MRF","EQ","01-Jan-2018","      72357.05","      72572.00","      73200.00","      71900.00","      72305.00","      72402.85","      72502.68","       7348","           532749675.35","       4173"
"MRF","EQ","02-Jan-2018","      72402.85","      72305.00","      72899.70","      71059.10","      71160.00","      71246.10","      71574.59","       7345","           525715359.35","       4586"
"MRF","EQ","03-Jan-2018","      71246.10","      71680.00","      71899.90","      71000.00","      71045.35","      71173.35","      71337.07","       9083","           647954642.20","       5193"
"MRF","EQ","04-Jan-2018","      71173.35","      71499.00","      71644.85","      70851.20","      71160.05","      71219.85","      71248.77","       4477","           318980738.40","       2633"
"MRF","EQ","05-Jan-2018","      71219.85","      71390.00","      73000.00","      71300.00","      72900.00","      72905.90","      72537.21","       9189","           666544430.90","       5348"
"MRF","EQ","08-Jan-2018","      72905.90","      72900.00","      73570.00","      72286.95","      72600.00","      72610.50","      73014.75","       6757","           493360646.30","       3788"
"MRF","EQ","09-Jan-2018","      72610.50","      72965.00","      73270.00","      72020.00","      73040.00","      73025.05","      72724.26","       5587","           406310467.10","       3454"
"MRF","EQ","10-Jan-2018","      73025.05","      73040.00","      73112.35","      72100.00","      72450.00","      72481.50","      72549.25","       9006","           653378581.90","       2716"
"MRF","EQ","11-Jan-2018","      72481.50","      72700.00","      72700.00","      71950.05","      72200.00","      72311.95","      72288.97","       4998","           361300283.45","       2786"
"MRF","EQ","12-Jan-2018","      72311.95","      72310.00","      73100.00","      71814.10","      72000.00","      71970.95","      72184.20","      11548","           833583124.55","       4248"
"MRF","EQ","15-Jan-2018","      71970.95","      71970.95","      72499.95","      71350.00","      71350.20","      71534.00","      71865.18","       6503","           467339253.15","       3048"
"MRF","EQ","16-Jan-2018","      71534.00","      71401.00","      71900.50","      69889.60","      70378.00","      70284.55","      70685.13","       7410","           523776794.70","       4183"
"MRF","EQ","17-Jan-2018","      70284.55","      70480.00","      70751.65","      69731.65","      70370.00","      70420.80","      70356.11","       4005","           281776204.80","       2494"
"MRF","EQ","18-Jan-2018","      70420.80","      70800.00","      70848.95","      68601.45","      68850.00","      68804.45","      69498.42","       7680","           533747851.25","       4419"
"MRF","EQ","19-Jan-2018","      68804.45","      69100.00","      69399.90","      68500.00","      69000.00","      69156.00","      69002.16","       7715","           532351627.20","       3450"
"MRF","EQ","22-Jan-2018","      69156.00","      69156.00","      69878.30","      68875.00","      69504.00","      69677.30","      69454.70","       3327","           231075776.45","       1929"
"MRF","EQ","23-Jan-2018","      69677.30","      69600.00","      70456.00","      69531.80","      70000.00","      69930.70","      70010.87","       6857","           480064551.20","       4329"
"MRF","EQ","24-Jan-2018","      69930.70","      69700.00","      70171.45","      68700.00","      68750.00","      68894.50","      69207.48","       6431","           445073300.90","       3736"
"MRF","EQ","25-Jan-2018","      68894.50","      69050.00","      69439.95","      67055.55","      67240.10","      67543.65","      68242.98","       7157","           488415029.45","       4175"
"MRF","EQ","29-Jan-2018","      67543.65","      67165.00","      68447.60","      66750.00","      67000.00","      66906.75","      67429.04","       7203","           485691404.65","       4705"
"MRF","EQ","30-Jan-2018","      66906.75","      67300.00","      68446.00","      67010.00","      68010.00","      68261.55","      67829.75","       6008","           407521109.45","       3397"
"MRF","EQ","31-Jan-2018","      68261.55","      68395.00","      68798.75","      67215.75","      68100.00","      68113.35","      68042.85","       8102","           551283145.50","       4930"
"MRF","EQ","01-Feb-2018","      68113.35","      68115.00","      72750.00","      67200.00","      71776.90","      71776.65","      70842.60","      29028","          2056418971.85","      15025"
"MRF","EQ","02-Feb-2018","      71776.65","      71400.00","      71654.85","      68050.00","      69100.00","      69259.40","      69814.23","      19860","          1386510704.75","      10399"
"MRF","EQ","05-Feb-2018","      69259.40","      68016.25","      69350.00","      67658.50","      68700.00","      68615.10","      68653.05","      12193","           837086601.35","       5688"
"MRF","EQ","06-Feb-2018","      68615.10","      64000.00","      68950.00","      64000.00","      68900.00","      68528.45","      67038.03","      21197","          1421005210.65","      10848"
"MRF","EQ","07-Feb-2018","      68528.45","      68899.95","      69499.95","      68250.05","      68300.00","      68827.45","      68922.75","       9654","           665380242.20","       5847"
"MRF","EQ","08-Feb-2018","      68827.45","      69001.00","      70763.55","      68800.00","      70400.00","      70171.05","      69981.34","      12304","           861050374.30","       5816"
"MRF","EQ","09-Feb-2018","      70171.05","      69100.10","      70377.00","      68752.25","      69870.50","      70013.80","      69834.67","       4799","           335136561.45","       3275"
"MRF","EQ","12-Feb-2018","      70013.80","      70011.00","      71840.00","      70011.00","      71599.00","      71640.90","      71357.74","       7298","           520768789.15","       4227"
"MRF","EQ","14-Feb-2018","      71640.90","      71720.00","      72606.10","      71650.00","      71900.00","      72329.20","      72217.20","      10260","           740948470.20","       4148"
"MRF","EQ","15-Feb-2018","      72329.20","      72329.00","      72780.60","      71740.80","      72100.00","      72156.25","      72311.98","       7756","           560851719.90","       3834"
"MRF","EQ","16-Feb-2018","      72156.25","      72357.00","      72517.00","      70601.60","      71200.45","      71162.55","      71393.50","       5347","           381741040.65","       2770"
"MRF","EQ","19-Feb-2018","      71162.55","      71555.00","      71698.00","      70200.00","      70460.00","      70624.00","      70674.20","       3821","           270046114.35","       2122"
"MRF","EQ","20-Feb-2018","      70624.00","      70635.10","      71100.00","      70430.00","      70850.00","      70825.50","      70761.07","       3989","           282265913.25","       1974"
"MRF","EQ","21-Feb-2018","      70825.50","      70855.00","      71999.00","      70702.95","      71700.00","      71787.05","      71329.31","       5414","           386176873.95","       2534"
"MRF","EQ","22-Feb-2018","      71787.05","      71500.00","      71500.00","      69599.00","      69797.95","      70107.80","      70525.66","       4823","           340145239.90","       2383"
"MRF","EQ","23-Feb-2018","      70107.80","      70139.95","      72800.00","      70139.95","      72799.00","      72473.40","      71603.07","       7984","           571678908.20","       4450"
"MRF","EQ","26-Feb-2018","      72473.40","      72550.00","      72980.50","      72400.00","      72670.00","      72690.80","      72631.37","       4426","           321466457.85","       2243"
"MRF","EQ","27-Feb-2018","      72690.80","      72670.00","      73149.00","      71660.90","      73000.00","      72665.80","      72229.49","       9668","           698314738.80","       3643"
"MRF","EQ","28-Feb-2018","      72665.80","      72599.95","      73840.00","      72000.00","      73498.00","      73391.60","      73236.24","      11901","           871584508.90","       6024"
"MRF","EQ","01-Mar-2018","      73391.60","      73391.60","      74100.00","      72520.00","      72520.00","      72683.65","      73274.50","       5016","           367544885.50","       2973"
"MRF","EQ","05-Mar-2018","      72683.65","      72683.00","      73566.60","      72000.00","      72201.05","      72324.65","      72602.03","       8937","           648844340.50","       4059"
"MRF","EQ","06-Mar-2018","      72324.65","      73000.00","      73000.00","      71310.00","      71438.95","      71475.85","      72120.00","       5388","           388582542.50","       3255"
"MRF","EQ","07-Mar-2018","      71475.85","      71440.00","      71899.10","      70020.65","      70231.00","      70249.20","      70833.99","       6459","           457516753.25","       3356"
"MRF","EQ","08-Mar-2018","      70249.20","      70500.00","      70811.65","      69800.00","      70247.00","      70204.40","      70115.93","       7016","           491933397.00","       4242"
"MRF","EQ","09-Mar-2018","      70204.40","      70759.00","      71379.50","      70111.15","      70706.90","      70781.65","      70731.11","       5005","           354009225.35","       3049"
"MRF","EQ","12-Mar-2018","      70781.65","      70950.00","      71332.95","      70799.95","      70814.80","      71094.20","      71100.59","       3757","           267124916.85","       1490"
"MRF","EQ","13-Mar-2018","      71094.20","      70815.00","      72100.00","      70815.00","      71609.00","      71717.30","      71712.04","       4148","           297461556.60","       2277"
"MRF","EQ","14-Mar-2018","      71717.30","      71160.00","      71845.20","      71000.00","      71500.00","      71281.65","      71324.37","       4663","           332585532.65","       2062"
"MRF","EQ","15-Mar-2018","      71281.65","      71225.00","      71945.85","      71086.40","      71670.00","      71737.95","      71545.40","       3803","           272087168.00","       2155"
"MRF","EQ","16-Mar-2018","      71737.95","      71670.00","      71670.00","      70000.00","      70257.70","      70211.65","      70670.83","       4914","           347276463.25","       2849"
"MRF","EQ","19-Mar-2018","      70211.65","      70500.00","      70895.60","      69699.90","      69950.00","      70074.85","      70061.30","       3928","           275200781.25","       2195"
"MRF","EQ","20-Mar-2018","      70074.85","      69950.00","      70111.70","      69455.65","      69718.00","      69593.05","      69758.56","       2849","           198742142.20","       1728"
"MRF","EQ","21-Mar-2018","      69593.05","      69999.95","      70200.00","      69725.00","      70000.00","      69966.45","      69983.78","       4761","           333192775.25","       2347"
"MRF","EQ","22-Mar-2018","      69966.45","      70000.00","      70220.00","      69257.50","      69550.00","      69489.30","      69789.98","       3754","           261991571.50","       2096"
"MRF","EQ","23-Mar-2018","      69489.30","      68170.00","      69486.00","      68170.00","      69096.65","      69236.90","      69070.03","       4854","           335265935.35","       2821"
"MRF","EQ","26-Mar-2018","      69236.90","      69237.00","      70399.00","      68800.00","      70100.00","      69961.75","      69474.23","       7329","           509176612.75","       3741"
"MRF","EQ","27-Mar-2018","      69961.75","      70201.50","      72887.95","      70201.50","      72650.00","      72656.05","      71858.07","       9594","           689406298.50","       5035"
