"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"OFSS","EQ","01-Jan-2018","       4098.05","       4100.00","       4130.20","       4042.75","       4046.65","       4066.75","       4077.97","       6804","            27746504.50","        966"
"OFSS","EQ","02-Jan-2018","       4066.75","       4050.05","       4065.80","       3991.30","       4003.00","       4000.25","       4006.32","      68279","           273547265.30","       2315"
"OFSS","EQ","03-Jan-2018","       4000.25","       4000.00","       4218.15","       4000.00","       4141.25","       4163.05","       4111.23","      98373","           404433806.95","       5681"
"OFSS","EQ","04-Jan-2018","       4163.05","       4163.05","       4187.85","       4050.00","       4057.00","       4060.75","       4103.59","      24576","           100849708.05","       4176"
"OFSS","EQ","05-Jan-2018","       4060.75","       4056.00","       4142.75","       4056.00","       4105.00","       4101.65","       4099.83","      68647","           281440916.60","       3189"
"OFSS","EQ","08-Jan-2018","       4101.65","       4130.65","       4140.00","       4093.90","       4095.10","       4110.30","       4111.15","      45766","           188150985.25","       4914"
"OFSS","EQ","09-Jan-2018","       4110.30","       4125.90","       4129.45","       4030.00","       4050.00","       4051.05","       4063.99","      32631","           132612062.45","       4256"
"OFSS","EQ","10-Jan-2018","       4051.05","       4058.00","       4168.20","       3996.20","       4120.00","       4097.30","       4073.97","      52460","           213720314.00","       7719"
"OFSS","EQ","11-Jan-2018","       4097.30","       4071.00","       4205.00","       4071.00","       4147.00","       4147.40","       4164.27","      47840","           199218472.90","       6745"
"OFSS","EQ","12-Jan-2018","       4147.40","       4115.00","       4188.70","       4092.00","       4135.00","       4125.30","       4132.11","      26001","           107438928.80","       3299"
"OFSS","EQ","15-Jan-2018","       4125.30","       4105.00","       4150.00","       4050.10","       4053.10","       4068.45","       4107.54","       9139","            37538784.00","       1694"
"OFSS","EQ","16-Jan-2018","       4068.45","       4060.05","       4143.40","       4029.30","       4091.80","       4091.05","       4086.27","      25793","           105397173.85","       4497"
"OFSS","EQ","17-Jan-2018","       4091.05","       4107.00","       4118.50","       4065.00","       4095.00","       4096.20","       4097.13","      14596","            59801665.90","       2490"
"OFSS","EQ","18-Jan-2018","       4096.20","       4119.90","       4119.90","       3990.05","       4001.00","       4026.65","       4048.81","      11688","            47322482.30","       2041"
"OFSS","EQ","19-Jan-2018","       4026.65","       4008.40","       4149.00","       3993.80","       4125.00","       4094.05","       4051.48","      16975","            68773855.05","       2250"
