"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TITAN","EQ","01-Jan-2018","        858.15","        857.70","        862.05","        851.05","        853.80","        852.45","        856.81","     472607","           404934218.15","      12561"
"TITAN","EQ","02-Jan-2018","        852.45","        854.10","        858.45","        840.60","        846.75","        845.15","        848.54","    1181949","          1002928084.70","      26802"
"TITAN","EQ","03-Jan-2018","        845.15","        863.90","        869.40","        853.00","        854.90","        856.30","        860.41","    2606556","          2242700649.35","      43601"
"TITAN","EQ","04-Jan-2018","        856.30","        864.40","        897.45","        853.10","        894.55","        892.90","        879.34","    3028931","          2663461973.80","      58681"
"TITAN","EQ","05-Jan-2018","        892.90","        895.00","        913.95","        893.50","        909.00","        909.70","        906.89","    4036882","          3660995474.45","      64752"
"TITAN","EQ","08-Jan-2018","        909.70","        911.00","        930.00","        906.75","        924.70","        926.10","        920.35","    2112170","          1943933529.70","      52466"
"TITAN","EQ","09-Jan-2018","        926.10","        925.00","        938.50","        917.25","        932.00","        932.95","        930.73","    2419079","          2251516745.50","      57878"
"TITAN","EQ","10-Jan-2018","        932.95","        932.50","        935.40","        911.90","        915.00","        917.60","        924.34","    1605433","          1483961337.40","      48586"
"TITAN","EQ","11-Jan-2018","        917.60","        916.90","        917.70","        903.30","        905.40","        906.90","        911.05","    1597329","          1455244070.20","      50180"
"TITAN","EQ","12-Jan-2018","        906.90","        906.00","        917.40","        892.45","        901.95","        903.80","        906.66","    1874518","          1699541909.00","      54136"
"TITAN","EQ","15-Jan-2018","        903.80","        909.00","        921.90","        897.70","        918.75","        918.25","        911.98","    2195562","          2002298165.40","      46395"
"TITAN","EQ","16-Jan-2018","        918.25","        927.00","        927.50","        882.60","        893.00","        889.40","        907.52","    2383484","          2163060073.65","      55920"
"TITAN","EQ","17-Jan-2018","        889.40","        892.80","        895.55","        862.50","        895.00","        893.10","        885.24","    2553841","          2260760386.45","      65828"
"TITAN","EQ","18-Jan-2018","        893.10","        897.75","        903.60","        875.00","        884.70","        885.85","        893.84","    1285534","          1149057843.70","      34051"
"TITAN","EQ","19-Jan-2018","        885.85","        879.10","        897.55","        879.10","        893.50","        891.45","        887.44","    1483177","          1316228091.15","      37487"
"TITAN","EQ","22-Jan-2018","        891.45","        890.00","        912.00","        887.10","        910.00","        909.75","        904.59","    1495629","          1352932737.60","      39313"
"TITAN","EQ","23-Jan-2018","        909.75","        910.70","        914.70","        898.30","        905.00","        905.70","        906.63","    1747166","          1584032845.85","      63888"
"TITAN","EQ","24-Jan-2018","        905.70","        905.70","        909.25","        881.00","        883.00","        886.90","        892.01","    1109233","           989447351.15","      27024"
"TITAN","EQ","25-Jan-2018","        886.90","        882.00","        905.30","        876.75","        887.20","        884.10","        890.74","    3104669","          2765442586.85","      55452"
"TITAN","EQ","29-Jan-2018","        884.10","        887.40","        901.50","        880.50","        896.20","        896.20","        893.86","    1151570","          1029347710.15","      38193"
"TITAN","EQ","30-Jan-2018","        896.20","        899.25","        911.60","        878.35","        881.50","        884.15","        898.87","    2101888","          1889323149.25","      43925"
"TITAN","EQ","31-Jan-2018","        884.15","        883.00","        884.95","        859.40","        867.65","        869.55","        872.90","    1431670","          1249708945.45","      65955"
"TITAN","EQ","01-Feb-2018","        869.55","        877.50","        879.10","        812.75","        827.00","        831.00","        837.98","    6097492","          5109601495.00","     121411"
"TITAN","EQ","02-Feb-2018","        831.00","        810.00","        849.75","        784.15","        825.00","        822.20","        818.10","    8088986","          6617637722.00","     137993"
"TITAN","EQ","05-Feb-2018","        822.20","        810.00","        816.75","        795.20","        806.00","        802.30","        806.28","    3079541","          2482986278.95","      70102"
"TITAN","EQ","06-Feb-2018","        802.30","        765.00","        788.40","        752.70","        781.45","        782.65","        770.10","    3188895","          2455754204.95","     106398"
"TITAN","EQ","07-Feb-2018","        782.65","        785.00","        801.00","        780.00","        784.00","        783.65","        791.39","    2686877","          2126363479.40","      79600"
"TITAN","EQ","08-Feb-2018","        783.65","        785.10","        808.90","        780.80","        800.80","        800.75","        795.94","    2219546","          1766626655.70","      70462"
"TITAN","EQ","09-Feb-2018","        800.75","        790.10","        804.00","        783.05","        796.05","        796.80","        796.06","    1564899","          1245747232.90","      43947"
"TITAN","EQ","12-Feb-2018","        796.80","        803.00","        812.80","        796.55","        808.00","        809.05","        806.38","    2067452","          1667156976.85","      41891"
"TITAN","EQ","14-Feb-2018","        809.05","        814.00","        825.90","        809.10","        810.00","        813.70","        819.83","    2154852","          1766612683.45","      56150"
"TITAN","EQ","15-Feb-2018","        813.70","        822.70","        823.30","        800.00","        817.00","        814.85","        815.28","    2225089","          1814066761.15","      42374"
"TITAN","EQ","16-Feb-2018","        814.85","        820.00","        826.90","        798.65","        803.20","        803.20","        813.97","    1698333","          1382385113.70","      25906"
"TITAN","EQ","19-Feb-2018","        803.20","        805.00","        809.00","        790.00","        801.80","        803.95","        798.56","    1699508","          1357156042.40","      35264"
"TITAN","EQ","20-Feb-2018","        803.95","        803.95","        837.90","        797.65","        832.50","        832.25","        825.28","    3881439","          3203255155.40","      72467"
"TITAN","EQ","21-Feb-2018","        832.25","        837.95","        841.50","        818.75","        822.95","        822.90","        829.51","    2067029","          1714612209.25","      49102"
"TITAN","EQ","22-Feb-2018","        822.90","        825.00","        836.00","        814.05","        816.95","        817.50","        825.68","    3244314","          2678769477.00","      81461"
"TITAN","EQ","23-Feb-2018","        817.50","        822.20","        823.60","        810.25","        814.65","        814.20","        815.68","    2446637","          1995664781.45","      64735"
"TITAN","EQ","26-Feb-2018","        814.20","        819.95","        823.35","        805.00","        823.00","        819.70","        814.57","    2438241","          1986117834.35","      68229"
"TITAN","EQ","27-Feb-2018","        819.70","        825.00","        835.70","        819.25","        822.40","        822.60","        828.94","    2089446","          1732022771.25","      49963"
"TITAN","EQ","28-Feb-2018","        822.60","        819.80","        825.90","        810.40","        816.15","        816.15","        818.52","    1583674","          1296275717.50","      45413"
"TITAN","EQ","01-Mar-2018","        816.15","        814.00","        822.30","        808.00","        810.20","        810.20","        815.05","     975986","           795477288.80","      32719"
"TITAN","EQ","05-Mar-2018","        810.20","        810.00","        814.85","        801.00","        810.00","        808.90","        808.24","    1262568","          1020453045.90","      56177"
"TITAN","EQ","06-Mar-2018","        808.90","        812.50","        823.20","        799.05","        800.50","        807.65","        814.91","    1358775","          1107273272.00","      42695"
"TITAN","EQ","07-Mar-2018","        807.65","        806.00","        820.10","        800.20","        816.95","        814.85","        810.75","    1826249","          1480627438.25","      41483"
"TITAN","EQ","08-Mar-2018","        814.85","        820.00","        822.30","        808.05","        816.90","        817.70","        814.81","    1109489","           904018901.80","      39084"
"TITAN","EQ","09-Mar-2018","        817.70","        820.00","        827.60","        815.50","        818.60","        819.10","        822.27","    1061685","           872995061.50","      31118"
"TITAN","EQ","12-Mar-2018","        819.10","        824.00","        831.60","        822.40","        829.90","        829.10","        827.31","    1033715","           855206755.25","      27347"
"TITAN","EQ","13-Mar-2018","        829.10","        836.00","        860.00","        830.00","        852.10","        851.95","        846.83","    2754435","          2332542030.75","      65269"
"TITAN","EQ","14-Mar-2018","        851.95","        851.00","        867.85","        849.95","        867.00","        865.00","        859.08","    1889040","          1622830162.15","      37637"
"TITAN","EQ","15-Mar-2018","        865.00","        864.90","        875.75","        860.00","        874.00","        872.50","        869.74","    2486538","          2162638967.50","      60021"
"TITAN","EQ","16-Mar-2018","        872.50","        879.00","        883.40","        862.10","        878.10","        879.25","        873.97","    2538310","          2218408791.80","      56152"
"TITAN","EQ","19-Mar-2018","        879.25","        879.70","        891.85","        864.00","        864.70","        869.00","        878.98","    2536517","          2229548391.80","      65804"
"TITAN","EQ","20-Mar-2018","        869.00","        867.00","        880.00","        860.10","        871.20","        871.75","        873.47","    1985478","          1734245732.75","      42418"
"TITAN","EQ","21-Mar-2018","        871.75","        875.00","        884.70","        869.60","        870.15","        872.25","        877.55","    1859947","          1632199510.15","      54887"
"TITAN","EQ","22-Mar-2018","        872.25","        873.00","        892.00","        872.25","        888.60","        887.55","        884.44","    3186401","          2818165928.45","      89718"
