Date,AXBK,HDFC,ICBK,ITC,MRTI,RELI,SBI,SUN,TAMO,YESB,ALBK,APLH,CBI,COLG,GAIL,NEST,TMIN,TTCH,VOLT,WHIR
"Dec 31, 2018",619.8,1970,360,281.65,7462.3,1121.05,295.65,430.65,172.6,181.75,46.1,1258.7,36.7,1341.6,360.45,11107.25,20850.8,708.45,552.45,1394.6
"Dec 28, 2018",625.25,1980.1,361.05,281.95,7510.7,1125.8,294.45,424.6,170.8,181.55,46.8,1240.5,36.05,1319.85,357.55,11235.6,20970,711.25,551.55,1373.85
"Dec 27, 2018",617.5,1946.65,355.4,279.75,7505.3,1120,291.85,412.3,168.8,178.55,46.4,1239.55,36.4,1298.95,356.1,10936.3,20370.95,703.25,550.3,1326.55
"Dec 26, 2018",616.85,1934.45,355.35,276.7,7570.75,1096.95,293.95,414,170.9,179.45,46.05,1266.05,34.15,1302.2,353.45,10764.3,20760.25,701.25,549.3,1308.5
"Dec 24, 2018",614.8,1901.95,353.3,276.25,7513.7,1090.05,292.8,423.45,172.3,182.1,45.75,1275.9,35.2,1315.65,347.7,10931.25,21590.05,710.25,555,1294
"Dec 21, 2018",621.1,1949.45,353.35,276.5,7536.75,1098.35,291.65,424.75,175.9,182.9,46.65,1250.4,35.55,1327.35,345.5,11011.7,22095.3,704.6,569.95,1340.3
"Dec 20, 2018",633,1976.25,362.25,282.2,7808.95,1127.25,293.85,429.25,175.95,186.65,46.45,1269.95,34.35,1330.45,353.25,11206.6,22578.5,716.75,577,1385
"Dec 19, 2018",639.45,1978.2,366.6,282.9,7916.15,1137.1,300.4,424,173.65,179.6,48.3,1242.65,33.1,1329.15,358.45,11181.9,22939.15,709.85,571.5,1407.5
"Dec 18, 2018",619.75,1953.15,362.35,278,7757.7,1136.45,292.55,433.1,174.4,178.9,46.35,1226.4,31.35,1312,354.6,11093.4,22905.75,716.9,561.4,1421.05
"Dec 17, 2018",617.25,1959.15,358,280.1,7708.55,1130.6,288.65,420.55,173.75,181.1,45.75,1221.05,30.9,1301.3,353.05,11181.95,22960.45,705.7,567.5,1420.55
"Dec 14, 2018",618.7,1904.15,352.1,275.65,7654.1,1111.75,289.15,419.75,166.9,180.35,46.35,1244.25,30.5,1311.85,350.95,10972.55,23027.85,689.25,578.55,1405.55
"Dec 13, 2018",618.15,1941.95,349.3,275.6,7663.75,1106.8,288.6,422.15,166.45,174.7,46.4,1223.5,30.15,1303.15,346.35,10990.5,23428.2,692.45,566.95,1382.95
"Dec 12, 2018",619.35,1939.2,350.4,275.65,7487.05,1110.5,285.25,431.3,163.9,186.8,46.25,1212.65,30,1271,344.5,10826.15,22417.8,688.1,567.35,1346.4
"Dec 11, 2018",604.25,1905.45,342.75,274.65,7309.85,1096.2,281.2,421.8,158.2,177.4,44.3,1180.35,28.65,1241,333.2,10633.3,21003.35,671.4,553.6,1296.35
"Dec 10, 2018",590,1909.2,346.35,269.7,7350.1,1088.5,273.4,398.85,156.85,165.35,44.1,1173.2,28.15,1202,332.25,10380.05,20967.25,658.95,534.85,1290.05
"Dec 07, 2018",603.25,1952.25,352.15,274.1,7314.1,1133.25,275.4,411.3,162.45,166.1,43.15,1207.55,28.35,1233.9,334.7,10402.75,21685.7,674.3,543.65,1342.45
"Dec 06, 2018",600.35,1944.2,347.55,272.1,7209.7,1123.45,275.75,420.1,162.4,168.3,44.75,1189.8,28.4,1192.35,348.85,10304.3,21568.85,668.6,538.5,1357.05
"Dec 05, 2018",614.55,1973.2,351.1,275.25,7559.55,1154.85,280.2,413.6,169.2,173.65,45.75,1232.3,28.8,1227.75,349.2,10484.55,22163.5,666.7,551.35,1379.5
"Dec 04, 2018",622.65,1939.2,358,281.85,7724.75,1151.55,282.3,442.8,175.7,176.55,47.25,1243.4,29.1,1234.4,354.75,10589.65,22433.15,684.1,553.05,1403.35
"Dec 03, 2018",624.8,1977.25,355.5,283,7759.8,1156.3,287,455.3,175.4,178,48.7,1284.15,29.2,1269.2,355.95,10746.65,21996.35,696.35,556.3,1403.7
