Date,ASPN,AXBK,BAJA,BPCL,CIPL,COAL,HLL,INFY,PGRD,ZEE,BOB,BOSH,CRSL,DLF,IDBI,JNSP,LTFH,PCJE,TVSM,VODA
"Dec 31, 2018",1373.05,619.9,2720.15,362.75,519.5,240.75,1819.65,658.95,198.65,476.45,118.8,19611.2,1613.55,177.55,61.25,164.9,152.6,86.2,571.25,37.75
"Dec 28, 2018",1366,625.05,2717.5,361.9,522,242.3,1822.05,656.95,197.05,474.45,118.35,19629.75,1608.65,177.95,61.45,161.05,154.45,87.8,564.2,37.5
"Dec 27, 2018",1372.5,617.55,2737,364.6,517.9,250.2,1814.9,656.8,196.55,464.4,116.4,19409.15,1615.65,175.65,61.15,158.5,154.25,85.15,549.95,37.15
"Dec 26, 2018",1363,619.5,2734.6,366.35,514.3,247.05,1791.6,644.05,195.3,455.05,117.7,19526.55,1619.1,177.6,61.2,162.3,154.35,81.15,558.8,37.25
"Dec 24, 2018",1357.05,615,2724.65,364.95,518.8,248.3,1784.65,649,193.95,436.75,115.4,19415.5,1604.05,178.1,61.3,159.25,152.85,82.8,558.5,37.35
"Dec 21, 2018",1388.2,620.85,2808.45,374.65,516.65,252.75,1803.5,646.2,196.9,447.8,115.1,19898.2,1604.3,187.1,61.85,164.65,151.2,82.45,572.9,38.3
"Dec 20, 2018",1425.8,632.95,2887.2,371.1,520.25,250.55,1834.25,667.05,197.95,461.95,114.9,19607.05,1629.5,189.85,61.5,167.25,157.35,84.4,579.8,38.2
"Dec 19, 2018",1400.25,641.65,2863,361.75,524.75,251,1844.8,664.85,199,465.15,115.6,19624,1632.7,191.5,62,167.6,155.6,85.15,576.8,37.75
"Dec 18, 2018",1355.7,619.4,2840.9,353.25,522.9,251.85,1840.75,676.6,196.35,462.7,112.45,19861.55,1599.45,178.05,61.8,164.9,146.75,85.95,574.5,37.3
"Dec 17, 2018",1335.85,617.15,2840.95,350.35,523.65,251.45,1850.7,694.4,192.55,501.85,111.8,19661.9,1603.35,178.3,61.15,163.9,147.45,82.95,575.1,36.4
"Dec 14, 2018",1340.95,620.25,2823.15,345.3,521.75,247.15,1860.55,706.05,185.7,489.45,111.4,19691.35,1571.8,178.75,61.05,157.85,146.85,83.8,570,36.2
"Dec 13, 2018",1320.2,619.1,2836.1,334.9,527,244.55,1855.55,697.75,182.55,493.7,111.85,19621.05,1546.3,178.85,61.55,159.4,145.15,78.55,565.35,34.9
"Dec 12, 2018",1330.9,619.95,2848.4,329.4,531.3,247,1839.1,678.5,182.55,481.8,113.4,19172.05,1523.75,179.25,61.2,156.25,143.9,66.55,570.6,34.65
"Dec 11, 2018",1323.6,604.25,2739.6,326.75,518.7,242.1,1794.9,674.5,180.3,478.9,109.05,19105.55,1499.25,171.45,60.85,146.75,137.5,64.15,552.3,34.25
