Date,AXBK,HDFC,ICBK,ITC,MRTI,RELI,SBI,SUN,TAMO,YESB,ALBK,APLH,CBI,COLG,GAIL,NEST,TMIN,TTCH,VOLT,WHIR
Dec 18,619.8,1970,360,281.65,7462.3,1121.05,295.65,430.65,172.6,181.75,46.1,1258.7,36.7,1341.6,360.45,11107.25,20850.8,708.45,552.45,1394.6
Nov 18,625.75,1983.7,355,286.25,7664.6,1168.2,284.35,492.3,171.95,169.65,48.55,1262.3,29.1,1217.25,343.65,10718.95,21589,697.3,553.8,1403.65
Oct 18,581.9,1769.55,355.1,279.8,6608.95,1061.4,280.5,579.15,178.65,188.05,44.2,1145.9,31.9,1116.9,373.95,10122.1,19853.35,685.45,538.05,1387.5
Sep 18,612.35,1755.5,305,296.7,7350.55,1258.2,265,623.35,223.45,183.45,35.5,1043.1,41.1,1085,378.55,9705.7,22440.3,689.75,529.15,1342.3
Aug 18,649.2,1931.5,342.65,319.15,9097.25,1240.95,308.85,652.2,267.1,343.4,42.65,1185.15,68.55,1168.35,372.05,11576.6,26109.6,760,616.6,1776.25
Jul 18,550.1,1994.75,303.95,297.2,9506.4,1185.85,293.4,566.65,264.15,367.9,45.6,953.15,69.9,1141.2,374.7,10537.2,23436.1,688.6,568.2,1735.05
Jun 18,510.4,1907.35,275.5,266.05,8821.2,972.95,259.3,560.55,269.3,339.6,41.8,1046.2,69.6,1182.95,340.15,9808.55,19629.7,687.42,521.65,1524.05
May 18,543.3,1828.5,285.6,271.6,8534.95,921.3,269.2,480.15,282.9,346.2,41.8,949.7,73.2,1248.95,350.25,9657.75,19397.95,728.27,540.2,1545.45
Apr 18,518.05,1884.65,284.45,281.45,8822.8,963.1,246.3,528.15,340.2,362.05,49.1,1088.7,70.1,1124.15,325,9406.35,20482.35,751.06,643.6,1582.4
Mar 18,509.4,1824.4,278.4,255.9,8863.15,882.8,250.1,495.4,327.45,304.9,49.6,1062.65,73.5,1057.7,328.6,8202.15,19383.6,676.75,620.6,1513.55
Feb 18,529.6,1814.75,313.5,265.1,8873.15,952.45,268.75,535.35,370.2,322.25,52.65,1202.85,65.15,1040.6,342.79,7764.35,20683.05,705.95,608.75,1426.9
Jan 18,593.4,1955.7,352.95,271.25,9514.15,961.15,312.75,579.35,399.25,354.45,66.8,1161.6,73.1,1120.45,358.73,7464.8,18724.55,718.45,604.4,1476.6
Dec 17,562.4,1710.4,314,263.1,9731.35,921.05,309.5,570.8,431.2,315.05,73.45,1205.25,72.6,1095.6,372.9,7845,19165.25,730.85,655.7,1567.6
Nov 17,536,1677.85,307.8,255.65,8602.3,922.6,320.45,539.95,404.65,306.8,76.55,1108,79.75,1037,351.52,7650,15469.2,726.8,636.7,1551.2
Oct 17,523.05,1707.35,299.95,266.1,8217.1,940.8,305.8,553.4,428.55,314.35,78.4,1035.8,81.7,1063.35,348.71,7221.1,14175.7,732.55,568.35,1378
Sep 17,508.8,1740.7,276.95,258.25,7973.15,782.15,253.75,503.2,401.25,350,65.65,1006.65,74.75,1058.4,314.32,7222.25,14434.55,641,504.7,1281.35
