Date,ASPN,AXBK,BAJA,BPCL,CIPL,COAL,HLL,INFY,PGRD,ZEE,BOB,BOSH,CRSL,DLF,IDBI,JNSP,LTFH,PCJE,TVSM,VODA
Dec 18,1373.05,619.9,2720.15,362.75,519.5,240.75,1819.65,655.35,198.65,476.45,118.8,19611.2,1613.55,177.55,61.25,164.9,152.6,86.2,571.25,37.75
Nov 18,1345.95,625.75,2745.7,324.4,540.85,244.9,1754,663.8,180.15,488.6,105.05,18973.25,1500.35,178.1,59.5,154.05,144.2,68.85,557.4,35.3
Oct 18,1230.4,582.4,2593.7,275.1,629.25,266.15,1621.7,682.65,185.95,451.1,110.65,19746.5,1442.7,164.75,59.2,171.35,127.75,58.5,544.65,38.65
Sep 18,1293.3,613.25,2687.45,374.15,654.05,266.25,1608.4,730.05,188.4,438.6,99.5,19934.1,1756.15,162.55,50.2,196.35,129.6,62.35,560.05,38.55
Aug 18,1372.45,649.25,2744.85,362.1,662.15,285.95,1780.1,720.55,201.5,499.95,152.95,21990.35,1765.25,220.8,62.7,220.75,181.4,84.25,569.35,49.35
Jul 18,1451.4,550.4,2700.05,389.75,641.35,261.1,1731.65,682.55,182.3,527.15,153.35,18720.7,1789.1,196.3,58.85,205.45,176,91.1,516.6,54.85
Jun 18,1264.45,510.8,2810.3,373.3,616.65,264.35,1641.15,653.6,186.85,543.95,112.65,17509.95,1799.6,188.8,54.9,223.05,151.65,136.75,552.85,59.35
May 18,1304.65,545.9,2750.3,403.95,524.8,296.25,1611.45,611.07,209.45,556.05,136.85,18367.5,1715.05,209.9,65.3,229.55,169.85,165.8,587.35,61.5
Apr 18,1201.7,517.3,2952.6,387.35,607.4,285,1508.9,595.05,207.85,588.05,148.95,19404.8,1878.35,223.1,66.15,252.1,173.2,144.5,667.4,69.15
Mar 18,1120.4,510.5,2744.7,427.45,545.45,283.3,1333.35,561.46,193.25,575.5,142.3,18017.55,1884.45,201.25,72.2,219.1,157.1,320.2,619.3,75.9
Feb 18,1117.75,528.75,3020.6,429.55,589.65,309.15,1317.75,581.7,197.7,565.35,141.95,18687.3,1927.15,226.25,74.55,254.4,162.3,333.15,680.95,83.9
Jan 18,1128.3,593.6,3337.15,492.3,592.15,299.55,1369.35,570.61,193.8,593.7,156.8,19400.25,1938.55,250.1,60.45,266.45,172.6,485.35,696.8,93.1
Dec 17,1158.5,563.95,3333.6,517.7,608.5,262.95,1367.85,516.94,200.35,581.8,160.65,20165.55,1874.55,259.35,59.85,205.05,174,456.75,770.7,108.15
Nov 17,1146.75,535.4,3305.5,503.85,600.9,275.8,1272.45,484.22,206.05,568.15,169.1,20333.75,1873.25,233.25,60.55,171.95,172.6,395.4,716.3,94.45
Oct 17,1180.85,523.15,3257.1,541.6,627.6,286.45,1237.45,457.31,211.85,541.9,169.9,21012.2,1799.45,201.35,62.65,163.1,201.15,350.8,723.3,92.85
Sep 17,1131.7,509.15,3109.4,471.3,586.1,270.85,1173.9,446.42,211,520.1,137.6,20545.1,1820.7,164.3,52.35,134.65,195.1,330.8,657.05,77.45
Aug 17,1168.55,500.35,2814.5,529,571.9,237.4,1219.75,453.89,219.25,519.5,137.85,21986.8,1892.05,185.05,55.1,137.1,200.3,355.6,603.7,90.65
Jul 17,1161.7,519.8,2808.55,471.15,560.1,249.1,1155.75,501.63,223.3,541.75,166.05,24178.1,1857.8,193.35,59.45,153.4,175,255.1,582.1,92.45
Jun 17,1102.95,517.35,2791.2,426.27,555.6,244.25,1079.6,464.11,210.55,491.35,161.65,23327.25,1944,190.7,53.5,123.2,144.3,244.82,549.2,85.25
May 17,1149.2,514.05,2845.95,495.1,516.35,262.55,1067,484.69,207.95,514.85,178.05,23337.95,1859.4,179.55,60,121.75,128.45,249.95,538.3,80
Apr 17,1118.5,509.65,2864,479.5,557.45,276.65,934.95,455.87,208,526.85,187.55,22991.6,1967.05,186,78.1,114,127.6,211.22,496,85.95
