Date,AXBK,HDFC,ICBK,ITC,MRTI,RELI,SBI,SUN,TAMO,YESB,ALBK,APLH,CBI,COLG,GAIL,NEST,TMIN,TTCH,VOLT,WHIR
"Dec 30, 2018",619.85,1971.15,365.55,280.75,7237.4,1099.05,297.5,432.8,170.75,189.5,46.7,1291.15,35.85,1311.75,353.45,10878.3,20392.9,698.2,536.6,1395.8
"Dec 23, 2018",625.25,1980.1,361.05,281.95,7510.7,1125.8,294.45,424.6,170.8,181.55,46.85,1240.5,36.05,1319.85,357.55,11235.6,20970,711.25,551.55,1373.85
"Dec 16, 2018",621.1,1949.45,353.35,276.5,7536.75,1098.35,291.65,424.75,175.9,182.9,46.65,1250.4,35.55,1327.35,345.5,11011.7,22095.3,704.6,569.95,1340.3
"Dec 09, 2018",618.7,1904.15,352.1,275.65,7654.1,1111.75,289.15,419.75,166.9,180.35,46.55,1244.25,30.5,1311.85,350.95,10972.55,23027.85,689.25,578.55,1405.55
"Dec 02, 2018",603.25,1952.25,352.15,274.1,7314.1,1133.25,275.4,411.3,162.45,166.1,43.1,1207.55,28.35,1233.9,334.7,10402.75,21685.7,674.3,543.65,1342.45
"Nov 25, 2018",625.75,1983.7,355,286.25,7664.6,1168.2,284.35,492.3,171.95,169.65,48.55,1262.3,29.1,1217.25,343.65,10718.95,21589,697.3,553.8,1403.65
"Nov 18, 2018",614.3,1874.5,351.95,280.45,7409.95,1102.85,282.6,525.8,182.25,195.55,45.15,1213.85,30.5,1148.6,344.8,10313,20789.4,699.15,549.65,1366.25
"Nov 11, 2018",618.3,1887.55,367.4,276.25,7332.05,1127.5,290.3,519.6,179.4,191.3,43.35,1233.95,31.1,1144.8,342,10655.05,20623,695.35,553.3,1431.25
"Nov 04, 2018",612.6,1816.9,355.8,277.25,7265.5,1093.35,283,595.9,195.4,227.85,43.95,1145.3,32.4,1105.5,367.75,10224.05,20449.85,698.95,538.2,1475.3
"Oct 28, 2018",609.95,1822.3,354.3,282.35,7136.8,1074.25,285.45,571.4,190,209.4,42.9,1150.9,31.7,1108.2,369.05,10230.1,20247.6,695.8,541.2,1366.9
"Oct 21, 2018",537.35,1701.4,315.05,280.65,6705.25,1044.7,248.1,553.65,168.85,180.55,37.05,1084.45,29.25,1105.85,341.2,9540.45,19307.7,669.6,505.85,1350.15
"Oct 14, 2018",562.2,1661.3,314.9,288.45,6760.35,1101.65,260.85,608.4,174.8,217.7,37.05,1122.45,31.05,1098.15,343.55,9602.8,21693,671.9,503.25,1496.7
"Oct 07, 2018",584.65,1730.35,318.8,274.7,7283.05,1126.4,263.35,590.65,183.4,246.7,36.35,1132.85,28.65,1099.65,358.65,9700.75,22415.15,655.55,509.35,1498.55
"Sep 30, 2018",568.45,1715.15,306.6,277.15,6893,1049.85,257.8,598.25,216.55,206.2,35.35,1055.25,33.55,1072.25,331.55,9386.15,21980.95,652.9,509.1,1322.05
"Sep 23, 2018",612.35,1755.5,305,296.7,7350.55,1258.2,265,623.35,223.45,183.45,35.5,1043.1,41.1,1085,378.55,9705.7,22440.3,689.75,529.15,1342.3
"Sep 16, 2018",599.4,1835.25,317.8,303.75,8039.55,1216.85,270.05,635.5,250.2,227.05,37.85,1044.15,53.35,1106.75,389.45,9765.15,24217.45,735.05,564.7,1500.55
