Date,ASPN,AXBK,BAJA,BPCL,CIPL,COAL,HLL,INFY,PGRD,ZEE,BOB,BOSH,CRSL,DLF,IDBI,JNSP,LTFH,PCJE,TVSM,VODA
"Dec 30, 2018",1385.85,619.6,2734.2,359.45,512.8,236.5,1781.7,657.44,195.9,463.95,121.7,19438.75,1626.4,175.15,61.45,152.35,144.4,81,540.95,36.2
"Dec 23, 2018",1366,625.05,2717.5,361.9,522,242.3,1822.05,653.36,197.05,474.45,118.35,19629.75,1608.65,177.95,61.45,161.05,154.45,87.8,564.2,37.5
"Dec 16, 2018",1388.2,620.85,2808.45,374.65,516.65,252.75,1803.5,642.67,196.9,447.8,115.1,19898.2,1604.3,187.1,61.85,164.65,151.2,82.45,572.9,38.3
"Dec 09, 2018",1340.95,620.25,2823.15,345.3,521.75,247.15,1860.55,706.05,185.7,489.45,111.4,19691.35,1571.8,178.75,61.05,157.85,146.85,83.8,570,36.2
"Dec 02, 2018",1318.65,603.95,2786.2,325.4,513.6,236.75,1824.3,682.8,182.65,477.4,106.4,18533.05,1554,172.55,60.25,146.9,138.8,66.4,541.5,33.8
"Nov 25, 2018",1345.95,625.75,2745.7,324.4,540.85,244.9,1754,667.45,180.15,488.6,105.05,18973.25,1500.35,178.1,59.5,154.05,144.2,68.85,557.4,35.3
"Nov 18, 2018",1314.4,614.55,2590.35,320.1,517.95,256.65,1675.1,620.75,179.8,458.85,109.9,19033.05,1495.75,177.1,59.95,168.45,133.3,76.65,527.2,41.45
"Nov 11, 2018",1321.3,619.8,2695.35,322.05,530.6,263.65,1689.1,650.85,188.1,443.6,115.2,18724.1,1500.55,169.4,60.9,175,132.55,74.15,551.6,43
"Nov 04, 2018",1295.6,613.2,2693.05,296.85,526.95,268.45,1672.6,659.5,191.7,450.15,111.5,19846.2,1500.15,174.35,61.2,184.3,135.9,91.8,556.25,42.25
"Oct 28, 2018",1247,610.65,2657.75,302.35,607.1,261.55,1638.45,662.25,189.85,441.35,109.9,19625.45,1502.5,169.95,59.15,184.8,134.15,88.2,553.45,40.6
"Oct 21, 2018",1190.3,537.7,2513.75,275.2,603.7,281.1,1558.25,633.6,188.4,421.7,98.85,18609.8,1376.05,153.85,59.45,161.1,117.9,49.35,525.45,36.95
"Oct 14, 2018",1235.4,562.55,2510.25,283.55,633.8,275.15,1578.4,683.55,189.15,455.2,102.4,19059.85,1470.2,153.15,59.35,166.25,118.95,56.7,516.1,36.5
"Oct 07, 2018",1261.2,584.9,2623.05,288.9,622.9,278.6,1569.6,678.8,188.45,466.7,96.5,18605.2,1623.85,157.65,59.05,178.4,132.8,56.95,534.1,35.95
"Sep 30, 2018",1209.5,568.5,2543.05,265.3,636.65,263,1558.55,724.6,187.3,422.3,99.1,18813.9,1626.1,149.25,57.4,175.9,120.05,59.7,503.95,33.55
