Symbol,Date,Expiry,Strike Price,Option Type,Close,Call Price,Option Type,Close,Put Price
NIFTY,29-Dec-2017,28-Mar-2018,11050,CE,86.4,97.4,PE,483.35,442.7
NIFTY,29-Dec-2017,28-Mar-2018,11100,CE,66.05,66.05,PE,1287.95,480.05
NIFTY,29-Dec-2017,28-Mar-2018,11150,CE,64.9,74,PE,560.25,517.7
NIFTY,29-Dec-2017,28-Mar-2018,11200,CE,43.55,43.55,PE,1370.65,556.95
NIFTY,29-Dec-2017,28-Mar-2018,11250,CE,48.15,55.2,PE,641.95,597.35
NIFTY,29-Dec-2017,28-Mar-2018,11300,CE,55.65,47.4,PE,1454.7,638.75
NIFTY,29-Dec-2017,28-Mar-2018,11350,CE,35.15,40.55,PE,727.35,681.1
NIFTY,29-Dec-2017,28-Mar-2018,11400,CE,43.25,34.5,PE,1540,724.25
NIFTY,29-Dec-2017,28-Mar-2018,11450,CE,25.25,29.25,PE,815.85,768.25
NIFTY,29-Dec-2017,28-Mar-2018,11500,CE,20.9,20.9,PE,1626.4,812.9
NIFTY,29-Dec-2017,28-Mar-2018,11550,CE,17.85,20.75,PE,906.85,858.15
NIFTY,29-Dec-2017,28-Mar-2018,11600,CE,34,17.4,PE,1713.75,904
NIFTY,29-Dec-2017,28-Mar-2018,11650,CE,12.4,14.5,PE,999.85,950.3
NIFTY,29-Dec-2017,28-Mar-2018,11700,CE,35.1,12.05,PE,1740,997.05
NIFTY,29-Dec-2017,28-Mar-2018,11750,CE,8.5,9.95,PE,1094.35,1044.2
NIFTY,29-Dec-2017,28-Mar-2018,11800,CE,21.7,8.2,PE,1775.35,1091.65
NIFTY,29-Dec-2017,28-Mar-2018,11850,CE,5.7,6.7,PE,1189.95,1139.4
NIFTY,29-Dec-2017,28-Mar-2018,11900,CE,22.65,5.5,PE,1742.45,1187.4
NIFTY,29-Dec-2017,28-Mar-2018,11950,CE,3.8,4.45,PE,1286.45,1235.55
NIFTY,29-Dec-2017,28-Mar-2018,12000,CE,7.5,7.5,PE,1320.05,1283.95
NIFTY,29-Dec-2017,28-Mar-2018,12100,CE,16.35,2.35,PE,1829.95,1381.1
NIFTY,29-Dec-2017,28-Mar-2018,12200,CE,4.85,1.5,PE,1874.3,1478.65
NIFTY,29-Dec-2017,28-Mar-2018,12300,CE,5.25,0.95,PE,1856.65,1576.55
NIFTY,29-Dec-2017,28-Mar-2018,12400,CE,4.65,0.6,PE,1910.6,1674.6
NIFTY,29-Dec-2017,28-Mar-2018,12500,CE,1.4,1.4,PE,1845,1845
NIFTY,29-Dec-2017,28-Mar-2018,12600,CE,3.35,0.25,PE,2039.55,1871.1
NIFTY,29-Dec-2017,28-Mar-2018,12700,CE,2.4,0.15,PE,2070.2,1969.45
NIFTY,29-Dec-2017,28-Mar-2018,12800,CE,1.2,0.1,PE,2106.8,2067.8
NIFTY,29-Dec-2017,28-Mar-2018,12900,CE,0.85,0.05,PE,2128.2,2166.2
NIFTY,29-Dec-2017,28-Mar-2018,6700,CE,3829,3829,PE,0.2,0
NIFTY,29-Dec-2017,28-Mar-2018,6800,CE,2811.5,3837.8,PE,0.15,0
NIFTY,29-Dec-2017,28-Mar-2018,6900,CE,2718.05,3739.4,PE,0.25,0
NIFTY,29-Dec-2017,28-Mar-2018,7000,CE,3490.35,3490.35,PE,0.45,0.45
NIFTY,29-Dec-2017,28-Mar-2018,7100,CE,2531.25,3542.55,PE,0.55,0
NIFTY,29-Dec-2017,28-Mar-2018,7200,CE,2437.95,3444.1,PE,0.85,0
NIFTY,29-Dec-2017,28-Mar-2018,7300,CE,2344.8,3345.7,PE,1.3,0
NIFTY,29-Dec-2017,28-Mar-2018,7400,CE,2251.85,3247.25,PE,1.9,0
NIFTY,29-Dec-2017,28-Mar-2018,7500,CE,2990,3148.85,PE,1.5,1.5
NIFTY,29-Dec-2017,28-Mar-2018,7600,CE,2066.65,3050.4,PE,3.85,0
NIFTY,29-Dec-2017,28-Mar-2018,7700,CE,1974.65,2952,PE,5.35,0
