"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","31-Dec-2018","28-Mar-2019","PE","11600","0","0","0","1051.1","0","699.3","0","0","0","0","0","10862.55"
"NIFTY","01-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","658.7","0","0","0","0","0","10910.1"
"NIFTY","02-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","747.3","0","0","0","0","0","10792.5"
"NIFTY","03-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","841.6","0","0","0","0","0","10672.25"
"NIFTY","04-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","793.7","0","0","0","0","0","10727.35"
"NIFTY","07-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","753.5","0","0","0","0","0","-"
"NIFTY","08-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","723.65","0","0","0","0","0","-"
"NIFTY","09-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","678.7","0","0","0","0","0","10855.15"
"NIFTY","10-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","697.55","0","0","0","0","0","10821.6"
"NIFTY","11-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","711.75","0","0","0","0","0","10794.95"
"NIFTY","14-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","755.7","0","0","0","0","0","10737.6"
"NIFTY","15-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","653","0","0","0","0","0","-"
"NIFTY","16-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","642.8","0","0","0","0","0","10890.3"
"NIFTY","17-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","625","0","0","0","0","0","10905.2"
"NIFTY","18-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","617.5","0","0","0","0","0","-"
"NIFTY","21-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","573.05","0","0","0","0","0","-"
"NIFTY","22-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","599.05","0","0","0","0","0","10922.75"
"NIFTY","23-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","674.5","0","0","0","0","0","10831.5"
"NIFTY","24-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","655.45","0","0","0","0","0","10849.8"
"NIFTY","25-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","713.9","0","0","0","0","0","10780.55"
